universe,margin_buffer_x,coin,n_opens,n_closes,funding_gross,fees_paid,realized_pnl,hours_in_position,n_phase1_exits,n_phase2_exits
EXT7,3.0,BTC,9,9,25.3746,1.9519,-58.9772,14671,3,6
EXT7,3.0,ETH,8,8,21.2043,1.6173,59.6697,9650,1,7
EXT7,3.0,SOL,6,6,44.1183,1.529,-256.1641,8356,1,5
EXT7,3.0,AAVE,7,7,39.0308,1.4383,30.2026,13465,0,6
EXT7,3.0,AVAX,3,3,7.9568,0.6208,8.8067,4404,0,3
EXT7,3.0,LINK,8,8,9.1029,1.6086,67.9654,9408,1,6
EXT7,3.0,DOGE,5,5,95.9176,1.4588,-389.3338,11092,1,4
EXT7,5.0,BTC,7,7,22.7501,1.5414,-67.9627,11132,2,5
EXT7,5.0,ETH,7,7,20.2949,1.4076,59.4225,8840,1,6
EXT7,5.0,SOL,6,6,40.5082,1.4805,-210.0145,7432,2,4
EXT7,5.0,AAVE,5,5,44.0858,1.0179,30.5268,11063,0,5
EXT7,5.0,AVAX,2,2,1.1728,0.4002,18.8649,1582,0,2
EXT7,5.0,LINK,5,5,18.3234,1.1615,-106.2008,6090,1,4
EXT7,5.0,DOGE,2,2,58.7389,0.5551,-128.6203,4762,0,2
