universe,margin_buffer_x,coin,n_opens,n_closes,funding_gross,fees_paid,realized_pnl,hours_in_position
STRAT_A_EXT7,3.0,BTC,5,5,30.2725,1.0996,-47.2214,13821
STRAT_A_EXT7,3.0,ETH,5,5,4.4572,1.0153,33.0211,2933
STRAT_A_EXT7,3.0,SOL,6,6,56.9055,1.4925,-221.385,7885
STRAT_A_EXT7,3.0,AAVE,4,4,21.1619,0.7566,79.4556,9956
STRAT_A_EXT7,3.0,AVAX,3,3,3.528,0.6545,-23.3716,1286
STRAT_A_EXT7,3.0,LINK,7,6,30.594,1.3697,-4.5075,10833
STRAT_A_EXT7,3.0,DOGE,3,3,86.3744,0.931,-286.641,6748
STRAT_A_EXT7,5.0,BTC,5,5,30.2725,1.0996,-47.2214,13821
STRAT_A_EXT7,5.0,ETH,3,3,1.1665,0.5754,52.0018,1394
STRAT_A_EXT7,5.0,SOL,6,6,56.9055,1.4925,-221.385,7885
STRAT_A_EXT7,5.0,AAVE,2,2,5.7804,0.4104,9.1862,1673
STRAT_A_EXT7,5.0,AVAX,3,3,3.528,0.6545,-23.3716,1286
STRAT_A_EXT7,5.0,LINK,5,5,23.9081,1.0839,-32.31,3689
STRAT_A_EXT7,5.0,DOGE,2,2,57.3229,0.5239,-98.9785,4656
