universe,margin_buffer_x,coin,n_opens,n_closes,funding_gross,fees_paid,realized_pnl,hours_in_position,n_phase1_exits,n_phase2_exits
U-prod,3.0,BTC,4,4,1.6564,0.8008,37.3255,2754,3,1
U-prod,3.0,ETH,4,4,0.7574,0.825,14.2446,1345,2,1
U-prod,3.0,SOL,2,2,0.7288,0.423,-2.8623,877,1,1
U-prod,3.0,HYPE,5,5,3.6897,1.046,3.7755,4243,2,2
U-prod,3.0,PURR,7,7,9.6693,1.4493,19.6696,3419,4,2
U-prod,5.0,BTC,4,4,1.6564,0.8008,37.3255,2754,3,1
U-prod,5.0,ETH,4,4,0.7574,0.825,14.2446,1345,2,1
U-prod,5.0,SOL,2,2,0.7288,0.423,-2.8623,877,1,1
U-prod,5.0,HYPE,5,5,3.6897,1.046,3.7755,4243,2,2
U-prod,5.0,PURR,7,7,9.6693,1.4493,19.6696,3419,4,2
U3,3.0,BTC,9,9,1.9905,1.8675,21.3874,3748,6,1
U3,3.0,ETH,6,6,2.6857,1.2347,24.0981,3777,2,2
U3,3.0,SOL,6,6,1.0424,1.2287,29.7977,2102,4,1
U3,5.0,BTC,8,8,2.0041,1.652,26.666,3829,6,1
U3,5.0,ETH,6,6,2.6644,1.2322,26.5015,3784,3,2
U3,5.0,SOL,6,6,1.0424,1.2287,29.7977,2102,4,1
