mode,top_x,lookback,hard_floor,period,annual,max_dd,calmar,sharpe,trades,time_in_market_pct,median_wait_hours,n_empty_windows
baseline_30,,,,full,9.93,0.1,100.9,34.95,60,70.9,237,14
baseline_30,,,,last_90d,0.0,0.0,0.0,0.0,0,0.0,2160,1
baseline_10,,,,full,10.03,0.77,13.0,28.19,67,99.4,20,4
baseline_10,,,,last_90d,1.15,0.13,9.1,4.09,10,100.0,0,0
adaptive,10.0,30.0,0.08,full,8.71,0.75,11.6,29.6,128,87.1,117,17
adaptive,10.0,30.0,0.08,last_90d,-0.41,0.26,-1.6,-1.61,19,99.3,16,1
adaptive,10.0,30.0,0.1,full,8.79,0.62,14.2,30.29,123,86.8,119,17
adaptive,10.0,30.0,0.1,last_90d,-0.33,0.26,-1.3,-1.32,19,99.2,18,1
adaptive,10.0,30.0,0.15,full,9.25,0.11,86.0,34.51,76,71.2,322,16
adaptive,10.0,30.0,0.15,last_90d,-0.07,0.05,-1.3,-0.56,3,13.4,1870,1
adaptive,10.0,60.0,0.08,full,8.71,0.56,15.5,31.02,97,73.8,230,18
adaptive,10.0,60.0,0.08,last_90d,-0.41,0.18,-2.3,-1.94,12,58.9,888,1
adaptive,10.0,60.0,0.1,full,8.71,0.54,16.3,31.14,96,74.1,319,16
adaptive,10.0,60.0,0.1,last_90d,-0.33,0.18,-1.8,-1.6,12,58.9,888,1
adaptive,10.0,60.0,0.15,full,8.75,0.12,73.8,32.86,72,66.0,373,17
adaptive,10.0,60.0,0.15,last_90d,-0.07,0.05,-1.3,-0.56,3,13.4,1870,1
adaptive,10.0,90.0,0.08,full,7.96,0.38,21.0,32.83,78,66.7,319,18
adaptive,10.0,90.0,0.08,last_90d,-0.1,0.11,-0.9,-0.58,8,35.1,700,2
adaptive,10.0,90.0,0.1,full,7.96,0.41,19.6,32.93,76,66.9,396,16
adaptive,10.0,90.0,0.1,last_90d,0.22,0.06,3.7,1.35,7,37.7,1346,1
adaptive,10.0,90.0,0.15,full,8.04,0.11,70.6,34.47,64,63.6,396,16
adaptive,10.0,90.0,0.15,last_90d,-0.07,0.05,-1.3,-0.56,3,13.4,1870,1
adaptive,20.0,30.0,0.08,full,8.56,0.88,9.7,28.44,154,91.7,94,15
adaptive,20.0,30.0,0.08,last_90d,-0.27,0.28,-1.0,-0.98,20,100.0,0,0
adaptive,20.0,30.0,0.1,full,8.66,0.88,9.8,28.99,149,91.4,103,14
adaptive,20.0,30.0,0.1,last_90d,-0.22,0.29,-0.8,-0.82,20,100.0,0,0
adaptive,20.0,30.0,0.15,full,9.45,0.12,79.9,34.09,87,74.5,180,18
adaptive,20.0,30.0,0.15,last_90d,-0.07,0.05,-1.3,-0.56,3,13.4,1870,1
adaptive,20.0,60.0,0.08,full,8.25,0.64,13.0,28.57,121,82.6,186,17
adaptive,20.0,60.0,0.08,last_90d,-0.6,0.28,-2.1,-2.51,16,86.9,141,2
adaptive,20.0,60.0,0.1,full,8.27,0.52,15.8,28.89,119,82.8,195,16
adaptive,20.0,60.0,0.1,last_90d,-0.55,0.28,-1.9,-2.36,16,86.9,141,2
adaptive,20.0,60.0,0.15,full,9.01,0.12,76.0,32.52,76,69.9,220,15
adaptive,20.0,60.0,0.15,last_90d,-0.07,0.05,-1.3,-0.56,3,13.4,1870,1
adaptive,20.0,90.0,0.08,full,8.15,0.43,18.8,32.25,97,79.6,116,22
adaptive,20.0,90.0,0.08,last_90d,-0.52,0.27,-2.0,-2.45,13,87.2,75,3
adaptive,20.0,90.0,0.1,full,8.17,0.41,19.8,32.38,96,79.3,124,20
adaptive,20.0,90.0,0.1,last_90d,-0.21,0.21,-1.0,-0.98,13,83.5,146,3
adaptive,20.0,90.0,0.15,full,8.74,0.12,74.0,34.88,70,68.3,212,17
adaptive,20.0,90.0,0.15,last_90d,-0.07,0.05,-1.3,-0.56,3,13.4,1870,1
adaptive,30.0,30.0,0.08,full,9.21,0.79,11.6,28.39,163,93.4,97,11
adaptive,30.0,30.0,0.08,last_90d,-0.43,0.33,-1.3,-1.51,21,100.0,0,0
adaptive,30.0,30.0,0.1,full,9.28,0.82,11.3,28.94,159,93.5,107,11
adaptive,30.0,30.0,0.1,last_90d,0.31,0.15,2.1,1.19,19,100.0,0,0
adaptive,30.0,30.0,0.15,full,9.61,0.12,81.3,33.75,88,74.4,213,18
adaptive,30.0,30.0,0.15,last_90d,-0.07,0.05,-1.3,-0.56,3,13.4,1870,1
adaptive,30.0,60.0,0.08,full,8.65,0.67,12.9,27.88,145,86.7,150,13
adaptive,30.0,60.0,0.08,last_90d,0.68,0.13,5.1,2.42,20,100.0,0,0
adaptive,30.0,60.0,0.1,full,8.63,0.65,13.2,28.13,145,87.1,155,12
adaptive,30.0,60.0,0.1,last_90d,0.42,0.14,3.0,1.52,21,100.0,0,0
adaptive,30.0,60.0,0.15,full,9.43,0.12,79.5,32.92,82,70.9,163,18
adaptive,30.0,60.0,0.15,last_90d,-0.07,0.05,-1.3,-0.56,3,13.4,1870,1
adaptive,30.0,90.0,0.08,full,8.11,0.51,16.0,30.36,123,84.3,64,16
adaptive,30.0,90.0,0.08,last_90d,0.33,0.24,1.4,1.18,20,100.0,0,0
adaptive,30.0,90.0,0.1,full,8.1,0.51,16.0,30.51,121,84.3,64,16
adaptive,30.0,90.0,0.1,last_90d,0.28,0.24,1.2,1.03,20,100.0,0,0
adaptive,30.0,90.0,0.15,full,8.76,0.12,71.2,34.66,79,70.7,101,19
adaptive,30.0,90.0,0.15,last_90d,-0.07,0.05,-1.3,-0.56,3,13.4,1870,1
