variant,CAGR,DD,Calmar,hedge,fees,trades_yr,hedged,Cal_H1,Cal_H2,coins_better,PASS
BASELINE mom14|mom30,23.575,17.01,1.386,9.98,-6.934,77.452,63.473,2.965,0.307,0,False
HYST,27.444,17.208,1.595,10.971,-1.306,14.618,45.898,4.062,0.09,5,False
TSTAT,16.543,33.996,0.487,-2.61,-3.278,44.812,14.24,2.388,-0.412,1,False
ER,17.386,33.949,0.512,-0.84,-3.418,45.382,11.389,2.911,-0.438,1,False
BREADTH,22.698,19.378,1.171,7.75,-6.803,81.599,45.482,3.372,-0.154,2,False
HYST & TSTAT,16.543,33.996,0.487,-2.61,-3.278,44.812,14.24,2.388,-0.412,1,False
HYST | TSTAT,27.444,17.208,1.595,10.971,-1.306,14.618,45.898,4.062,0.09,5,False
HYST & ER,16.701,34.531,0.484,-1.863,-2.54,35.617,10.729,2.803,-0.439,1,False
HYST | ER,27.722,16.919,1.638,11.992,-2.171,24.383,46.557,4.253,0.059,4,False
HYST & BREADTH,26.773,19.097,1.402,10.54,-3.506,43.588,38.108,3.866,0.053,5,False
HYST | BREADTH,23.613,18.014,1.311,7.724,-4.571,52.442,53.271,3.716,-0.126,2,False
TSTAT & ER,17.321,34.29,0.505,-2.068,-2.539,35.52,10.351,2.782,-0.419,1,False
TSTAT | ER,16.681,33.752,0.494,-1.467,-4.154,54.675,15.277,2.49,-0.426,1,False
TSTAT & BREADTH,17.806,32.412,0.549,-1.85,-3.282,45.257,14.0,2.574,-0.402,1,False
TSTAT | BREADTH,21.782,20.643,1.055,7.068,-6.804,81.155,45.721,3.075,-0.169,2,False
ER & BREADTH,18.431,33.167,0.556,-1.245,-2.535,35.647,10.616,2.986,-0.405,1,False
ER | BREADTH,22.573,20.004,1.128,8.536,-7.684,91.278,46.255,3.333,-0.17,2,False
vote >=2 of 4,25.633,20.686,1.239,9.72,-3.514,43.152,38.352,3.46,0.035,4,False
vote >=3 of 4,17.156,33.256,0.516,-1.85,-3.293,45.249,14.482,2.486,-0.403,1,False
