entry,idea,CAGR,DD,Calmar,Cal_H1,Cal_H2,DD_H2,hedge,fees,trades,coins_better,vs_same_entry,PASS
BASE,NONE,23.575,17.01,1.386,2.965,0.307,18.814,9.98,-6.934,77.452,0,0.0,False
BASE,STICKY24,26.602,12.576,2.115,4.331,0.508,15.072,6.504,-1.436,15.078,5,0.729,True
BASE,PARTIAL50,21.985,21.276,1.033,3.383,-0.169,33.025,5.002,-3.567,77.452,3,-0.353,False
BASE,BTC_HEDGE,8.75,36.033,0.243,1.244,-0.383,40.294,-9.58,-8.656,77.452,1,-1.143,False
BASE,SPOT75,31.359,23.401,1.34,3.079,0.224,28.019,14.976,-10.4,77.452,2,-0.046,False
BASE,MAKER,25.323,15.74,1.609,3.284,0.479,17.336,9.999,-4.508,77.452,6,0.223,True
HYST,NONE,27.444,17.208,1.595,4.062,0.09,26.727,10.971,-1.306,14.618,5,0.0,False
HYST,STICKY24,28.06,16.581,1.692,4.291,0.231,22.64,11.101,-1.001,10.658,4,0.098,False
HYST,PARTIAL50,23.781,22.192,1.072,3.627,-0.189,36.551,5.492,-0.741,14.618,3,-0.523,False
HYST,BTC_HEDGE,18.833,29.653,0.635,2.475,-0.229,43.202,-0.995,-1.708,14.618,2,-0.96,False
HYST,SPOT75,36.481,22.857,1.596,4.218,0.029,39.258,16.456,-1.958,14.618,3,0.001,False
HYST,MAKER,27.747,16.964,1.636,4.121,0.11,26.397,10.971,-0.863,14.618,5,0.041,False
MOM30,NONE,25.028,18.356,1.363,4.033,-0.09,28.978,10.973,-5.619,66.402,2,0.0,False
MOM30,STICKY24,28.197,14.15,1.993,4.86,0.299,20.365,9.888,-1.208,13.015,5,0.629,False
MOM30,PARTIAL50,22.632,22.609,1.001,3.759,-0.259,37.666,5.493,-2.9,66.402,3,-0.362,False
MOM30,BTC_HEDGE,13.167,33.261,0.396,2.042,-0.415,45.093,-3.89,-7.157,66.402,2,-0.968,False
MOM30,SPOT75,33.307,24.277,1.372,4.134,-0.152,42.621,16.462,-8.428,66.402,2,0.008,False
MOM30,MAKER,26.264,17.346,1.514,4.277,-0.009,27.343,10.916,-3.656,66.402,4,0.151,False
