coin,strategy,filter,param,annual_pct,max_dd_pct,calmar,sharpe,trades,pct_in_pos
BTC,A_cycle,baseline,0,6.05,0.16,37.07,18.21,42,52.5
BTC,A_cycle,min_hold,24,5.86,0.37,16.01,17.06,46,51.3
BTC,A_cycle,min_hold,72,6.05,0.16,37.07,18.21,42,52.5
BTC,A_cycle,min_hold,168,6.49,0.12,54.61,20.72,36,57.6
BTC,A_cycle,cooldown,24,5.99,0.16,36.59,18.38,40,50.8
BTC,A_cycle,cooldown,72,5.88,0.23,25.7,18.74,36,48.3
BTC,A_cycle,cooldown,168,5.41,0.15,36.14,18.28,31,42.1
BTC,A_cycle,signal_ma,6,5.96,0.15,39.77,18.59,38,49.0
BTC,A_cycle,signal_ma,12,5.74,0.17,34.39,18.43,35,43.8
BTC,A_cycle,signal_ma,24,5.58,0.19,30.05,19.16,29,38.5
BTC,A_spot_keep,baseline,0,30.89,40.9,0.76,0.56,42,52.5
BTC,A_spot_keep,min_hold,24,31.64,40.38,0.78,0.57,46,51.3
BTC,A_spot_keep,min_hold,72,30.89,40.9,0.76,0.56,42,52.5
BTC,A_spot_keep,min_hold,168,32.52,39.66,0.82,0.6,36,57.6
BTC,A_spot_keep,cooldown,24,33.53,39.75,0.84,0.6,40,50.8
BTC,A_spot_keep,cooldown,72,28.84,41.87,0.69,0.51,36,48.3
BTC,A_spot_keep,cooldown,168,29.28,41.66,0.7,0.51,31,42.1
BTC,A_spot_keep,signal_ma,6,30.89,41.56,0.74,0.55,38,49.0
BTC,A_spot_keep,signal_ma,12,30.03,43.36,0.69,0.53,35,43.8
BTC,A_spot_keep,signal_ma,24,30.61,43.13,0.71,0.53,29,38.5
ETH,A_cycle,baseline,0,6.97,0.27,25.61,21.64,38,46.1
ETH,A_cycle,min_hold,24,6.56,0.44,14.94,18.95,46,44.2
ETH,A_cycle,min_hold,72,6.97,0.27,25.61,21.64,38,46.1
ETH,A_cycle,min_hold,168,7.36,0.16,44.62,24.16,32,50.3
ETH,A_cycle,cooldown,24,6.85,0.25,27.94,21.53,37,45.3
ETH,A_cycle,cooldown,72,6.6,0.25,26.4,21.71,33,41.9
ETH,A_cycle,cooldown,168,5.93,0.17,34.74,21.0,29,38.5
ETH,A_cycle,signal_ma,6,6.72,0.22,31.07,22.69,30,40.0
ETH,A_cycle,signal_ma,12,6.59,0.22,30.58,23.11,27,37.6
ETH,A_cycle,signal_ma,24,6.48,0.15,43.3,23.52,24,34.9
ETH,A_spot_keep,baseline,0,-2.74,49.49,-0.06,-0.07,38,46.1
ETH,A_spot_keep,min_hold,24,-5.75,53.12,-0.11,-0.14,46,44.2
ETH,A_spot_keep,min_hold,72,-2.74,49.49,-0.06,-0.07,38,46.1
ETH,A_spot_keep,min_hold,168,-8.46,55.92,-0.15,-0.21,32,50.3
ETH,A_spot_keep,cooldown,24,-2.8,49.54,-0.06,-0.07,37,45.3
ETH,A_spot_keep,cooldown,72,-3.25,49.98,-0.06,-0.08,33,41.9
ETH,A_spot_keep,cooldown,168,4.88,43.15,0.11,0.11,29,38.5
ETH,A_spot_keep,signal_ma,6,-3.52,51.44,-0.07,-0.08,30,40.0
