coin,signal,annual,max_dd,calmar,sharpe,pct_hedged,trades,funding,hedge_pnl,fees,bh_annual,bh_dd
BTC,mom7d,12.44,14.4,0.86,0.71,44.5,434,2.3,-9.62,-5.31,70.82,50.09
BTC,mom14d,21.73,10.54,2.06,1.24,43.1,300,1.87,-1.56,-3.66,70.82,50.09
BTC,mom7d_lt90d,22.91,10.95,2.09,1.12,20.5,199,0.6,-0.37,-2.39,70.82,50.09
BTC,mom7d_lt180d,22.54,13.26,1.7,1.01,11.1,109,0.23,-1.45,-1.32,70.82,50.09
BTC,mom14d_lt90d,29.17,10.6,2.75,1.45,21.5,132,0.64,5.08,-1.62,70.82,50.09
BTC,mom14d_lt180d,26.62,11.14,2.39,1.2,11.6,68,0.27,2.14,-0.86,70.82,50.09
BTC,dd5,10.86,11.35,0.96,0.82,73.2,162,3.26,-15.38,-2.1,70.82,50.09
BTC,dd8,18.14,12.48,1.45,1.18,59.9,126,2.18,-7.5,-1.61,70.82,50.09
BTC,dd10,15.57,15.46,1.01,0.96,53.4,121,1.71,-9.69,-1.52,70.82,50.09
BTC,mom7d_lt90d|dd5,10.93,11.2,0.98,0.82,73.2,161,3.26,-15.32,-2.09,70.82,50.09
BTC,mom7d_lt90d|dd8,19.09,11.5,1.66,1.25,60.0,126,2.19,-6.56,-1.61,70.82,50.09
BTC,mom14d_lt90d|dd5,10.92,11.21,0.97,0.82,73.2,161,3.26,-15.32,-2.09,70.82,50.09
BTC,mom14d_lt90d|dd8,18.33,12.11,1.51,1.2,60.0,130,2.18,-7.27,-1.66,70.82,50.09
BTC,mom14d|dd5,10.41,12.96,0.8,0.8,75.6,188,3.62,-15.86,-2.42,70.82,50.09
ETH,mom7d,10.76,20.58,0.52,0.47,48.7,462,2.27,-3.01,-5.56,13.41,64.92
ETH,mom14d,28.14,11.25,2.5,1.21,50.7,301,1.87,12.91,-3.69,13.41,64.92
ETH,mom7d_lt90d,19.68,19.06,1.03,0.72,24.6,244,0.66,4.84,-2.88,13.41,64.92
ETH,mom7d_lt180d,7.64,37.61,0.2,0.27,18.3,237,0.4,-7.07,-2.75,13.41,64.92
ETH,mom14d_lt90d,26.32,17.79,1.48,0.96,26.4,122,0.62,10.13,-1.49,13.41,64.92
ETH,mom14d_lt180d,14.59,32.26,0.45,0.52,19.5,153,0.31,-0.93,-1.84,13.41,64.92
ETH,dd5,17.51,13.21,1.33,1.29,89.2,89,4.88,-3.19,-1.23,13.41,64.92
ETH,dd8,11.23,13.37,0.84,0.72,80.6,112,3.65,-7.94,-1.55,13.41,64.92
ETH,dd10,10.18,17.46,0.58,0.61,74.7,85,3.08,-8.76,-1.2,13.41,64.92
ETH,mom7d_lt90d|dd5,17.51,13.21,1.33,1.29,89.2,89,4.88,-3.19,-1.23,13.41,64.92
