mode,annual,max_dd,calmar,sharpe,trades,rebals,funding,hedge_pnl,fees,bh_annual,bh_dd,coin,hedge
floating,29.17,10.6,2.75,1.45,132,0,0.64,5.08,-1.62,70.82,50.09,BTC,mom14d_lt90d
const_v1,32.05,9.64,3.33,1.73,132,112,0.65,4.96,-1.65,70.82,50.09,BTC,mom14d_lt90d
const_v2,31.98,9.62,3.32,1.72,132,103,0.64,4.95,-1.64,70.82,50.09,BTC,mom14d_lt90d
const_v3,38.03,9.14,4.16,2.05,132,105,0.64,4.94,-1.64,70.82,50.09,BTC,mom14d_lt90d
floating,28.14,11.25,2.5,1.21,301,0,1.87,12.91,-3.69,13.41,64.92,ETH,mom14d
const_v1,29.3,9.43,3.11,1.42,301,224,1.84,12.56,-3.71,13.41,64.92,ETH,mom14d
const_v2,29.3,9.43,3.11,1.42,301,224,1.84,12.56,-3.71,13.41,64.92,ETH,mom14d
const_v3,34.64,8.78,3.94,1.68,301,231,1.84,12.56,-3.71,13.41,64.92,ETH,mom14d
floating,49.21,14.92,3.3,1.23,284,0,0.97,-0.85,-3.51,191.56,71.16,SOL,mom14d
const_v1,49.62,13.76,3.61,1.58,284,282,0.88,-0.63,-3.55,191.56,71.16,SOL,mom14d
const_v2,49.61,13.76,3.61,1.58,284,282,0.88,-0.64,-3.55,191.56,71.16,SOL,mom14d
const_v3,58.55,13.75,4.26,1.86,284,282,0.88,-0.64,-3.55,191.56,71.16,SOL,mom14d
floating,32.85,19.28,1.7,0.79,280,0,0.27,18.23,-3.53,-4.61,85.45,AVAX,mom14d
const_v1,37.07,16.03,2.31,1.18,280,271,0.13,17.84,-3.46,-4.61,85.45,AVAX,mom14d
const_v2,37.07,16.03,2.31,1.18,280,268,0.13,17.86,-3.46,-4.61,85.45,AVAX,mom14d
const_v3,43.94,15.46,2.84,1.4,280,268,0.12,17.85,-3.46,-4.61,85.45,AVAX,mom14d
floating,48.77,27.74,1.76,0.77,243,0,1.5,29.76,-3.5,-28.06,98.18,TIA,mom14d
const_v1,37.83,25.93,1.46,0.91,243,301,1.15,29.47,-3.58,-28.06,98.18,TIA,mom14d
const_v2,37.84,25.82,1.47,0.91,243,301,1.15,29.51,-3.58,-28.06,98.18,TIA,mom14d
const_v3,45.49,22.76,2.0,1.1,243,301,1.15,29.51,-3.58,-28.06,98.18,TIA,mom14d
floating,38.35,25.8,1.49,0.73,195,0,0.18,9.2,-2.32,5.95,92.45,INJ,mom14d_lt90d
const_v1,37.35,19.57,1.91,0.93,195,279,0.12,8.86,-2.5,5.95,92.45,INJ,mom14d_lt90d
const_v2,36.08,18.89,1.91,0.9,195,224,0.08,9.14,-2.36,5.95,92.45,INJ,mom14d_lt90d
const_v3,43.74,16.29,2.69,1.1,195,224,0.08,9.14,-2.36,5.95,92.45,INJ,mom14d_lt90d
