thr,slip_bps,hold_h,CAGR,avgDD,Calmar,fees,trades,hedge_pnl
0.20,2,0/0,25.51,17.55,1.45,-5.7,383,10.43
0.10,2,0/0,24.61,17.0,1.45,-5.62,444,9.97
0.05,2,0/0,24.23,16.88,1.44,-5.6,537,9.66
0.50,2,0/0,26.71,18.96,1.41,-5.96,335,9.92
0.20,5,0/0,23.32,19.03,1.23,-8.76,383,10.44
0.10,5,0/0,22.46,18.49,1.21,-8.64,443,9.97
0.05,5,0/0,22.06,18.35,1.2,-8.6,535,9.67
0.50,5,0/0,24.45,20.52,1.19,-9.17,335,9.94
0.20,2,168/168,21.93,20.45,1.07,-0.88,83,0.17
0.05,2,168/168,21.1,19.86,1.06,-0.88,159,0.14
0.50,2,168/168,22.74,21.62,1.05,-0.92,62,-0.77
0.20,5,168/168,21.59,20.64,1.05,-1.33,83,0.15
0.10,2,168/168,21.16,20.27,1.04,-0.88,109,-0.07
0.05,5,168/168,20.74,20.02,1.04,-1.31,158,0.11
0.50,5,168/168,22.35,21.81,1.02,-1.39,62,-0.79
0.10,5,168/168,20.82,20.46,1.02,-1.32,109,-0.09
0.10,2,72/72,18.98,22.68,0.84,-1.4,157,-1.67
0.20,2,72/72,19.55,23.24,0.84,-1.4,121,-1.52
0.05,2,72/72,18.57,22.57,0.82,-1.39,213,-1.51
0.50,2,72/72,20.35,24.84,0.82,-1.47,94,-2.73
0.10,5,72/72,18.42,23.14,0.8,-2.12,157,-1.67
0.20,5,72/72,18.98,23.74,0.8,-2.13,121,-1.52
0.50,5,72/72,19.74,25.34,0.78,-2.24,94,-2.72
0.05,5,72/72,18.01,23.06,0.78,-2.11,213,-1.51
off,2,0/0,32.19,47.66,0.68,-13.75,291,22.05
off,2,72/72,29.1,47.92,0.61,-3.13,71,7.44
off,2,168/168,26.6,45.64,0.58,-1.86,42,2.73
off,5,72/72,27.86,48.86,0.57,-4.82,71,7.44
off,5,168/168,25.74,46.1,0.56,-2.86,42,2.71
off,5,0/0,26.29,51.17,0.51,-21.15,290,21.83
