signal,avg_annual,avg_max_dd,calmar,avg_funding,avg_hedge_pnl,avg_fees
mom14d,29.59,57.33,0.52,0.97,11.32,-3.49
mom30d,25.49,59.92,0.43,0.6,6.46,-2.36
mom14d_lt90d,26.14,61.24,0.43,0.07,7.47,-2.19
mom14d_lt180d,25.97,63.51,0.41,-0.03,6.92,-1.72
mom21d_lt90d,19.46,65.81,0.3,0.04,0.72,-2.09
mom7d,17.37,63.14,0.28,1.31,0.63,-5.37
mom21d,17.04,65.82,0.26,0.69,-1.31,-3.14
ma100,15.76,64.12,0.25,1.53,0.95,-7.51
ma200,15.03,65.32,0.23,1.31,-1.76,-5.31
mom3d,14.56,64.35,0.23,1.6,0.12,-7.95
mom21d_lt180d,13.2,71.19,0.19,-0.06,-5.58,-1.96
dd20,12.46,66.89,0.19,1.02,-8.29,-1.06
dd8,11.92,66.42,0.18,2.91,-10.6,-1.18
dd15,10.97,67.38,0.16,1.67,-10.4,-1.1
combo_mom14_dd10,10.47,67.8,0.15,2.77,-11.69,-1.4
dd12,10.1,67.63,0.15,2.23,-11.72,-1.22
dd10,10.22,67.62,0.15,2.55,-11.97,-1.16
dd5,7.71,67.6,0.11,3.61,-15.38,-1.31
ma50,8.04,70.58,0.11,1.88,-3.33,-11.32
