coin,signal,annual_pct,max_dd_pct,calmar,sharpe,pct_hedged,trades,buy_hold_annual,buy_hold_max_dd
BTC,baseline,30.89,40.9,0.76,0.56,52.5,42,70.82,50.09
BTC,s1_ma200,32.23,41.3,0.78,0.56,37.9,31,70.82,50.09
BTC,s2_mom3d,34.02,39.77,0.86,0.59,42.4,34,70.82,50.09
BTC,s2_mom7d,30.27,43.05,0.7,0.52,36.3,28,70.82,50.09
BTC,s3_combo,36.34,38.81,0.94,0.64,43.3,34,70.82,50.09
ETH,baseline,-2.74,49.49,-0.06,-0.07,46.1,38,13.41,64.92
ETH,s1_ma200,2.02,48.94,0.04,0.04,31.1,26,13.41,64.92
ETH,s2_mom3d,0.47,48.14,0.01,0.01,35.5,27,13.41,64.92
ETH,s2_mom7d,-0.05,51.25,-0.0,-0.0,30.6,24,13.41,64.92
ETH,s3_combo,0.63,48.01,0.01,0.01,36.2,28,13.41,64.92
SOL,baseline,59.11,75.18,0.79,0.16,44.7,48,191.56,71.16
SOL,s1_ma200,82.41,70.18,1.17,0.22,31.4,28,191.56,71.16
SOL,s2_mom3d,70.02,73.07,0.96,0.19,36.9,37,191.56,71.16
SOL,s2_mom7d,75.54,71.71,1.05,0.2,29.5,25,191.56,71.16
SOL,s3_combo,70.3,73.0,0.96,0.19,37.0,37,191.56,71.16
ARB,baseline,13.84,30.19,0.46,0.56,38.6,33,-29.96,96.34
ARB,s1_ma200,-1.57,36.71,-0.04,-0.06,26.5,21,-29.96,96.34
ARB,s2_mom3d,-1.12,35.08,-0.03,-0.04,32.2,22,-29.96,96.34
ARB,s2_mom7d,6.9,34.98,0.2,0.25,27.7,23,-29.96,96.34
ARB,s3_combo,-0.6,35.08,-0.02,-0.02,32.2,22,-29.96,96.34
OP,baseline,5.68,40.38,0.14,0.12,35.7,26,-30.3,97.92
OP,s1_ma200,-11.27,61.96,-0.18,-0.21,22.9,15,-30.3,97.92
OP,s2_mom3d,-5.63,52.26,-0.11,-0.11,27.1,18,-30.3,97.92
OP,s2_mom7d,-12.28,63.07,-0.19,-0.22,22.8,14,-30.3,97.92
OP,s3_combo,-7.02,53.57,-0.13,-0.14,27.7,19,-30.3,97.92
AVAX,baseline,-8.77,66.19,-0.13,-0.11,35.3,40,-4.61,85.45
AVAX,s1_ma200,-0.88,63.7,-0.01,-0.01,17.5,17,-4.61,85.45
AVAX,s2_mom3d,-16.62,77.82,-0.21,-0.19,24.4,24,-4.61,85.45
AVAX,s2_mom7d,8.68,59.22,0.15,0.09,21.6,22,-4.61,85.45
AVAX,s3_combo,-16.67,77.9,-0.21,-0.19,24.4,24,-4.61,85.45
MATIC,baseline,6.74,24.47,0.28,0.31,47.6,11,-38.12,71.95
MATIC,s1_ma200,22.52,22.81,0.99,0.85,36.6,7,-38.12,71.95
MATIC,s2_mom3d,7.68,23.11,0.33,0.33,41.8,8,-38.12,71.95
MATIC,s2_mom7d,12.06,23.43,0.51,0.48,40.4,8,-38.12,71.95
MATIC,s3_combo,8.48,23.11,0.37,0.37,43.9,8,-38.12,71.95
DOGE,baseline,-21.55,92.29,-0.23,-0.2,40.9,27,21.44,81.56
DOGE,s1_ma200,-33.29,105.9,-0.31,-0.29,28.1,18,21.44,81.56
DOGE,s2_mom3d,-28.19,99.61,-0.28,-0.25,33.4,20,21.44,81.56
DOGE,s2_mom7d,-30.45,102.27,-0.3,-0.26,28.2,16,21.44,81.56
DOGE,s3_combo,-26.55,97.66,-0.27,-0.23,33.8,21,21.44,81.56
LINK,baseline,20.9,51.75,0.4,0.22,50.4,31,26.22,73.96
LINK,s1_ma200,24.61,51.32,0.48,0.23,30.5,19,26.22,73.96
LINK,s2_mom3d,29.3,51.23,0.57,0.29,40.0,21,26.22,73.96
LINK,s2_mom7d,25.19,49.99,0.5,0.24,35.0,19,26.22,73.96
LINK,s3_combo,26.61,52.04,0.51,0.27,42.2,24,26.22,73.96
UNI,baseline,-17.14,64.38,-0.27,-0.46,51.6,12,-13.95,84.24
UNI,s1_ma200,-14.89,59.97,-0.25,-0.33,44.3,12,-13.95,84.24
UNI,s2_mom3d,-24.98,78.19,-0.32,-0.64,47.0,12,-13.95,84.24
UNI,s2_mom7d,-18.16,64.71,-0.28,-0.43,44.4,12,-13.95,84.24
