signal,CAGR,avgDD,Calmar,hedge_pnl,trades_yr,pct_hedged
base mom14|mom30,23.57,17.01,1.39,9.98,77,63.5
base | premium<0,16.86,18.3,0.92,4.95,104,76.5
btc_down,21.52,25.56,0.84,5.93,73,41.2
base & btc_down,20.5,26.53,0.77,5.74,77,38.4
donchian55,20.47,29.98,0.68,1.26,41,0.8
base & fund>=0,17.25,27.75,0.62,17.5,320,45.8
base & xsec_weak,17.33,27.82,0.62,2.45,85,38.5
base | fund_rich,11.25,18.84,0.6,-2.3,176,76.3
donchian20,17.64,31.56,0.56,1.65,71,1.5
xsec_weak,12.41,28.33,0.44,-9.92,78,52.7
premium<0,7.45,33.04,0.23,0.79,192,59.5
