coin,config,target_vol,annual,max_dd,calmar,sharpe,trades,rebals,avg_scale,min_scale,max_scale,funding,hedge_pnl,fees,bh_annual,bh_dd
BTC,no_target,—,21.73,10.54,2.06,1.24,300,35,1.0,1.0,1.0,1.87,-1.56,-3.66,70.82,50.09
BTC,tgt_30,0.3,11.35,10.99,1.03,0.95,300,35,0.696,0.428,1.359,1.21,-1.78,-2.63,70.82,50.09
BTC,tgt_50,0.5,18.92,15.21,1.24,0.95,300,35,1.159,0.713,2.0,2.01,-2.96,-4.38,70.82,50.09
BTC,tgt_70,0.7,26.97,17.17,1.57,0.99,300,35,1.572,0.998,2.0,2.81,-4.88,-5.9,70.82,50.09
ETH,no_target,—,28.14,11.25,2.5,1.21,301,35,1.0,1.0,1.0,1.87,12.91,-3.69,13.41,64.92
ETH,tgt_30,0.3,12.73,8.93,1.43,1.07,301,35,0.522,0.289,1.38,0.98,5.47,-1.99,13.41,64.92
ETH,tgt_50,0.5,21.22,13.07,1.62,1.07,301,35,0.869,0.482,2.0,1.64,9.11,-3.31,13.41,64.92
ETH,tgt_70,0.7,29.6,17.65,1.68,1.07,301,35,1.204,0.674,2.0,2.3,12.06,-4.58,13.41,64.92
SOL,no_target,—,49.21,14.92,3.3,1.23,284,35,1.0,1.0,1.0,0.97,-0.85,-3.51,191.56,71.16
SOL,tgt_30,0.3,17.68,8.75,2.02,1.24,284,35,0.373,0.22,0.69,0.27,-0.51,-1.25,191.56,71.16
SOL,tgt_50,0.5,29.46,11.59,2.54,1.24,284,35,0.622,0.367,1.15,0.45,-0.86,-2.08,191.56,71.16
SOL,tgt_70,0.7,41.25,16.02,2.57,1.24,284,35,0.871,0.513,1.61,0.63,-1.2,-2.92,191.56,71.16
AVAX,no_target,—,32.85,19.28,1.7,0.79,280,35,1.0,1.0,1.0,0.27,18.23,-3.53,-4.61,85.45
AVAX,tgt_30,0.3,11.51,10.11,1.14,0.77,280,35,0.367,0.204,0.752,-0.03,5.19,-1.27,-4.61,85.45
AVAX,tgt_50,0.5,19.18,16.81,1.14,0.77,280,35,0.612,0.339,1.253,-0.06,8.66,-2.11,-4.61,85.45
AVAX,tgt_70,0.7,26.85,23.48,1.14,0.77,280,35,0.857,0.475,1.755,-0.08,12.12,-2.96,-4.61,85.45
TIA,no_target,—,48.77,27.74,1.76,0.77,243,30,1.0,1.0,1.0,1.5,29.76,-3.5,-28.06,98.18
TIA,tgt_30,0.3,19.56,16.17,1.21,0.83,243,30,0.275,0.2,0.5,0.35,7.27,-0.93,-28.06,98.18
TIA,tgt_50,0.5,30.08,21.71,1.39,0.78,243,30,0.453,0.218,0.833,0.52,12.16,-1.52,-28.06,98.18
TIA,tgt_70,0.7,42.11,25.45,1.65,0.78,243,30,0.635,0.306,1.167,0.73,17.02,-2.13,-28.06,98.18
INJ,no_target,—,36.81,30.16,1.22,0.76,291,35,1.0,1.0,1.0,0.24,8.93,-3.66,5.95,92.45
INJ,tgt_30,0.3,16.28,12.39,1.31,1.06,291,35,0.303,0.2,0.589,-0.12,1.62,-1.06,5.95,92.45
INJ,tgt_50,0.5,27.14,16.96,1.6,1.06,291,35,0.504,0.305,0.982,-0.21,2.71,-1.77,5.95,92.45
INJ,tgt_70,0.7,37.99,20.15,1.89,1.06,291,35,0.706,0.427,1.375,-0.29,3.8,-2.48,5.95,92.45
