entry_threshold,base_min_hold,breakeven_cap_hours,period,annual,max_dd,calmar,sharpe,trades,avg_hold_h,tim_pct,pct_breakeven_reached
baseline_COMBO,120,n/a,full,9.93,0.1,100.9,34.95,60,120.0,70.9,n/a
baseline_COMBO,120,n/a,last_90d,0.0,0.0,0.0,0.0,0,120.0,0.0,n/a
baseline_DynAgg,24,n/a,full,11.19,0.76,14.8,35.89,84,536.4,100.0,n/a
baseline_DynAgg,24,n/a,last_90d,2.79,0.05,51.2,14.33,6,536.4,100.0,n/a
0.05,24,120,full,-1.93,21.33,-0.1,-2.29,1377,53.8,99.1,4.2
0.05,24,120,last_90d,-32.6,8.04,-4.1,-28.28,258,53.8,99.8,4.2
0.05,24,240,full,9.59,2.42,4.0,19.95,412,177.6,99.1,22.3
0.05,24,240,last_90d,-4.11,1.31,-3.1,-8.05,59,177.6,99.6,22.3
0.05,24,480,full,10.72,1.61,6.7,24.37,328,222.6,98.9,28.7
0.05,24,480,last_90d,-2.46,0.93,-2.6,-5.5,47,222.6,100.0,28.7
0.05,24,720,full,10.87,1.53,7.1,24.96,316,231.3,98.9,29.7
0.05,24,720,last_90d,-1.88,0.79,-2.4,-4.35,43,231.3,100.0,29.7
0.05,48,120,full,8.34,2.99,2.8,15.6,508,146.1,99.5,15.4
0.05,48,120,last_90d,-8.72,2.24,-3.9,-13.34,90,146.1,100.0,15.4
0.05,48,240,full,10.76,1.56,6.9,24.7,303,243.7,99.4,29.7
0.05,48,240,last_90d,-2.33,0.86,-2.7,-5.24,45,243.7,99.8,29.7
0.05,48,480,full,11.11,1.17,9.5,26.55,273,270.0,99.3,34.4
0.05,48,480,last_90d,-1.64,0.71,-2.3,-3.85,40,270.0,100.0,34.4
0.05,48,720,full,11.26,1.11,10.1,27.29,261,282.5,99.4,35.6
0.05,48,720,last_90d,-1.36,0.64,-2.1,-3.22,38,282.5,100.0,35.6
0.05,72,120,full,10.79,1.57,6.9,24.01,305,244.6,99.6,29.2
0.05,72,120,last_90d,-4.0,1.16,-3.4,-7.67,55,244.6,100.0,29.2
0.05,72,240,full,11.53,1.27,9.1,27.29,261,284.4,99.5,34.5
0.05,72,240,last_90d,-1.25,0.62,-2.0,-3.04,37,284.4,100.0,34.5
0.05,72,480,full,11.49,1.08,10.6,28.25,245,303.3,99.6,38.0
0.05,72,480,last_90d,-0.88,0.52,-1.7,-2.19,34,303.3,100.0,38.0
0.05,72,720,full,11.58,1.1,10.5,28.75,238,312.2,99.5,39.1
0.05,72,720,last_90d,-0.37,0.44,-0.8,-0.97,31,312.2,100.0,39.1
0.08,24,120,full,-1.08,19.88,-0.1,-1.34,1303,55.8,98.4,4.4
0.08,24,120,last_90d,-31.05,7.66,-4.1,-27.6,247,55.8,99.1,4.4
0.08,24,240,full,10.3,1.65,6.2,23.26,354,201.9,98.3,25.4
0.08,24,240,last_90d,-2.87,1.03,-2.8,-6.7,50,201.9,98.8,25.4
0.08,24,480,full,11.18,1.21,9.2,26.95,292,246.3,98.5,31.2
0.08,24,480,last_90d,-1.34,0.69,-2.0,-3.43,39,246.3,99.2,31.2
0.08,24,720,full,11.3,1.14,9.9,27.48,283,254.5,98.5,32.5
0.08,24,720,last_90d,-0.9,0.58,-1.6,-2.43,36,254.5,99.8,32.5
0.08,48,120,full,7.56,3.16,2.4,14.79,504,145.6,99.0,14.3
0.08,48,120,last_90d,-9.81,2.51,-3.9,-14.6,97,145.6,100.0,14.3
0.08,48,240,full,11.03,1.0,11.1,26.55,283,256.8,98.8,32.9
0.08,48,240,last_90d,-1.71,0.74,-2.3,-4.25,41,256.8,99.8,32.9
0.08,48,480,full,11.37,0.89,12.8,28.18,256,284.3,98.8,35.9
0.08,48,480,last_90d,-0.89,0.56,-1.6,-2.42,35,284.3,99.3,35.9
0.08,48,720,full,11.47,0.82,13.9,28.67,248,293.6,98.9,37.1
0.08,48,720,last_90d,-0.7,0.51,-1.4,-1.95,34,293.6,99.8,37.1
0.08,72,120,full,11.07,1.26,8.8,25.55,287,256.4,99.2,29.3
0.08,72,120,last_90d,-2.1,0.8,-2.6,-4.88,43,256.4,99.4,29.3
0.08,72,240,full,11.93,0.87,13.8,29.7,237,309.3,99.1,37.6
0.08,72,240,last_90d,-0.47,0.46,-1.0,-1.33,32,309.3,100.0,37.6
0.08,72,480,full,11.8,0.76,15.6,30.21,228,321.5,99.2,39.0
0.08,72,480,last_90d,-0.31,0.42,-0.7,-0.88,31,321.5,100.0,39.0
0.08,72,720,full,11.84,0.77,15.3,30.58,222,330.2,99.1,40.1
0.08,72,720,last_90d,-0.0,0.34,-0.0,-0.01,29,330.2,100.0,40.1
0.15,24,120,full,11.3,0.21,55.1,33.9,134,328.9,70.7,41.0
0.15,24,120,last_90d,-0.44,0.11,-4.1,-4.49,4,328.9,3.7,41.0
0.15,24,240,full,11.87,0.17,69.5,36.83,110,458.2,75.2,55.5
0.15,24,240,last_90d,-0.07,0.05,-1.3,-0.56,3,458.2,13.4,55.5
0.15,24,480,full,11.89,0.17,69.7,37.08,107,471.9,75.2,57.9
0.15,24,480,last_90d,-0.07,0.05,-1.3,-0.56,3,471.9,13.4,57.9
0.15,24,720,full,11.91,0.14,87.1,37.18,106,476.9,75.3,58.5
0.15,24,720,last_90d,-0.07,0.05,-1.3,-0.56,3,476.9,13.4,58.5
0.15,48,120,full,11.7,0.15,80.0,35.98,114,428.3,74.9,53.5
0.15,48,120,last_90d,-0.07,0.05,-1.3,-0.56,3,428.3,13.4,53.5
0.15,48,240,full,11.88,0.15,81.3,36.97,107,473.5,75.4,57.0
0.15,48,240,last_90d,-0.07,0.05,-1.3,-0.56,3,473.5,13.4,57.0
0.15,48,480,full,11.92,0.15,81.8,37.24,105,487.2,77.1,60.0
0.15,48,480,last_90d,-0.07,0.05,-1.3,-0.56,3,487.2,13.4,60.0
0.15,48,720,full,11.94,0.11,106.6,37.35,104,492.4,77.2,60.6
0.15,48,720,last_90d,-0.07,0.05,-1.3,-0.56,3,492.4,13.4,60.6
0.15,72,120,full,11.92,0.16,76.0,37.26,106,481.1,75.8,57.5
0.15,72,120,last_90d,-0.07,0.05,-1.3,-0.56,3,481.1,13.4,57.5
0.15,72,240,full,12.07,0.12,97.6,38.04,99,523.6,78.1,62.6
0.15,72,240,last_90d,-0.07,0.05,-1.3,-0.56,3,523.6,13.4,62.6
0.15,72,480,full,12.07,0.12,97.7,38.27,96,541.5,78.1,64.6
0.15,72,480,last_90d,-0.07,0.05,-1.3,-0.56,3,541.5,13.4,64.6
0.15,72,720,full,12.07,0.12,97.4,38.26,96,541.6,78.1,64.6
0.15,72,720,last_90d,-0.07,0.05,-1.3,-0.56,3,541.6,13.4,64.6
