mode,top_x,lookback,hard_floor,safety_mult,period,annual,max_dd,calmar,sharpe,trades,tim_pct,median_wait_h,n_empty_windows
baseline_30_120,,,,,full,9.93,0.1,100.9,34.95,60,70.9,237,14
baseline_30_120,,,,,last_90d,0.0,0.0,0.0,0.0,0,0.0,2160,1
baseline_15_120,,,,,full,9.79,0.12,83.5,33.72,69,79.6,178,14
baseline_15_120,,,,,last_90d,-0.07,0.05,-1.3,-0.56,3,13.4,1870,1
dynamic_only,,,,,full,10.34,0.13,77.1,36.09,83,83.4,280,8
dynamic_only,,,,,last_90d,-0.07,0.05,-1.3,-0.56,3,13.4,1870,1
dynamic_only_aggressive,,,,,full,11.19,0.76,14.8,35.89,84,100.0,0,0
dynamic_only_aggressive,,,,,last_90d,2.79,0.05,51.2,14.33,6,100.0,0,0
adaptive_only,,,,,full,7.96,0.41,19.6,32.93,76,66.9,396,16
adaptive_only,,,,,last_90d,0.22,0.06,3.7,1.35,7,37.7,1346,1
combined,10.0,60.0,0.08,3.0,full,8.47,1.23,6.9,31.87,73,79.2,227,13
combined,10.0,60.0,0.08,3.0,last_90d,0.37,0.06,6.4,2.42,5,58.9,888,1
combined,10.0,60.0,0.08,5.0,full,9.42,1.19,7.9,34.95,58,84.4,345,8
combined,10.0,60.0,0.08,5.0,last_90d,0.14,0.09,1.7,0.89,5,58.9,888,1
combined,10.0,60.0,0.1,3.0,full,8.95,1.12,8.0,33.29,72,79.8,227,13
combined,10.0,60.0,0.1,3.0,last_90d,0.83,0.07,12.7,5.17,5,58.9,888,1
combined,10.0,60.0,0.1,5.0,full,9.48,1.04,9.1,35.48,57,84.6,407,7
combined,10.0,60.0,0.1,5.0,last_90d,0.13,0.09,1.5,0.85,5,58.9,888,1
combined,10.0,90.0,0.08,3.0,full,8.28,0.73,11.3,36.64,57,70.4,406,12
combined,10.0,90.0,0.08,3.0,last_90d,0.77,0.06,13.9,5.56,4,37.9,1342,1
combined,10.0,90.0,0.08,5.0,full,7.87,0.66,12.0,36.09,54,72.6,407,11
combined,10.0,90.0,0.08,5.0,last_90d,0.93,0.06,16.5,7.08,3,37.9,1342,1
combined,10.0,90.0,0.1,3.0,full,7.94,0.68,11.7,36.46,58,70.4,406,12
combined,10.0,90.0,0.1,3.0,last_90d,0.77,0.06,13.9,5.53,4,37.7,1346,1
