coin,stk%,buy_hold,bh_dd,A_cycle,A_cyc_dd,A_cyc_calmar,A_keep,A_keep_dd,B,B_dd,B_calmar,A_cyc_trades,B_trades
MATIC,4%,-38.12,71.95,14.69,0.64,22.85,6.74,24.47,22.52,22.81,0.99,11,7
DOGE,0%,21.44,81.56,12.17,0.19,64.34,-21.55,92.29,-33.29,105.9,-0.31,27,18
SOL,8%,191.56,71.16,10.76,0.37,28.88,59.11,75.18,82.41,70.18,1.17,48,28
WIF,0%,-38.48,96.64,10.58,0.16,68.11,-32.63,79.48,-16.32,63.67,-0.26,19,14
INJ,18%,5.95,92.45,10.25,1.3,7.86,0.23,80.8,4.13,80.01,0.05,28,16
TIA,14%,-28.06,98.18,9.97,0.42,23.56,-8.14,83.15,-31.06,96.2,-0.32,26,17
UNI,0%,-13.95,84.24,9.38,0.2,47.5,-17.14,64.38,-14.89,59.97,-0.25,12,12
AAVE,0%,11.83,78.18,9.24,0.23,39.43,9.17,59.23,12.2,59.08,0.21,28,21
LINK,0%,26.22,73.96,7.68,0.34,22.73,20.9,51.75,24.61,51.32,0.48,31,19
AVAX,6%,-4.61,85.45,7.13,0.56,12.71,-8.77,66.19,-0.88,63.7,-0.01,40,17
ETH,4%,13.41,64.92,6.97,0.27,25.61,-2.74,49.49,2.02,48.94,0.04,38,26
OP,0%,-30.3,97.92,6.32,0.35,18.07,5.68,40.38,-11.27,61.96,-0.18,26,15
BTC,0%,70.82,50.09,6.05,0.16,37.07,30.89,40.9,32.23,41.3,0.78,42,31
ARB,0%,-29.96,96.34,5.81,0.52,11.08,13.84,30.19,-1.57,36.71,-0.04,33,21
