fallback_ratio,fb_min_hold,peak_$,annual_theory,max_dd_theory,calmar_theory,sharpe_theory,total_trades,fallback_trades,time_in_market_pct
None,None,6000,9.93,0.1,100.9,34.95,78,0,70.9
0.4,None(=120),6000,10.06,0.16,63.6,34.66,89,20,81.4
0.4,1,6000,9.99,0.25,40.5,33.97,96,27,78.5
0.4,6,6000,10.01,0.18,55.4,34.23,94,25,78.5
0.4,24,6000,10.05,0.16,61.9,34.42,93,24,80.5
0.4,72,6000,10.03,0.19,53.6,34.32,92,24,81.0
0.5,None(=120),6000,10.03,0.13,78.8,34.72,87,19,79.1
0.5,1,6000,9.94,0.19,53.2,34.05,93,24,75.6
0.5,6,6000,9.95,0.16,63.6,34.17,92,23,75.7
0.5,24,6000,9.99,0.14,71.6,34.43,91,22,77.6
0.5,72,6000,10.03,0.16,64.3,34.65,87,21,78.9
0.6,None(=120),6000,10.06,0.1,98.8,35.01,84,17,78.1
0.6,1,6000,9.95,0.16,61.6,34.25,90,22,74.6
0.6,6,6000,9.96,0.13,75.8,34.37,89,21,74.7
0.6,24,6000,9.99,0.14,69.7,34.54,88,21,76.6
0.6,72,6000,10.06,0.13,76.4,34.91,85,19,78.2
