max_K,peak_$,avg_active_$,annual_peak,calmar_peak,annual_theory,max_dd_theory,calmar_theory,trades,params
1,2000,2000.0,11.34,25.3,11.34,0.45,25.3,60,baseline
2,4000,3622.0,10.55,33.5,10.55,0.31,33.5,110,baseline
3,6000,4977.0,9.5,31.7,9.5,0.3,31.7,158,baseline
4,8000,6105.0,9.27,41.0,9.27,0.23,41.0,193,baseline
5,10000,7041.0,8.75,46.9,8.75,0.19,46.9,222,baseline
6,12000,7777.0,8.34,54.4,8.34,0.15,54.4,241,baseline
7,14000,8293.0,7.86,59.8,7.86,0.13,59.8,254,baseline
1,2000,,11.46,41.2,11.46,0.28,41.2,26,combo
2,4000,,9.87,68.0,9.87,0.15,68.0,54,combo
3,6000,,9.93,100.9,9.93,0.1,100.9,78,combo
4,8000,,9.48,127.9,9.48,0.07,127.9,96,combo
5,10000,,8.86,130.1,8.86,0.07,130.1,110,combo
7,14000,,8.01,157.9,8.01,0.05,157.9,130,combo
