ts_ms,coin,funding_rate_quote_per_base,oracle_twap,funding_rate_normalized,annualized_pct
1704227023000,AVAX,0.000339916,40.794623,8.3324e-06,7.299158
1704232953000,AVAX,0.00132725,40.609588,3.26832e-05,28.630455
1704236482000,AVAX,0.001021083,40.706603,2.5084e-05,21.973553
1704240148000,AVAX,0.0008265,40.698959,2.03076e-05,17.789497
1704243775000,AVAX,0.001604125,40.730679,3.93837e-05,34.500125
1704247346000,AVAX,0.001907666,40.74105,4.68242e-05,41.017976
1704250894000,AVAX,0.002520416,40.714376,6.19048e-05,54.22862
1704254555000,AVAX,0.00279675,40.644882,6.88094e-05,60.277036
1704258155000,AVAX,0.004129083,40.676519,0.0001015102,88.922966
1704261748000,AVAX,0.004318958,40.807426,0.0001058376,92.713694
1704265368000,AVAX,0.0061185,40.931947,0.0001494798,130.944321
1704268953000,AVAX,0.006091,40.951966,0.0001487352,130.29206
1704272569000,AVAX,0.005966708,40.910956,0.0001458462,127.761283
1704276111000,AVAX,0.005872791,41.029144,0.0001431371,125.388064
1704279746000,AVAX,0.002633541,41.097538,6.40803e-05,56.134309
1704283285000,AVAX,-0.000384208,40.390674,-9.5123e-06,-8.33277
1704286809000,AVAX,0.001886833,37.972534,4.96894e-05,43.527928
1704290473000,AVAX,0.00290275,37.34742,7.77229e-05,68.085265
1704294053000,AVAX,0.000768041,36.60242,2.09833e-05,18.381405
1704297648000,AVAX,0.00521425,36.517041,0.0001427895,125.083601
1704301311000,AVAX,0.005181583,36.708018,0.0001411567,123.653277
1704304873000,AVAX,0.002652041,36.504461,7.26498e-05,63.641206
1704308418000,AVAX,0.001330666,36.36333,3.65936e-05,32.056014
1704312120000,AVAX,0.002584125,36.324736,7.11395e-05,62.318237
1704315646000,AVAX,0.006506041,36.677157,0.0001773867,155.390777
1704319344000,AVAX,0.006714791,37.058816,0.0001811928,158.724901
1704322929000,AVAX,0.003338708,36.912622,9.0449e-05,79.233283
1704326542000,AVAX,0.004976458,36.76397,0.0001353624,118.577434
1704330149000,AVAX,0.004928375,36.932329,0.0001334434,116.896405
1704333743000,AVAX,0.0003065,36.606562,8.3728e-06,7.334587
1704337255000,AVAX,0.005289166,36.771295,0.0001438395,126.003433
1704340945000,AVAX,0.004195416,36.844079,0.0001138695,99.749662
1704344538000,AVAX,0.003686,36.92952,9.98117e-05,87.435093
1704348053000,AVAX,0.002807958,36.989908,7.59115e-05,66.498441
1704351729000,AVAX,0.007595666,37.093283,0.000204772,179.380278
1704355330000,AVAX,0.004377291,36.969154,0.0001184039,103.721792
1704358847000,AVAX,0.000501125,36.74121,1.36393e-05,11.948041
1704362560000,AVAX,0.008225875,36.742204,0.0002238808,196.119604
1704366130000,AVAX,0.00545425,36.620426,0.0001489401,130.47153
1704369613000,AVAX,0.005425875,36.860798,0.0001471991,128.946381
1704373292000,AVAX,0.003734833,37.03731,0.0001008397,88.335619
1704376930000,AVAX,0.005038,37.1054,0.0001357754,118.939238
1704380424000,AVAX,0.005810833,37.358782,0.0001555413,136.254167
1704384130000,AVAX,0.00660175,38.102143,0.0001732645,151.779731
1704387760000,AVAX,0.007072708,38.387642,0.0001842444,161.398093
1704391322000,AVAX,0.005835375,38.585771,0.0001512313,132.478589
1704394886000,AVAX,0.006089041,38.790005,0.0001569745,137.509648
1704398446000,AVAX,0.00669875,38.957394,0.0001719507,150.628787
1704402062000,AVAX,0.007160125,39.013558,0.0001835291,160.771532
1704405727000,AVAX,0.004439416,38.835481,0.0001143134,100.138541
1704409233000,AVAX,0.003223166,38.671857,8.33466e-05,73.011581
1704412936000,AVAX,0.006180208,38.718172,0.0001596203,139.827423
1704416534000,AVAX,0.007249166,38.707267,0.0001872818,164.058842
1704420139000,AVAX,0.008213916,38.20631,0.0002149885,188.329897
1704423742000,AVAX,0.006478833,37.659034,0.0001720393,150.706407
1704427297000,AVAX,0.00038925,37.384345,1.04121e-05,9.12101
1704430933000,AVAX,0.008414291,37.044858,0.0002271379,198.972794
1704434529000,AVAX,0.008822958,37.015121,0.0002383609,208.804159
1704438128000,AVAX,0.011666583,37.064815,0.0003147617,275.731221
1704441621000,AVAX,0.004839458,37.111186,0.0001304043,114.234161
1704445351000,AVAX,0.005596333,37.284842,0.0001500967,131.484739
1704448943000,AVAX,0.006536833,37.385098,0.0001748513,153.169739
1704452497000,AVAX,0.004125916,37.230354,0.0001108213,97.079453
1704456130000,AVAX,0.003240958,36.865342,8.79134e-05,77.012149
1704459744000,AVAX,0.006640041,36.709429,0.0001808811,158.451822
1704463350000,AVAX,0.004314,36.730678,0.0001174495,102.885768
1704466908000,AVAX,0.002716166,36.389609,7.46413e-05,65.385737
1704470543000,AVAX,0.003663208,36.184115,0.000101238,88.684502
