ts_ms,coin,funding_rate_quote_per_base,oracle_twap,funding_rate_normalized,annualized_pct
1685577603000,BTC,-0.076398791,27179.994987,-2.8108e-06,-2.462301
1685581203000,BTC,-0.094179708,27180.643976,-3.465e-06,-3.035301
1685584805000,BTC,-0.063549916,27148.034403,-2.3409e-06,-2.050599
1685588400000,BTC,-0.065853125,27048.174838,-2.4347e-06,-2.132763
1685592005000,BTC,-0.039862416,26876.856568,-1.4832e-06,-1.29924
1685595605000,BTC,-0.002698708,26827.547149,-1.006e-07,-0.088121
1685599206000,BTC,-0.001438583,26836.095473,-5.36e-08,-0.046959
1685602810000,BTC,-0.05637575,26837.602468,-2.1006e-06,-1.840148
1685606405000,BTC,-0.052756041,26824.764854,-1.9667e-06,-1.722822
1685610004000,BTC,-0.031750166,26844.077889,-1.1828e-06,-1.0361
1685613605000,BTC,-0.025690666,26899.75695,-9.551e-07,-0.836626
1685617207000,BTC,-0.010663333,26893.51738,-3.965e-07,-0.347336
1685620805000,BTC,0.01087775,26882.453061,4.046e-07,0.354466
1685624405000,BTC,-0.020104041,26894.095961,-7.475e-07,-0.654833
1685628039000,BTC,-0.038763791,26906.196149,-1.4407e-06,-1.262054
1685631605000,BTC,-0.021472583,26897.143949,-7.983e-07,-0.69933
1685635207000,BTC,0.291048375,26900.532109,1.08194e-05,9.477819
1685638805000,BTC,1.73913075,26915.093113,6.46154e-05,56.603131
1685642405000,BTC,-5.3541e-05,26961.458935,-2e-09,-0.00174
1685646004000,BTC,0.018244666,26979.85868,6.762e-07,0.59238
1685649608000,BTC,-0.976438041,26907.603261,-3.62886e-05,-31.788774
1685653205000,BTC,-0.321597791,26881.284075,-1.19636e-05,-10.480142
1685656805000,BTC,-0.059769125,26904.600221,-2.2215e-06,-1.946052
1685660404000,BTC,7.775e-05,26893.330503,2.9e-09,0.002533
1685664004000,BTC,-0.016681625,26855.511572,-6.212e-07,-0.544138
1685667605000,BTC,-0.116631208,26786.182686,-4.3542e-06,-3.81424
1685671206000,BTC,-0.047245625,26795.992294,-1.7632e-06,-1.544528
1685674805000,BTC,-0.021050916,26879.72151,-7.832e-07,-0.686041
1685678404000,BTC,-0.004745458,26925.102922,-1.762e-07,-0.154392
1685682008000,BTC,-0.031625208,26996.974758,-1.1714e-06,-1.026177
1685685603000,BTC,-0.065759541,27090.33038,-2.4274e-06,-2.126418
1685689206000,BTC,-0.0793765,27119.008374,-2.927e-06,-2.564025
1685692804000,BTC,-0.023514041,27100.64406,-8.677e-07,-0.760067
1685696403000,BTC,0.086536166,27114.264229,3.1915e-06,2.795786
1685700006000,BTC,-0.005882833,27115.603666,-2.17e-07,-0.190052
1685703604000,BTC,0.03873825,27100.073811,1.4295e-06,1.2522
1685707207000,BTC,0.087300666,27111.975102,3.22e-06,2.820723
1685710802000,BTC,-0.031379916,27119.428537,-1.1571e-06,-1.01362
1685714405000,BTC,-0.042280708,27072.980999,-1.5617e-06,-1.368076
1685718004000,BTC,-0.004595625,26996.094137,-1.702e-07,-0.149124
1685721606000,BTC,-0.0318785,27014.442148,-1.1801e-06,-1.033727
1685725207000,BTC,-0.093220916,27053.903168,-3.4457e-06,-3.018475
1685728805000,BTC,-0.09895075,27066.228396,-3.6559e-06,-3.202547
1685732403000,BTC,-0.0626965,27076.981379,-2.3155e-06,-2.02837
1685736005000,BTC,-0.101201541,27167.211895,-3.7251e-06,-3.263219
1685739606000,BTC,-0.076919291,27198.51795,-2.8281e-06,-2.477389
1685743205000,BTC,-0.083202833,27198.904504,-3.0591e-06,-2.679729
1685746804000,BTC,-0.098861375,27238.835761,-3.6294e-06,-3.179378
1685750404000,BTC,-0.113204791,27251.161794,-4.1541e-06,-3.639015
1685754006000,BTC,-0.118388708,27221.191634,-4.3491e-06,-3.809845
