ts_ms,coin,funding_rate_quote_per_base,oracle_twap,funding_rate_normalized,annualized_pct
1685577620000,DOGE,-4.1e-08,0.071623,-5.724e-07,-0.501459
1685581220000,DOGE,-4.1e-08,0.071651,-5.722e-07,-0.501263
1685584814000,DOGE,-1.25e-07,0.071757,-1.742e-06,-1.525984
1685588420000,DOGE,0.0,0.071516,0.0,0.0
1685592019000,DOGE,-4.1e-08,0.071336,-5.747e-07,-0.503477
1685595617000,DOGE,-1.25e-07,0.071353,-1.7519e-06,-1.534624
1685599216000,DOGE,-4.1e-08,0.071598,-5.726e-07,-0.501634
1685602822000,DOGE,0.0,0.071573,0.0,0.0
1685606417000,DOGE,-1.25e-07,0.071552,-1.747e-06,-1.530356
1685610036000,DOGE,-4.1e-08,0.071572,-5.728e-07,-0.501816
1685613613000,DOGE,-2.08e-07,0.071756,-2.8987e-06,-2.539272
1685617219000,DOGE,0.0,0.071675,0.0,0.0
1685620817000,DOGE,-1.25e-07,0.071787,-1.7413e-06,-1.525346
1685624414000,DOGE,-1.66e-07,0.071888,-2.3091e-06,-2.022813
1685628034000,DOGE,0.0,0.07173,0.0,0.0
1685631616000,DOGE,-1.25e-07,0.071709,-1.7432e-06,-1.527005
1685635218000,DOGE,-4.1e-08,0.071719,-5.717e-07,-0.500788
1685638816000,DOGE,-8.33e-07,0.071861,-1.15918e-05,-10.154437
1685642416000,DOGE,-4.1e-08,0.071966,-5.697e-07,-0.499069
1685646014000,DOGE,-1.25e-07,0.072073,-1.7344e-06,-1.519293
1685649619000,DOGE,0.0,0.071867,0.0,0.0
1685653213000,DOGE,-8.3e-08,0.071751,-1.1568e-06,-1.013338
1685656817000,DOGE,-4.1e-08,0.071758,-5.714e-07,-0.500516
1685660417000,DOGE,-4.1e-08,0.07178,-5.712e-07,-0.500362
1685664020000,DOGE,0.0,0.071572,0.0,0.0
1685667623000,DOGE,0.0,0.071469,0.0,0.0
1685671216000,DOGE,-1.25e-07,0.071601,-1.7458e-06,-1.529308
1685674816000,DOGE,-7.91e-07,0.071799,-1.10169e-05,-9.650775
1685678411000,DOGE,-1.25e-07,0.071963,-1.737e-06,-1.521615
1685682030000,DOGE,-4.1e-08,0.072018,-5.693e-07,-0.498709
1685685612000,DOGE,-1.25e-07,0.072108,-1.7335e-06,-1.518556
1685689214000,DOGE,0.0,0.072032,0.0,0.0
1685692823000,DOGE,-4.1e-08,0.072069,-5.689e-07,-0.498356
1685696418000,DOGE,-1.66e-07,0.072254,-2.2975e-06,-2.012567
1685700019000,DOGE,0.0,0.072167,0.0,0.0
1685703625000,DOGE,0.0,0.072149,0.0,0.0
1685707225000,DOGE,0.0,0.072147,0.0,0.0
1685710816000,DOGE,-1.25e-07,0.072056,-1.7348e-06,-1.519651
1685714419000,DOGE,-1.66e-07,0.071852,-2.3103e-06,-2.023827
1685718021000,DOGE,0.0,0.071843,0.0,0.0
1685721618000,DOGE,-1.25e-07,0.0721,-1.7337e-06,-1.518724
1685725225000,DOGE,0.0,0.072066,0.0,0.0
1685728821000,DOGE,-1.25e-07,0.072165,-1.7321e-06,-1.517356
1685732427000,DOGE,-4.1e-08,0.072256,-5.674e-07,-0.497066
1685736021000,DOGE,-1.25e-07,0.072727,-1.7188e-06,-1.505631
1685739621000,DOGE,0.0,0.07272,0.0,0.0
1685743223000,DOGE,0.0,0.072634,0.0,0.0
1685746811000,DOGE,2.08e-07,0.072601,2.865e-06,2.509717
1685750414000,DOGE,0.0,0.072584,0.0,0.0
1685754015000,DOGE,0.0,0.072469,0.0,0.0
1685757619000,DOGE,0.0,0.072301,0.0,0.0
1685761217000,DOGE,-1.25e-07,0.072348,-1.7278e-06,-1.513518
1685764820000,DOGE,-2.08e-07,0.072406,-2.8727e-06,-2.516477
1685768423000,DOGE,-4.16e-07,0.072427,-5.7437e-06,-5.031494
1685772014000,DOGE,-5e-07,0.072492,-6.8973e-06,-6.042046
1685775623000,DOGE,-4.1e-08,0.072518,-5.654e-07,-0.49527
1685779222000,DOGE,-4.1e-08,0.072557,-5.651e-07,-0.495004
1685782819000,DOGE,-8.3e-08,0.072473,-1.1453e-06,-1.003243
1685786418000,DOGE,-4.1e-08,0.072457,-5.659e-07,-0.495687
1685790022000,DOGE,-4.1e-08,0.072466,-5.658e-07,-0.495626
1685793619000,DOGE,-1.66e-07,0.072556,-2.2879e-06,-2.00419
1685797215000,DOGE,-1.66e-07,0.072672,-2.2842e-06,-2.000991
1685800817000,DOGE,0.0,0.072626,0.0,0.0
1685804411000,DOGE,-5.41e-07,0.072696,-7.442e-06,-6.519148
1685808016000,DOGE,-4.1e-08,0.072756,-5.635e-07,-0.49365
1685811617000,DOGE,-4.1e-08,0.072841,-5.629e-07,-0.493074
1685815224000,DOGE,0.0,0.072683,0.0,0.0
1685818818000,DOGE,-8.3e-08,0.072684,-1.1419e-06,-1.00033
1685822420000,DOGE,0.0,0.072475,0.0,0.0
1685826024000,DOGE,-4.1e-08,0.072521,-5.654e-07,-0.49525
1685829615000,DOGE,-1.25e-07,0.072412,-1.7262e-06,-1.51218
1685833220000,DOGE,-4.1e-08,0.072518,-5.654e-07,-0.49527
1685836821000,DOGE,-4.1e-08,0.072658,-5.643e-07,-0.494316
1685840424000,DOGE,0.0,0.072588,0.0,0.0
1685844022000,DOGE,-1.25e-07,0.072734,-1.7186e-06,-1.505486
1685847613000,DOGE,-1.25e-07,0.072873,-1.7153e-06,-1.502614
1685851214000,DOGE,0.0,0.072691,0.0,0.0
1685854816000,DOGE,0.0,0.072665,0.0,0.0
1685858414000,DOGE,-8.3e-08,0.072658,-1.1423e-06,-1.000688
1685862017000,DOGE,-4.1e-08,0.07285,-5.628e-07,-0.493013
1685865620000,DOGE,-4.1e-08,0.07285,-5.628e-07,-0.493013
1685869224000,DOGE,-4.1e-08,0.07287,-5.626e-07,-0.492878
1685872819000,DOGE,-1.25e-07,0.07299,-1.7126e-06,-1.500206
1685876422000,DOGE,0.0,0.072955,0.0,0.0
1685880014000,DOGE,-1.25e-07,0.072883,-1.7151e-06,-1.502408
1685883619000,DOGE,2.91e-07,0.072846,3.9947e-06,3.499382
1685887223000,DOGE,-4.1e-08,0.072867,-5.627e-07,-0.492898
1685890819000,DOGE,-8.3e-08,0.072855,-1.1392e-06,-0.997982
1685894414000,DOGE,-1.25e-07,0.072791,-1.7172e-06,-1.504307
1685898013000,DOGE,-4.1e-08,0.072741,-5.636e-07,-0.493752
1685901615000,DOGE,4.16e-07,0.07266,5.7253e-06,5.015359
1685905220000,DOGE,-4.1e-08,0.072832,-5.629e-07,-0.493135
1685908820000,DOGE,-3.33e-07,0.072873,-4.5696e-06,-4.002964
1685912411000,DOGE,-1.66e-07,0.073003,-2.2739e-06,-1.991918
1685916015000,DOGE,5.41e-07,0.072908,7.4203e-06,6.500192
1685919610000,DOGE,-1.66e-07,0.072985,-2.2744e-06,-1.992409
1685923216000,DOGE,0.0,0.072724,0.0,0.0
1685926820000,DOGE,0.0,0.072511,0.0,0.0
1685930416000,DOGE,-1.25e-07,0.072242,-1.7303e-06,-1.515739
1685934017000,DOGE,0.0,0.072025,0.0,0.0
1685937623000,DOGE,0.0,0.071631,0.0,0.0
1685941217000,DOGE,-1.25e-07,0.071712,-1.7431e-06,-1.526941
1685944815000,DOGE,1.66e-07,0.071702,2.3151e-06,2.028061
1685948414000,DOGE,-4.1e-08,0.071693,-5.719e-07,-0.500969
1685952020000,DOGE,-4.1e-08,0.071757,-5.714e-07,-0.500523
1685955635000,DOGE,-4.1e-08,0.071802,-5.71e-07,-0.500209
1685959222000,DOGE,-8.3e-08,0.071796,-1.1561e-06,-1.012703
1685962829000,DOGE,0.0,0.071708,0.0,0.0
1685966421000,DOGE,-1.25e-07,0.071789,-1.7412e-06,-1.525303
1685970032000,DOGE,0.0,0.071696,0.0,0.0
1685973631000,DOGE,-4.1e-08,0.071405,-5.742e-07,-0.50299
1685977225000,DOGE,-1.25e-07,0.071409,-1.7505e-06,-1.53342
1685980844000,DOGE,-1.6875e-05,0.070595,-0.0002390396,-209.398683
1685984441000,DOGE,9.58e-07,0.067712,1.41482e-05,12.393785
1685988024000,DOGE,2.625e-06,0.066694,3.93589e-05,34.478364
1685991617000,DOGE,-1.25e-07,0.066377,-1.8832e-06,-1.649668
1685995224000,DOGE,-4.1e-08,0.066627,-6.154e-07,-0.539061
1685998829000,DOGE,0.0,0.066333,0.0,0.0
1686002421000,DOGE,2.916e-06,0.066095,4.41183e-05,38.647644
1686006025000,DOGE,-4.1e-08,0.06628,-6.186e-07,-0.541883
1686009618000,DOGE,-1.66e-07,0.066443,-2.4984e-06,-2.188583
1686013219000,DOGE,-4.1e-08,0.066569,-6.159e-07,-0.53953
1686016817000,DOGE,2.5e-07,0.066342,3.7684e-06,3.301076
1686020429000,DOGE,-4.1e-08,0.066584,-6.158e-07,-0.539409
1686024015000,DOGE,-1.66e-07,0.066657,-2.4904e-06,-2.181556
1686027622000,DOGE,-4.1e-08,0.066777,-6.14e-07,-0.53785
1686031215000,DOGE,-1.25e-07,0.066624,-1.8762e-06,-1.643552
1686034816000,DOGE,-4.1e-08,0.066649,-6.152e-07,-0.538883
1686038408000,DOGE,-1.25e-07,0.066565,-1.8779e-06,-1.645009
1686042020000,DOGE,-1.25e-07,0.066589,-1.8772e-06,-1.644416
1686045621000,DOGE,-4.1e-08,0.066633,-6.153e-07,-0.539012
1686049216000,DOGE,-1.66e-07,0.066853,-2.4831e-06,-2.17516
1686052813000,DOGE,-1.25e-07,0.066748,-1.8727e-06,-1.640499
1686056414000,DOGE,0.0,0.066488,0.0,0.0
1686060018000,DOGE,3.125e-06,0.06676,4.68095e-05,41.005093
1686063619000,DOGE,-7.08e-07,0.0677,-1.04579e-05,-9.161123
1686067225000,DOGE,-4.1e-08,0.068025,-6.027e-07,-0.527982
1686070833000,DOGE,-4.1e-08,0.068348,-5.999e-07,-0.525487
1686074419000,DOGE,0.0,0.068827,0.0,0.0
