ts_ms,coin,funding_rate_quote_per_base,oracle_twap,funding_rate_normalized,annualized_pct
1685577604000,ETH,0.0054165,1870.3195,2.896e-06,2.536922
1685581206000,ETH,0.003997083,1874.906131,2.1319e-06,1.867531
1685584807000,ETH,-0.000196541,1876.02099,-1.048e-07,-0.091774
1685588405000,ETH,0.000377541,1871.122025,2.018e-07,0.176753
1685592006000,ETH,0.005126,1861.029375,2.7544e-06,2.412845
1685595608000,ETH,0.004541375,1857.251708,2.4452e-06,2.142006
1685599209000,ETH,0.002571708,1857.02544,1.3849e-06,1.213132
1685602811000,ETH,0.001580916,1856.363188,8.516e-07,0.746019
1685606407000,ETH,0.002748458,1856.040705,1.4808e-06,1.297196
1685610018000,ETH,0.005840166,1857.096288,3.1448e-06,2.75483
1685613607000,ETH,0.002567708,1860.857804,1.3799e-06,1.20875
1685617207000,ETH,0.003566333,1861.380225,1.916e-06,1.678382
1685620806000,ETH,0.002680791,1860.978262,1.4405e-06,1.261902
1685624407000,ETH,0.002014083,1861.782936,1.0818e-06,0.94766
1685628007000,ETH,0.001998625,1862.547007,1.0731e-06,0.940001
1685631607000,ETH,0.001455708,1861.134858,7.822e-07,0.685173
1685635208000,ETH,0.003819791,1862.074533,2.0514e-06,1.796994
1685638806000,ETH,7.0375e-05,1865.056058,3.77e-08,0.033055
1685642407000,ETH,-0.02785675,1870.601264,-1.48919e-05,-13.045278
1685646005000,ETH,0.004689083,1872.447529,2.5043e-06,2.193726
1685649610000,ETH,-0.00321225,1870.443657,-1.7174e-06,-1.504419
1685653207000,ETH,-2.6166e-05,1870.019008,-1.4e-08,-0.012257
1685656807000,ETH,-0.012127916,1870.662857,-6.4832e-06,-5.679299
1685660406000,ETH,-0.007968041,1868.8105,-4.2637e-06,-3.734998
1685664006000,ETH,-0.001621958,1864.912736,-8.697e-07,-0.761878
1685667602000,ETH,-0.001965416,1862.446148,-1.0553e-06,-0.924432
1685671208000,ETH,-0.001596833,1864.979814,-8.562e-07,-0.750049
