ts_ms,coin,funding_rate_quote_per_base,oracle_twap,funding_rate_normalized,annualized_pct
1734220800000,HYPE,0.007018125,23.863141,0.000294099,257.630691
1734224403000,HYPE,0.006914666,24.087025,0.0002870702,251.473456
1734228005000,HYPE,0.009182375,24.418449,0.0003760425,329.413244
1734231612000,HYPE,0.010983041,24.59549,0.0004465469,391.175127
1734235200000,HYPE,0.009598791,24.123824,0.0003978967,348.557547
1734238803000,HYPE,0.007294416,23.938366,0.0003047165,266.931687
1734242403000,HYPE,0.004999083,23.965755,0.0002085928,182.727258
1734246007000,HYPE,0.003621,23.5657,0.0001536555,134.60224
1734249604000,HYPE,0.001750958,23.013325,7.60845e-05,66.650048
1734253207000,HYPE,0.001527,22.737406,6.71581e-05,58.830458
1734256809000,HYPE,0.001185583,22.769676,5.20685e-05,45.612011
1734260424000,HYPE,0.000610166,23.102181,2.64116e-05,23.136578
1734264002000,HYPE,-0.000272041,22.732981,-1.19668e-05,-10.482915
1734267608000,HYPE,0.000355958,22.436118,1.58654e-05,13.898091
1734271213000,HYPE,0.000401666,22.357784,1.79654e-05,15.73767
1734274816000,HYPE,0.001177875,22.723188,5.18358e-05,45.408175
1734278401000,HYPE,0.000589,23.72668,2.48244e-05,21.746152
1734282005000,HYPE,0.000970625,24.191435,4.01227e-05,35.14746
1734285602000,HYPE,0.001434166,23.979851,5.98071e-05,52.391043
1734289223000,HYPE,0.00124575,23.987464,5.19334e-05,45.493638
1734292810000,HYPE,0.000833875,24.054341,3.46663e-05,30.367679
1734296404000,HYPE,0.00169725,23.982785,7.07695e-05,61.994093
1734300005000,HYPE,0.001549666,23.938121,6.47363e-05,56.709021
1734303607000,HYPE,0.001207166,23.519364,5.13265e-05,44.96199
1734307200000,HYPE,0.001173166,23.880073,4.91274e-05,43.035606
1734310815000,HYPE,0.001162666,23.711511,4.90338e-05,42.953628
1734314407000,HYPE,0.001216333,24.266579,5.01238e-05,43.908443
1734318006000,HYPE,0.002311416,24.095578,9.5927e-05,84.032033
1734321619000,HYPE,0.002988833,24.259511,0.0001232025,107.925412
1734325200000,HYPE,0.003500291,24.189464,0.0001447031,126.759936
1734328800000,HYPE,0.003268458,24.766078,0.0001319732,115.608503
1734332407000,HYPE,0.003788041,25.586391,0.0001480491,129.690972
1734336007000,HYPE,0.003279208,26.051696,0.0001258731,110.264844
1734339607000,HYPE,0.003155791,26.507823,0.0001190513,104.288946
1734343211000,HYPE,0.00429675,26.740313,0.0001606844,140.759497
1734346801000,HYPE,0.002814791,26.614086,0.0001057632,92.648566
1734350409000,HYPE,0.004014291,26.106652,0.0001537651,134.698196
1734354017000,HYPE,0.005782208,25.845235,0.0002237243,195.982517
1734357615000,HYPE,0.006483583,25.89521,0.0002503777,219.330861
1734361208000,HYPE,0.003616375,26.296846,0.0001375212,120.468611
1734364840000,HYPE,0.002959541,26.756791,0.000110609,96.893455
1734368414000,HYPE,0.002608333,26.610709,9.80182e-05,85.863917
1734372017000,HYPE,0.002054,26.691826,7.69524e-05,67.4103
1734375609000,HYPE,0.003477,27.222031,0.0001277274,111.889227
1734379207000,HYPE,0.004546708,27.485539,0.0001654218,144.909518
1734382809000,HYPE,0.005526458,27.864127,0.0001983359,173.742289
1734386408000,HYPE,0.005349041,28.130223,0.0001901528,166.573863
1734390004000,HYPE,0.007210541,28.07935,0.0002567916,224.949435
1734393611000,HYPE,0.003326625,27.813197,0.000119606,104.774848
1734397216000,HYPE,0.002087833,27.656907,7.54905e-05,66.129655
1734400800000,HYPE,0.002515083,27.860765,9.02733e-05,79.079405
1734404403000,HYPE,0.006321416,28.281447,0.0002235181,195.801877
1734408005000,HYPE,0.00876025,28.603266,0.0003062675,268.290306
1734411610000,HYPE,0.009768333,28.621998,0.0003412876,298.967937
1734415205000,HYPE,0.008377916,28.476447,0.0002942051,257.72367
1734418804000,HYPE,0.006594166,28.491774,0.000231441,202.742357
1734422404000,HYPE,0.006611083,28.245575,0.0002340573,205.034194
1734426003000,HYPE,0.007474375,28.320084,0.0002639249,231.198202
1734429606000,HYPE,0.007738416,28.242355,0.0002740004,240.024333
1734433205000,HYPE,0.008295833,28.022767,0.000296039,259.330198
1734436811000,HYPE,0.007267666,27.9504,0.0002600201,227.777614
1734440547000,HYPE,0.005778458,27.264183,0.0002119432,185.662237
1734444023000,HYPE,0.003409291,27.059639,0.0001259917,110.368764
1734447655000,HYPE,0.002658541,27.586426,9.63713e-05,84.421299
1734451217000,HYPE,0.005201625,27.107039,0.000191892,168.097427
1734454889000,HYPE,0.005291791,26.721647,0.0001980339,173.477665
1734458416000,HYPE,0.004316083,27.008753,0.0001598031,139.987533
1734462024000,HYPE,0.005324458,26.745531,0.0001990784,174.392694
1734465616000,HYPE,0.006557708,26.442014,0.0002480033,217.250933
1734469220000,HYPE,0.008193125,26.447633,0.0003097867,271.373151
1734472810000,HYPE,0.012141166,26.02397,0.0004665378,408.687123
1734476416000,HYPE,0.012110166,25.449406,0.0004758526,416.846877
1734480012000,HYPE,0.008622375,25.353382,0.0003400878,297.916881
1734483619000,HYPE,0.006246125,25.878297,0.0002413654,211.436073
