ts_ms,coin,funding_rate_quote_per_base,oracle_twap,funding_rate_normalized,annualized_pct
1698094827000,LINK,-8.9291e-05,10.258608,-8.704e-06,-7.62471
1698098415000,LINK,-0.000231875,10.205416,-2.27208e-05,-19.903402
1698102099000,LINK,-0.000929208,10.388378,-8.94469e-05,-78.355467
1698105689000,LINK,-0.000260833,10.48331,-2.48808e-05,-21.795569
1698109257000,LINK,0.000123833,10.648507,1.16291e-05,10.187128
1698112828000,LINK,9.7583e-05,10.510851,9.284e-06,8.132806
1698116417000,LINK,0.000155875,10.418093,1.4962e-05,13.106669
1698120060000,LINK,0.000143,10.373224,1.37855e-05,12.076091
1698123621000,LINK,0.000153041,10.31332,1.48392e-05,12.999104
1698127217000,LINK,0.000183041,10.29235,1.77842e-05,15.578941
1698130820000,LINK,0.000174291,10.201502,1.70848e-05,14.966317
1698134422000,LINK,0.000172333,10.115054,1.70373e-05,14.924657
1698138022000,LINK,0.000336958,10.186511,3.30788e-05,28.977067
1698141621000,LINK,0.000357416,10.325896,3.46136e-05,30.321477
1698145223000,LINK,0.000177958,10.405454,1.71024e-05,14.981682
1698148826000,LINK,0.000123666,10.439155,1.18464e-05,10.377412
1698152420000,LINK,8.6708e-05,10.437581,8.3073e-06,7.277185
1698156024000,LINK,5.5083e-05,10.361866,5.3159e-06,4.656759
1698159655000,LINK,4.9166e-05,10.291926,4.7771e-06,4.184777
1698163276000,LINK,8.775e-05,10.098021,8.6898e-06,7.612284
1698166831000,LINK,9.1833e-05,10.029534,9.1563e-06,8.020882
1698170420000,LINK,8.8083e-05,10.000513,8.8078e-06,7.715675
1698174078000,LINK,0.0001845,9.966422,1.85122e-05,16.216652
1698177941000,LINK,0.0002225,10.004884,2.22391e-05,19.481485
1698181265000,LINK,0.000137041,9.997562,1.37074e-05,12.007719
1698184842000,LINK,0.000472125,10.03892,4.70295e-05,41.197808
1698188583000,LINK,0.000415625,10.12074,4.10667e-05,35.974395
1698192033000,LINK,0.000630166,10.299558,6.11838e-05,53.597001
1698195612000,LINK,0.000565958,10.512018,5.38391e-05,47.163086
1698199503000,LINK,0.000634125,11.094454,5.71569e-05,50.069476
1698202825000,LINK,0.0002685,11.222377,2.39254e-05,20.958661
1698206961000,LINK,0.000185833,11.302531,1.64417e-05,14.402943
1698210263000,LINK,0.000818875,11.407124,7.17863e-05,62.884781
1698213852000,LINK,-0.0007425,11.422098,-6.50056e-05,-56.94488
1698217718000,LINK,-0.001219333,11.393574,-0.0001070194,-93.74896
1698221007000,LINK,-0.001065208,11.196123,-9.51408e-05,-83.343333
1698224832000,LINK,-0.000629,10.969424,-5.73412e-05,-50.230896
1698228157000,LINK,-5.0791e-05,11.017544,-4.61e-06,-4.03837
1698231721000,LINK,3.4291e-05,11.102204,3.0887e-06,2.705671
1698235573000,LINK,2.3166e-05,11.162089,2.0754e-06,1.818066
1698238887000,LINK,8.2166e-05,11.139827,7.3759e-06,6.461269
1698242410000,LINK,0.000201666,11.075103,1.8209e-05,15.95104
1698246263000,LINK,0.000676083,11.103105,6.08913e-05,53.340818
