ts_ms,coin,funding_rate_quote_per_base,oracle_twap,funding_rate_normalized,annualized_pct
1685577601000,SOL,-3.9208e-05,20.769815,-1.8877e-06,-1.65366
1685581201000,SOL,-8.6375e-05,20.811012,-4.1504e-06,-3.635791
1685584802000,SOL,-0.000215666,20.809399,-1.03639e-05,-9.078754
1685588404000,SOL,-0.000199958,20.714568,-9.653e-06,-8.45604
1685592002000,SOL,-0.000224958,20.68084,-1.08776e-05,-9.528782
1685595602000,SOL,-0.000196291,20.69761,-9.4838e-06,-8.307767
1685599203000,SOL,-7.7208e-05,20.677173,-3.734e-06,-3.27096
1685602801000,SOL,-2.1791e-05,20.655337,-1.055e-06,-0.924164
1685606403000,SOL,-4.8041e-05,20.640497,-2.3275e-06,-2.0389
1685610005000,SOL,7.583e-06,20.635338,3.675e-07,0.321909
1685613604000,SOL,-0.000147666,20.678851,-7.1409e-06,-6.255445
1685617206000,SOL,-0.00018675,20.688231,-9.0269e-06,-7.907539
1685620802000,SOL,-0.000201,20.697431,-9.7114e-06,-8.507143
1685624403000,SOL,-0.000184166,20.74647,-8.877e-06,-7.776235
1685628012000,SOL,-9.9791e-05,20.766293,-4.8054e-06,-4.209558
1685631603000,SOL,-9.7666e-05,20.722403,-4.7131e-06,-4.128644
1685635204000,SOL,4.58e-07,20.706296,2.21e-08,0.019376
1685638803000,SOL,0.000261333,20.702119,1.26235e-05,11.058178
1685642403000,SOL,0.000211125,20.7157,1.01915e-05,8.927794
1685646003000,SOL,-0.000176875,20.753644,-8.5226e-06,-7.465797
1685649607000,SOL,-1.9541e-05,20.71282,-9.434e-07,-0.826441
1685653203000,SOL,-8.1833e-05,20.687269,-3.9557e-06,-3.465209
1685656803000,SOL,-1.7166e-05,20.654722,-8.311e-07,-0.728038
1685660402000,SOL,-2.1e-05,20.597214,-1.0196e-06,-0.89313
1685664003000,SOL,3.0125e-05,20.543973,1.4664e-06,1.284537
1685667603000,SOL,1.8625e-05,20.507679,9.082e-07,0.79558
1685671204000,SOL,-0.000137375,20.555769,-6.683e-06,-5.854342
1685674803000,SOL,-5.6041e-05,20.65943,-2.7126e-06,-2.376247
