ts_ms,coin,funding_rate_normalized,annualized_pct
1685577600139,AVAX,-0.0002221059,-194.564768
1685606400067,AVAX,-0.0001518617,-133.030849
1685635200096,AVAX,-9.31138e-05,-81.567689
1685664000428,AVAX,-0.0001410641,-123.572152
1685692800113,AVAX,-5.55215e-05,-48.636834
1685721600038,AVAX,0.0001,87.6
1685750400055,AVAX,0.0001,87.6
1685779200071,AVAX,0.0001,87.6
1685808000011,AVAX,0.0001,87.6
1685836800341,AVAX,0.0001,87.6
1685865600084,AVAX,0.0001,87.6
1685894400195,AVAX,0.0001,87.6
1685923200078,AVAX,0.0001,87.6
1685952000375,AVAX,0.0001,87.6
1685980800060,AVAX,0.0001,87.6
1686009600279,AVAX,-0.0002077384,-181.978838
1686038400072,AVAX,-4.53447e-05,-39.721957
1686067200128,AVAX,0.0001,87.6
1686096000420,AVAX,0.0001,87.6
1686124800037,AVAX,7.73577e-05,67.765345
1686153600026,AVAX,0.0001,87.6
1686182400254,AVAX,0.0001,87.6
1686186000054,AVAX,1.25e-05,10.95
1686189600123,AVAX,1.25e-05,10.95
1686193200373,AVAX,1.25e-05,10.95
1686196800022,AVAX,1.25e-05,10.95
1686200400074,AVAX,1.25e-05,10.95
1686204000106,AVAX,7.0632e-06,6.187363
1686207600059,AVAX,1.25e-05,10.95
1686211200002,AVAX,8.8474e-06,7.750322
1686214800030,AVAX,1.7504e-06,1.53335
1686218400406,AVAX,1.25e-05,10.95
1686222000055,AVAX,1.25e-05,10.95
1686225600056,AVAX,1.25e-05,10.95
1686229200091,AVAX,1.25e-05,10.95
1686232800160,AVAX,1.25e-05,10.95
1686236400429,AVAX,1.25e-05,10.95
1686240000062,AVAX,1.7607e-06,1.542373
1686243600054,AVAX,-8.7347e-06,-7.651597
1686247200012,AVAX,2.664e-07,0.233366
1686250800086,AVAX,1.25e-05,10.95
1686254400353,AVAX,1.00737e-05,8.824561
1686258000321,AVAX,1.25e-05,10.95
1686261600024,AVAX,1.25e-05,10.95
1686265200342,AVAX,1.25e-05,10.95
1686268800088,AVAX,1.25e-05,10.95
1686272400255,AVAX,1.18634e-05,10.392338
1686276000108,AVAX,1.25e-05,10.95
1686279600015,AVAX,1.25e-05,10.95
1686283200356,AVAX,1.25e-05,10.95
1686286800040,AVAX,1.25e-05,10.95
1686290400089,AVAX,1.25e-05,10.95
1686294000204,AVAX,1.25e-05,10.95
1686297600150,AVAX,1.25e-05,10.95
1686301200228,AVAX,1.25e-05,10.95
1686304800075,AVAX,1.25e-05,10.95
1686308400086,AVAX,1.25e-05,10.95
1686312000041,AVAX,1.25e-05,10.95
1686315600073,AVAX,1.55024e-05,13.580102
1686319200034,AVAX,1.25e-05,10.95
1686322800258,AVAX,1.25e-05,10.95
1686326400196,AVAX,1.25e-05,10.95
1686330000108,AVAX,1.25e-05,10.95
1686333600398,AVAX,1.25e-05,10.95
1686337200050,AVAX,1.25e-05,10.95
1686340800107,AVAX,1.25e-05,10.95
1686344400045,AVAX,1.25e-05,10.95
1686348000137,AVAX,1.25e-05,10.95
1686351600007,AVAX,1.25e-05,10.95
1686355200089,AVAX,1.25e-05,10.95
1686358800046,AVAX,1.08543e-05,9.508367
1686362400029,AVAX,1.25e-05,10.95
1686366000021,AVAX,1.25e-05,10.95
1686369600061,AVAX,1.25e-05,10.95
1686373200110,AVAX,-0.0001876796,-164.40733
1686376800102,AVAX,-9.45273e-05,-82.805915
1686380400262,AVAX,-0.0001853359,-162.354248
1686384000047,AVAX,-0.0001569835,-137.517546
1686387600062,AVAX,-0.0001417254,-124.15145
1686391200106,AVAX,-0.0001846423,-161.746655
1686394800009,AVAX,-0.00016735,-146.5986
1686398400056,AVAX,-0.0001707047,-149.537317
1686402000157,AVAX,-0.0001927192,-168.822019
1686405600091,AVAX,-0.0001611614,-141.177386
1686409200086,AVAX,-0.0001763607,-154.491973
1686412800155,AVAX,-0.0001579569,-138.370244
1686416400157,AVAX,-0.0001999678,-175.171793
1686420000161,AVAX,-0.0001372371,-120.2197
1686423600337,AVAX,-3.60518e-05,-31.581377
1686427200442,AVAX,-2.43094e-05,-21.295034
1686430800309,AVAX,-1.43328e-05,-12.555533
1686434400292,AVAX,-1.83656e-05,-16.088266
1686438000089,AVAX,-5.77421e-05,-50.58208
1686441600098,AVAX,-3.91807e-05,-34.322293
1686445200065,AVAX,-2.14112e-05,-18.756211
1686448800067,AVAX,-6.71755e-05,-58.845738
1686452400083,AVAX,-6.74756e-05,-59.108626
1686456000382,AVAX,-4.7174e-05,-41.324424
1686459600342,AVAX,-3.93565e-05,-34.476294
1686463200216,AVAX,-2.2787e-06,-1.996141
1686466800178,AVAX,-1.34467e-05,-11.779309
1686470400036,AVAX,-1.87504e-05,-16.42535
1686474000438,AVAX,-3.5591e-06,-3.117772
1686477600111,AVAX,-1.3301e-06,-1.165168
1686481200054,AVAX,-8.3068e-06,-7.276757
1686484800423,AVAX,-1.48861e-05,-13.040224
1686488400320,AVAX,-3.61542e-05,-31.671079
1686492000006,AVAX,-3.07333e-05,-26.922371
1686495600354,AVAX,-1.50762e-05,-13.206751
1686499200003,AVAX,-3.08641e-05,-27.036952
1686502800001,AVAX,-7.1928e-06,-6.300893
1686506400003,AVAX,-2.9716e-06,-2.603122
1686510000059,AVAX,-3.44654e-05,-30.19169
1686513600204,AVAX,-4.83835e-05,-42.383946
1686517200014,AVAX,-5.0729e-05,-44.438604
1686520800072,AVAX,-5.44672e-05,-47.713267
1686524400083,AVAX,-5.29538e-05,-46.387529
1686528000110,AVAX,-4.96409e-05,-43.485428
1686531600059,AVAX,-3.32963e-05,-29.167559
1686535200075,AVAX,-3.52175e-05,-30.85053
1686538800432,AVAX,-5.02e-06,-4.39752
1686542400031,AVAX,-1.66559e-05,-14.590568
1686546000201,AVAX,-1.48385e-05,-12.998526
1686549600188,AVAX,-3.59976e-05,-31.533898
1686553200016,AVAX,-1.02423e-05,-8.972255
1686556800170,AVAX,-1.75322e-05,-15.358207
1686560400004,AVAX,6.571e-06,5.756196
1686564000034,AVAX,4.0261e-06,3.526864
1686567600043,AVAX,-6.0783e-06,-5.324591
1686571200074,AVAX,-2.48158e-05,-21.738641
1686574800419,AVAX,-7.6921e-06,-6.73828
1686578400033,AVAX,-2.69833e-05,-23.637371
1686582000276,AVAX,9.5543e-06,8.369567
1686585600061,AVAX,-3.2933e-06,-2.884931
1686589200011,AVAX,-1.79221e-05,-15.69976
1686592800257,AVAX,1.25e-05,10.95
1686596400051,AVAX,3.7059e-06,3.246368
1686600000302,AVAX,-9.8786e-06,-8.653654
1686603600061,AVAX,1.25e-05,10.95
1686607200045,AVAX,1.25e-05,10.95
1686610800043,AVAX,1.25e-05,10.95
1686614400002,AVAX,8.2418e-06,7.219817
1686618000232,AVAX,-1.48418e-05,-13.001417
1686621600075,AVAX,-1.19924e-05,-10.505342
1686625200235,AVAX,-1.58424e-05,-13.877942
1686628800063,AVAX,1.09236e-05,9.569074
1686632400076,AVAX,-1.07004e-05,-9.37355
1686636000327,AVAX,-5.6154e-06,-4.91909
1686639600364,AVAX,-1.77044e-05,-15.509054
1686643200051,AVAX,-1.28784e-05,-11.281478
1686646800206,AVAX,-2.4432e-06,-2.140243
1686650400024,AVAX,-2.35928e-05,-20.667293
1686654000130,AVAX,-2.08195e-05,-18.237882
1686657600055,AVAX,-1.80718e-05,-15.830897
1686661200038,AVAX,-3.16956e-05,-27.765346
1686664800288,AVAX,-4.07349e-05,-35.683772
1686668400345,AVAX,-3.41166e-05,-29.886142
1686672000459,AVAX,-5.3795e-05,-47.12442
1686675600086,AVAX,-3.73064e-05,-32.680406
1686679200427,AVAX,-2.65374e-05,-23.246762
1686682800084,AVAX,-1.44012e-05,-12.615451
1686686400071,AVAX,-1.89828e-05,-16.628933
1686690000155,AVAX,-2.73818e-05,-23.986457
1686693600143,AVAX,-3.61788e-05,-31.692629
1686697200103,AVAX,-4.0917e-05,-35.843292
1686700800130,AVAX,-3.32343e-05,-29.113247
1686704400103,AVAX,-7.4663e-05,-65.404788
1686708000172,AVAX,-8.97292e-05,-78.602779
1686711600120,AVAX,-8.83595e-05,-77.402922
1686715200042,AVAX,-0.0001086791,-95.202892
1686718800158,AVAX,-0.0001118235,-97.957386
1686722400156,AVAX,-0.0001198972,-105.029947
1686726000038,AVAX,-9.95916e-05,-87.242242
1686729600419,AVAX,-0.0001018591,-89.228572
1686733200416,AVAX,-7.96428e-05,-69.767093
1686736800013,AVAX,-4.83982e-05,-42.396823
1686740400133,AVAX,-5.61115e-05,-49.153674
1686744000195,AVAX,-4.93292e-05,-43.212379
1686747600070,AVAX,-5.283e-05,-46.27908
1686751200144,AVAX,-9.01246e-05,-78.94915
1686754800068,AVAX,-8.6776e-05,-76.015776
1686758400298,AVAX,-0.0001079924,-94.601342
1686762000012,AVAX,-0.000108888,-95.385888
1686765600338,AVAX,-0.0001422944,-124.649894
1686769200261,AVAX,-0.0001673763,-146.621639
1686772800061,AVAX,-0.0001347396,-118.03189
1686776400121,AVAX,-0.0002537706,-222.303046
1686780000206,AVAX,-0.0001489427,-130.473805
1686783600104,AVAX,-0.0001336614,-117.087386
1686787200065,AVAX,-0.0001139944,-99.859094
1686790800191,AVAX,-0.0001274856,-111.677386
1686794400166,AVAX,-0.0001430346,-125.29831
1686798000003,AVAX,-0.0001202333,-105.324371
1686801600143,AVAX,-0.0001049672,-91.951267
1686805200129,AVAX,-0.0001244091,-108.982372
1686808800070,AVAX,-0.000110488,-96.787488
1686812400043,AVAX,-0.0001118764,-98.003726
1686816000059,AVAX,-8.8766e-05,-77.759016
1686819600001,AVAX,-7.98979e-05,-69.99056
1686823200114,AVAX,-9.45409e-05,-82.817828
1686826800150,AVAX,-6.96071e-05,-60.97582
1686830400113,AVAX,-6.41162e-05,-56.165791
1686834000060,AVAX,-7.44889e-05,-65.252276
1686837600169,AVAX,-7.14197e-05,-62.563657
1686841200037,AVAX,-5.76854e-05,-50.53241
1686844800082,AVAX,-7.58073e-05,-66.407195
1686848400181,AVAX,-6.71385e-05,-58.813326
1686852000061,AVAX,-8.74151e-05,-76.575628
1686855600138,AVAX,-7.10142e-05,-62.208439
1686859200087,AVAX,-7.6444e-05,-66.964944
1686862800184,AVAX,-7.84701e-05,-68.739808
1686866400161,AVAX,-9.54387e-05,-83.604301
1686870000091,AVAX,-7.53962e-05,-66.047071
1686873600016,AVAX,-8.80253e-05,-77.110163
1686877200117,AVAX,-9.74432e-05,-85.360243
1686880800014,AVAX,-6.33993e-05,-55.537787
1686884400154,AVAX,-8.0202e-05,-70.256952
1686888000030,AVAX,-0.0001231785,-107.904366
1686891600216,AVAX,-0.0001241318,-108.739457
1686895200209,AVAX,-0.0001403981,-122.988736
1686898800108,AVAX,-0.0001566158,-137.195441
1686902400181,AVAX,-0.0001621323,-142.027895
1686906000086,AVAX,-0.000157204,-137.710704
1686909600118,AVAX,-0.0001610897,-141.114577
1686913200496,AVAX,-0.0001610954,-141.11957
1686916800005,AVAX,-0.000187669,-164.398044
1686920400472,AVAX,-0.0001471823,-128.931695
1686924000155,AVAX,-0.000172448,-151.064448
1686927600164,AVAX,-0.000182065,-159.48894
1686931200039,AVAX,-0.0002087071,-182.82742
1686934800109,AVAX,-0.0002116239,-185.382536
1686938400049,AVAX,-0.0001883765,-165.017814
1686942000574,AVAX,-0.0001660522,-145.461727
1686945600020,AVAX,-0.0001351906,-118.426966
1686949200129,AVAX,-0.0001620546,-141.95983
1686952800105,AVAX,-0.0001532764,-134.270126
1686956400106,AVAX,-0.0001419729,-124.36826
1686960000166,AVAX,-0.0001546105,-135.438798
1686963600148,AVAX,-0.0001843202,-161.464495
1686967200128,AVAX,-0.000183495,-160.74162
1686970800070,AVAX,-0.0001659116,-145.338562
1686974400073,AVAX,-0.0001739775,-152.40429
1686978000241,AVAX,-0.0001612786,-141.280054
1686981600074,AVAX,-0.0001971725,-172.72311
