ts_ms,coin,funding_rate_normalized,annualized_pct
1685577600139,BTC,0.0001,87.6
1685606400067,BTC,0.0001,87.6
1685635200096,BTC,3.06061e-05,26.810944
1685664000428,BTC,-3.65626e-05,-32.028838
1685692800113,BTC,-9.1338e-06,-8.001209
1685721600038,BTC,2.613e-06,2.288988
1685750400055,BTC,-5.30844e-05,-46.501934
1685779200071,BTC,-1.51792e-05,-13.296979
1685808000011,BTC,-6.86994e-05,-60.180674
1685836800341,BTC,-7.33253e-05,-64.232963
1685865600084,BTC,-2.06972e-05,-18.130747
1685894400195,BTC,-7.1422e-06,-6.256567
1685923200078,BTC,2.8243e-05,24.740868
1685952000375,BTC,-1.77927e-05,-15.586405
1685980800060,BTC,-3.88377e-05,-34.021825
1686009600279,BTC,-0.0001672619,-146.521424
1686038400072,BTC,0.0001,87.6
1686067200128,BTC,0.0001,87.6
1686096000420,BTC,0.0001,87.6
1686124800037,BTC,0.0001,87.6
1686153600026,BTC,0.0001,87.6
1686182400254,BTC,0.0001,87.6
1686186000054,BTC,1.25e-05,10.95
1686189600123,BTC,1.25e-05,10.95
1686193200373,BTC,1.25e-05,10.95
1686196800022,BTC,1.25e-05,10.95
1686200400074,BTC,1.25e-05,10.95
1686204000106,BTC,1.25e-05,10.95
1686207600059,BTC,1.25e-05,10.95
1686211200002,BTC,1.25e-05,10.95
1686214800030,BTC,1.25e-05,10.95
1686218400406,BTC,1.25e-05,10.95
1686222000055,BTC,1.25e-05,10.95
1686225600056,BTC,1.25e-05,10.95
1686229200091,BTC,1.25e-05,10.95
1686232800160,BTC,1.25e-05,10.95
1686236400429,BTC,1.25e-05,10.95
1686240000062,BTC,1.25e-05,10.95
1686243600054,BTC,1.25e-05,10.95
1686247200012,BTC,1.25e-05,10.95
1686250800086,BTC,1.25e-05,10.95
1686254400353,BTC,1.25e-05,10.95
1686258000321,BTC,1.25e-05,10.95
1686261600024,BTC,1.25e-05,10.95
1686265200342,BTC,1.25e-05,10.95
1686268800088,BTC,1.25e-05,10.95
1686272400255,BTC,1.25e-05,10.95
1686276000108,BTC,1.25e-05,10.95
1686279600015,BTC,1.25e-05,10.95
1686283200356,BTC,1.25e-05,10.95
1686286800040,BTC,1.25e-05,10.95
