ts_ms,coin,funding_rate_normalized,annualized_pct
1685577600139,DOGE,-0.0002339023,-204.898415
1685606400067,DOGE,-0.0002729852,-239.135035
1685635200096,DOGE,-3.57465e-05,-31.313934
1685664000428,DOGE,-5.37158e-05,-47.055041
1685692800113,DOGE,3.23336e-05,28.324234
1685721600038,DOGE,0.0001,87.6
1685750400055,DOGE,0.0001,87.6
1685779200071,DOGE,0.0001,87.6
1685808000011,DOGE,1.34496e-05,11.78185
1685836800341,DOGE,8.16768e-05,71.548877
1685865600084,DOGE,0.0001,87.6
1685894400195,DOGE,0.0001,87.6
1685923200078,DOGE,0.0001,87.6
1685952000375,DOGE,-0.0001444431,-126.532156
1685980800060,DOGE,-8.92257e-05,-78.161713
1686009600279,DOGE,-0.0006213438,-544.297169
1686038400072,DOGE,-0.0006835709,-598.808108
1686067200128,DOGE,-0.0005031383,-440.749151
1686096000420,DOGE,-1.50819e-05,-13.211744
1686124800037,DOGE,-0.0001376934,-120.619418
1686153600026,DOGE,-0.0003801416,-333.004042
1686182400254,DOGE,-0.0004235433,-371.023931
1686186000054,DOGE,-3.89314e-05,-34.103906
1686189600123,DOGE,-5.53411e-05,-48.478804
1686193200373,DOGE,-5.88873e-05,-51.585275
1686196800022,DOGE,-5.41397e-05,-47.426377
1686200400074,DOGE,-4.11774e-05,-36.071402
1686204000106,DOGE,-5.29465e-05,-46.381134
1686207600059,DOGE,-2.89733e-05,-25.380611
1686211200002,DOGE,-5.20409e-05,-45.587828
1686214800030,DOGE,-2.5842e-05,-22.637592
1686218400406,DOGE,-2.97339e-05,-26.046896
1686222000055,DOGE,-1.7588e-05,-15.407088
1686225600056,DOGE,-1.70492e-05,-14.935099
1686229200091,DOGE,-1.15994e-05,-10.161074
1686232800160,DOGE,-1.8671e-05,-16.355796
1686236400429,DOGE,-1.51319e-05,-13.255544
1686240000062,DOGE,-2.23983e-05,-19.620911
1686243600054,DOGE,-2.60369e-05,-22.808324
1686247200012,DOGE,-2.227e-05,-19.50852
1686250800086,DOGE,-1.81575e-05,-15.90597
1686254400353,DOGE,-1.45009e-05,-12.702788
1686258000321,DOGE,-2.15564e-05,-18.883406
