ts_ms,coin,funding_rate_normalized,annualized_pct
1685577600139,ETH,0.0001,87.6
1685606400067,ETH,0.0001,87.6
1685635200096,ETH,0.0001,87.6
1685664000428,ETH,0.0001,87.6
1685692800113,ETH,0.0001,87.6
1685721600038,ETH,0.0001,87.6
1685750400055,ETH,0.0001,87.6
1685779200071,ETH,0.0001,87.6
1685808000011,ETH,0.0001,87.6
1685836800341,ETH,0.0001,87.6
1685865600084,ETH,0.0001,87.6
1685894400195,ETH,0.0001,87.6
1685923200078,ETH,0.0001,87.6
1685952000375,ETH,0.0001,87.6
1685980800060,ETH,0.0001,87.6
1686009600279,ETH,0.0001,87.6
1686038400072,ETH,0.0002268268,198.700277
1686067200128,ETH,0.0007230584,633.399158
1686096000420,ETH,0.0006011399,526.598552
1686124800037,ETH,0.0003038932,266.210443
1686153600026,ETH,0.0003570664,312.790166
1686182400254,ETH,0.0006261836,548.536834
1686186000054,ETH,8.38045e-05,73.412742
1686189600123,ETH,6.76406e-05,59.253166
1686193200373,ETH,6.22933e-05,54.568931
1686196800022,ETH,8.23522e-05,72.140527
1686200400074,ETH,7.52231e-05,65.895436
1686204000106,ETH,7.01902e-05,61.486615
1686207600059,ETH,7.47004e-05,65.43755
1686211200002,ETH,6.40564e-05,56.113406
1686214800030,ETH,6.21173e-05,54.414755
1686218400406,ETH,6.48522e-05,56.810527
1686222000055,ETH,1.75899e-05,15.408752
1686225600056,ETH,5.2697e-05,46.162572
1686229200091,ETH,6.212e-05,54.41712
1686232800160,ETH,8.11269e-05,71.067164
1686236400429,ETH,7.07268e-05,61.956677
1686240000062,ETH,5.38851e-05,47.203348
1686243600054,ETH,4.98879e-05,43.7018
1686247200012,ETH,5.38487e-05,47.171461
1686250800086,ETH,4.56397e-05,39.980377
1686254400353,ETH,3.61983e-05,31.709711
1686258000321,ETH,3.78593e-05,33.164747
1686261600024,ETH,3.47104e-05,30.40631
1686265200342,ETH,4.12588e-05,36.142709
1686268800088,ETH,4.00448e-05,35.079245
1686272400255,ETH,3.37034e-05,29.524178
1686276000108,ETH,3.98171e-05,34.87978
1686279600015,ETH,5.46374e-05,47.862362
1686283200356,ETH,3.76149e-05,32.950652
1686286800040,ETH,5.74254e-05,50.30465
1686290400089,ETH,5.01238e-05,43.908449
1686294000204,ETH,5.24085e-05,45.909846
1686297600150,ETH,4.51647e-05,39.564277
1686301200228,ETH,5.07863e-05,44.488799
1686304800075,ETH,4.13582e-05,36.229783
1686308400086,ETH,5.39075e-05,47.22297
1686312000041,ETH,6.11939e-05,53.605856
1686315600073,ETH,6.88238e-05,60.289649
