ts_ms,coin,funding_rate_normalized,annualized_pct
1733392800004,HYPE,0.000399614,350.061864
1733396400003,HYPE,0.0002404307,210.617293
1733400000042,HYPE,0.0002139689,187.436756
1733403600067,HYPE,0.0003094745,271.099662
1733407200099,HYPE,0.0002775722,243.153247
1733410800049,HYPE,0.0002729497,239.103937
1733414400097,HYPE,0.0002231319,195.463544
1733418000041,HYPE,9.1082e-05,79.787832
1733421600001,HYPE,0.00026775,234.549
1733425200061,HYPE,0.0004008036,351.103954
1733428800038,HYPE,8.31698e-05,72.856745
1733432400184,HYPE,0.000824809,722.532684
1733436000023,HYPE,0.0001284614,112.532186
1733439600149,HYPE,0.0003193169,279.721604
1733443200143,HYPE,0.000116977,102.471852
1733446800187,HYPE,4.15653e-05,36.411203
1733450400083,HYPE,1.25e-05,10.95
1733454000016,HYPE,2.2129e-06,1.9385
1733457600012,HYPE,1.25e-05,10.95
1733461200025,HYPE,1.25e-05,10.95
1733464800022,HYPE,3.31208e-05,29.013821
1733468400114,HYPE,0.0001718724,150.560222
1733472000176,HYPE,2.32454e-05,20.36297
1733475600041,HYPE,8.30851e-05,72.782548
1733479200033,HYPE,0.000243877,213.636252
1733482800029,HYPE,0.0001368265,119.860014
1733486400038,HYPE,0.0001374986,120.448774
1733490000002,HYPE,0.0001165374,102.086762
1733493600046,HYPE,0.0003294361,288.586024
1733497200141,HYPE,1.25e-05,10.95
1733500800065,HYPE,1.25e-05,10.95
1733504400122,HYPE,0.0002572431,225.344956
1733508000062,HYPE,0.0001607833,140.846171
1733511600093,HYPE,0.0001838195,161.025882
1733515200001,HYPE,9.5396e-05,83.566896
1733518800169,HYPE,0.0002059056,180.373306
1733522400012,HYPE,3.92462e-05,34.379671
1733526000077,HYPE,1.25e-05,10.95
1733529600117,HYPE,-1.38314e-05,-12.116306
1733533200005,HYPE,4.17953e-05,36.612683
1733536800077,HYPE,0.0001334517,116.903689
1733540400005,HYPE,0.0002397991,210.064012
1733544000047,HYPE,0.0003853216,337.541722
1733547600108,HYPE,0.0006240418,546.660617
1733551200082,HYPE,0.0001460002,127.896175
1733554800073,HYPE,0.0002022755,177.193338
1733558400112,HYPE,1.25e-05,10.95
1733562000190,HYPE,1.7553e-05,15.376428
1733565600041,HYPE,7.25618e-05,63.564137
1733569200049,HYPE,7.25284e-05,63.534878
1733572800039,HYPE,0.0001813291,158.844292
1733576400037,HYPE,0.0001703349,149.213372
1733580000015,HYPE,0.0002005765,175.705014
1733583600069,HYPE,0.0001573965,137.879334
1733587200078,HYPE,4.35913e-05,38.185979
1733590800064,HYPE,0.0001256069,110.031644
1733594400013,HYPE,0.0002759209,241.706708
1733598000052,HYPE,0.0001207303,105.759743
1733601600030,HYPE,4.09998e-05,35.915825
1733605200167,HYPE,0.0002388607,209.241973
1733608800107,HYPE,0.0001236818,108.345257
1733612400072,HYPE,-0.0004984726,-436.661998
1733616000184,HYPE,0.0006655688,583.038269
1733619600181,HYPE,0.0005029947,440.623357
1733623200137,HYPE,0.00041855,366.6498
1733626800135,HYPE,0.0003583653,313.928003
1733630400191,HYPE,0.0002661083,233.110871
1733634000026,HYPE,0.000128332,112.418832
1733637600009,HYPE,0.0001663547,145.726717
1733641200165,HYPE,4.18696e-05,36.67777
1733644800080,HYPE,7.3163e-05,64.090788
1733648400072,HYPE,3.49634e-05,30.627938
1733652000150,HYPE,0.0002644001,231.614488
1733655600005,HYPE,5.58092e-05,48.888859
1733659200024,HYPE,7.99838e-05,70.065809
1733662800071,HYPE,1.80001e-05,15.768088
1733666400005,HYPE,3.76252e-05,32.959675
1733670000009,HYPE,0.0001238634,108.504338
1733673600032,HYPE,0.000238867,209.247492
1733677200004,HYPE,0.0001807939,158.375456
1733680800078,HYPE,0.0001069566,93.693982
1733684400008,HYPE,0.0001995972,174.847147
1733688000044,HYPE,0.0002656981,232.751536
1733691600016,HYPE,0.0001379642,120.856639
1733695200095,HYPE,9.03799e-05,79.172792
1733698800022,HYPE,0.0002024684,177.362318
1733702400197,HYPE,0.0001989189,174.252956
1733706000025,HYPE,0.0001269113,111.174299
1733709600016,HYPE,0.0001138624,99.743462
1733713200013,HYPE,1.25e-05,10.95
1733716800103,HYPE,0.0001478812,129.543931
1733720400198,HYPE,0.0002561017,224.345089
1733724000146,HYPE,0.000152527,133.613652
1733727600101,HYPE,0.0002883271,252.57454
1733731200100,HYPE,0.0003177819,278.376944
1733734800176,HYPE,0.0001550499,135.823712
1733738400052,HYPE,0.0001452606,127.248286
1733742000007,HYPE,0.0001110349,97.266572
1733745600009,HYPE,0.0002537645,222.297702
1733749200000,HYPE,1.25e-05,10.95
1733752800014,HYPE,1.25e-05,10.95
1733756400126,HYPE,0.0001269443,111.203207
1733760000113,HYPE,0.0001165158,102.067841
1733763600146,HYPE,0.000160643,140.723268
1733767200000,HYPE,8.66062e-05,75.867031
1733770800128,HYPE,6.6232e-05,58.019232
1733774400064,HYPE,0.0003885278,340.350353
1733778000032,HYPE,0.0001293559,113.315768
1733781600074,HYPE,0.0005864271,513.71014
1733785200012,HYPE,0.0002228844,195.246734
1733788800013,HYPE,0.0003557955,311.676858
1733792400014,HYPE,0.0003268182,286.292743
1733796000013,HYPE,0.0001404686,123.050494
1733799600066,HYPE,2.47172e-05,21.652267
1733803200108,HYPE,9.29503e-05,81.424463
1733806800113,HYPE,1.25e-05,10.95
1733810400107,HYPE,1.25e-05,10.95
1733814000027,HYPE,9.61217e-05,84.202609
1733817600115,HYPE,1.25e-05,10.95
1733821200036,HYPE,1.25e-05,10.95
1733824800027,HYPE,5.23856e-05,45.889786
1733828400145,HYPE,1.25e-05,10.95
1733832000107,HYPE,4.73369e-05,41.467124
1733835600179,HYPE,1.25e-05,10.95
1733839200083,HYPE,1.25e-05,10.95
1733842800055,HYPE,1.25e-05,10.95
1733846400157,HYPE,6.84639e-05,59.974376
1733850000188,HYPE,0.0005592294,489.884954
1733853600201,HYPE,0.0003542396,310.31389
1733857200191,HYPE,0.0002093502,183.390775
1733860800011,HYPE,0.0002758421,241.63768
1733864400102,HYPE,0.0002226988,195.084149
1733868000130,HYPE,0.0001251263,109.610639
1733871600073,HYPE,1.25e-05,10.95
1733875200086,HYPE,1.25e-05,10.95
1733878800036,HYPE,1.25e-05,10.95
1733882400011,HYPE,0.0001583481,138.712936
1733886000069,HYPE,4.75195e-05,41.627082
1733889600039,HYPE,2.01083e-05,17.614871
1733893200032,HYPE,1.25e-05,10.95
1733896800021,HYPE,9.74417e-05,85.358929
1733900400003,HYPE,0.0002758326,241.629358
1733904000007,HYPE,0.0001188633,104.124251
1733907600128,HYPE,5.31142e-05,46.528039
1733911200108,HYPE,0.0001085984,95.132198
1733914800000,HYPE,7.62232e-05,66.771523
1733918400193,HYPE,1.25e-05,10.95
1733922000031,HYPE,1.25e-05,10.95
1733925600003,HYPE,0.0001576002,138.057775
1733929200192,HYPE,0.000162722,142.544472
1733932800151,HYPE,0.0002808545,246.028542
1733936400022,HYPE,1.86151e-05,16.306828
1733940000038,HYPE,1.25e-05,10.95
1733943600006,HYPE,1.25e-05,10.95
1733947200089,HYPE,1.25e-05,10.95
1733950800070,HYPE,1.25e-05,10.95
1733954400004,HYPE,3.53814e-05,30.994106
1733958000152,HYPE,0.0002058405,180.316278
1733961600095,HYPE,0.0002258318,197.828657
1733965200011,HYPE,0.0002031291,177.941092
1733968800142,HYPE,1.25e-05,10.95
1733972400041,HYPE,7.10988e-05,62.282549
1733976000070,HYPE,0.000173047,151.589172
1733979600090,HYPE,0.0003986207,349.191733
1733983200187,HYPE,0.0004095349,358.752572
1733986800040,HYPE,5.71671e-05,50.07838
1733990400130,HYPE,0.0005521775,483.70749
1733994000031,HYPE,0.0004837181,423.737056
1733997600113,HYPE,0.0001451586,127.158934
1734001200012,HYPE,5.06852e-05,44.400235
1734004800116,HYPE,1.25e-05,10.95
1734008400186,HYPE,0.0001099253,96.294563
1734012000153,HYPE,0.0002860245,250.557462
1734015600002,HYPE,0.0004939279,432.68084
1734019200005,HYPE,0.0001759595,154.140522
1734022800130,HYPE,0.000234607,205.515732
1734026400057,HYPE,0.0001283339,112.420496
1734030000002,HYPE,8.62257e-05,75.533713
1734033600078,HYPE,6.05948e-05,53.081045
1734037200092,HYPE,1.25e-05,10.95
1734040800068,HYPE,8.00167e-05,70.094629
1734044400199,HYPE,2.8255e-05,24.75138
1734048000007,HYPE,4.57862e-05,40.108711
1734051600006,HYPE,6.43984e-05,56.412998
1734055200142,HYPE,0.0001431265,125.378814
1734058800132,HYPE,9.11396e-05,79.83829
1734062400122,HYPE,0.0001374158,120.376241
1734066000160,HYPE,5.02824e-05,44.047382
1734069600174,HYPE,1.25e-05,10.95
1734073200029,HYPE,1.25e-05,10.95
1734076800029,HYPE,1.25e-05,10.95
1734080400139,HYPE,1.25e-05,10.95
1734084000090,HYPE,1.25e-05,10.95
1734087600126,HYPE,0.0001038695,90.989682
1734091200121,HYPE,9.25153e-05,81.043403
1734094800121,HYPE,1.25e-05,10.95
1734098400156,HYPE,2.48478e-05,21.766673
1734102000115,HYPE,8.79221e-05,77.01976
1734105600002,HYPE,1.36937e-05,11.995681
1734109200046,HYPE,1.25e-05,10.95
1734112800025,HYPE,1.25e-05,10.95
1734116400049,HYPE,0.0002133244,186.872174
1734120000020,HYPE,5.01526e-05,43.933678
1734123600110,HYPE,0.0002763379,242.072
1734127200090,HYPE,0.0001518819,133.048544
1734130800117,HYPE,7.96141e-05,69.741952
1734134400106,HYPE,4.64201e-05,40.664008
1734138000050,HYPE,2.51896e-05,22.06609
1734141600070,HYPE,1.60727e-05,14.079685
1734145200014,HYPE,1.25e-05,10.95
1734148800050,HYPE,0.000436699,382.548324
1734152400058,HYPE,0.0003285844,287.839934
1734156000017,HYPE,0.0001422665,124.625454
1734159600128,HYPE,8.65814e-05,75.845306
1734163200018,HYPE,8.22926e-05,72.088318
1734166800077,HYPE,0.0001254169,109.865204
1734170400045,HYPE,0.0002366409,207.297428
1734174000086,HYPE,0.0003137177,274.816705
1734177600067,HYPE,1.25e-05,10.95
1734181200024,HYPE,0.0002012282,176.275903
1734184800138,HYPE,3.88945e-05,34.071582
1734188400014,HYPE,5.58138e-05,48.892889
1734192000145,HYPE,0.0002845413,249.258179
1734195600175,HYPE,0.0003410685,298.776006
1734199200080,HYPE,0.0002567416,224.905642
1734202800001,HYPE,9.31745e-05,81.620862
1734206400132,HYPE,0.0001676059,146.822768
1734210000117,HYPE,0.0005189629,454.6115
1734213600120,HYPE,0.0003863953,338.482283
1734217200155,HYPE,0.0002001184,175.303718
1734220800140,HYPE,0.0003836612,336.087211
1734224400156,HYPE,0.0006044992,529.541299
1734228000137,HYPE,0.0003427686,300.265294
