ts_ms,coin,funding_rate_normalized,annualized_pct
1685577600139,LINK,-0.0001942052,-170.123755
1685606400067,LINK,-8.32878e-05,-72.960113
1685635200096,LINK,2.34462e-05,20.538871
1685664000428,LINK,-8.75334e-05,-76.679258
1685692800113,LINK,-7.76204e-05,-67.99547
1685721600038,LINK,4.91941e-05,43.094032
1685750400055,LINK,-5.90708e-05,-51.746021
1685779200071,LINK,-0.0001266647,-110.958277
1685808000011,LINK,-5.72299e-05,-50.133392
1685836800341,LINK,-0.0001586166,-138.948142
1685865600084,LINK,-0.000168875,-147.9345
1685894400195,LINK,-5.2132e-05,-45.667632
1685923200078,LINK,-6.40785e-05,-56.132766
1685952000375,LINK,-0.0001787118,-156.551537
1685980800060,LINK,-0.0002054046,-179.93443
1686009600279,LINK,-0.000399796,-350.221296
1686038400072,LINK,-0.0003246493,-284.392787
1686067200128,LINK,-0.0001550638,-135.835889
1686096000420,LINK,4.0934e-05,35.858184
1686124800037,LINK,-0.0001522296,-133.35313
1686153600026,LINK,-0.0001528143,-133.865327
1686182400254,LINK,-0.0001902461,-166.655584
1686186000054,LINK,-4.22295e-05,-36.993042
1686189600123,LINK,-4.17146e-05,-36.54199
1686193200373,LINK,-4.19186e-05,-36.720694
1686196800022,LINK,-3.6125e-05,-31.6455
1686200400074,LINK,-3.256e-05,-28.52256
1686204000106,LINK,-5.04873e-05,-44.226875
1686207600059,LINK,-5.05174e-05,-44.253242
1686211200002,LINK,-5.16479e-05,-45.24356
1686214800030,LINK,-3.94832e-05,-34.587283
1686218400406,LINK,-3.56918e-05,-31.266017
1686222000055,LINK,-3.19106e-05,-27.953686
1686225600056,LINK,-3.93401e-05,-34.461928
1686229200091,LINK,-3.94249e-05,-34.536212
1686232800160,LINK,-3.91397e-05,-34.286377
1686236400429,LINK,-3.1262e-05,-27.385512
1686240000062,LINK,-4.74325e-05,-41.55087
1686243600054,LINK,-5.32056e-05,-46.608106
1686247200012,LINK,-4.06248e-05,-35.587325
1686250800086,LINK,-2.85017e-05,-24.967489
1686254400353,LINK,-2.82059e-05,-24.708368
1686258000321,LINK,-2.53454e-05,-22.20257
1686261600024,LINK,-3.41729e-05,-29.93546
1686265200342,LINK,-3.05423e-05,-26.755055
1686268800088,LINK,-3.70997e-05,-32.499337
1686272400255,LINK,-3.07389e-05,-26.927276
1686276000108,LINK,-2.78106e-05,-24.362086
1686279600015,LINK,-3.04708e-05,-26.692421
1686283200356,LINK,-2.76863e-05,-24.253199
1686286800040,LINK,-2.63833e-05,-23.111771
1686290400089,LINK,-7.6884e-06,-6.735038
1686294000204,LINK,-2.2428e-05,-19.646928
1686297600150,LINK,-2.20559e-05,-19.320968
1686301200228,LINK,-1.59728e-05,-13.992173
1686304800075,LINK,-2.26386e-05,-19.831414
1686308400086,LINK,-1.61491e-05,-14.146612
1686312000041,LINK,-3.56362e-05,-31.217311
1686315600073,LINK,-1.85725e-05,-16.26951
1686319200034,LINK,-1.79035e-05,-15.683466
1686322800258,LINK,-1.46489e-05,-12.832436
1686326400196,LINK,-2.96101e-05,-25.938448
1686330000108,LINK,-1.49486e-05,-13.094974
1686333600398,LINK,-1.8028e-05,-15.792528
1686337200050,LINK,-3.31427e-05,-29.033005
1686340800107,LINK,-4.2531e-05,-37.257156
1686344400045,LINK,-4.15428e-05,-36.391493
1686348000137,LINK,-3.55924e-05,-31.178942
1686351600007,LINK,-4.14523e-05,-36.312215
1686355200089,LINK,-5.17061e-05,-45.294544
