ts_ms,coin,funding_rate_normalized,annualized_pct
1685577600139,SOL,-3.29782e-05,-28.888903
1685606400067,SOL,6.02422e-05,52.772167
1685635200096,SOL,3.96499e-05,34.733312
1685664000428,SOL,-0.0001007755,-88.279338
1685692800113,SOL,-6.56212e-05,-57.484171
1685721600038,SOL,6.39798e-05,56.046305
1685750400055,SOL,0.0001,87.6
1685779200071,SOL,7.62368e-05,66.783437
1685808000011,SOL,2.63118e-05,23.049137
1685836800341,SOL,9.58223e-05,83.940335
1685865600084,SOL,0.0001,87.6
1685894400195,SOL,-2.12284e-05,-18.596078
1685923200078,SOL,-0.0001345653,-117.879203
1685952000375,SOL,0.0001,87.6
1685980800060,SOL,-6.258e-07,-0.548201
1686009600279,SOL,-0.0002942806,-257.789806
1686038400072,SOL,-0.0005570494,-487.975274
1686067200128,SOL,-0.0008724275,-764.24649
1686096000420,SOL,-0.0006979696,-611.42137
1686124800037,SOL,-0.0003667589,-321.280796
1686153600026,SOL,-0.0003709957,-324.992233
1686182400254,SOL,-0.0005529388,-484.374389
1686186000054,SOL,-9.45789e-05,-82.851116
1686189600123,SOL,-0.0001056753,-92.571563
1686193200373,SOL,-0.0001095377,-95.955025
1686196800022,SOL,-0.0001323122,-115.905487
1686200400074,SOL,-9.36301e-05,-82.019968
1686204000106,SOL,-0.0001123515,-98.419914
1686207600059,SOL,-0.000117223,-102.687348
1686211200002,SOL,-0.0001243346,-108.91711
1686214800030,SOL,-9.08788e-05,-79.609829
1686218400406,SOL,-9.43503e-05,-82.650863
1686222000055,SOL,-9.77038e-05,-85.588529
1686225600056,SOL,-0.0001232765,-107.990214
1686229200091,SOL,-0.0001375709,-120.512108
1686232800160,SOL,-0.0001350961,-118.344184
1686236400429,SOL,-0.0001305442,-114.356719
1686240000062,SOL,-0.0001298758,-113.771201
1686243600054,SOL,-0.0001328064,-116.338406
1686247200012,SOL,-0.0001133003,-99.251063
1686250800086,SOL,-0.0001174546,-102.89023
1686254400353,SOL,-0.0001123779,-98.44304
1686258000321,SOL,-0.0001173645,-102.811302
1686261600024,SOL,-7.37482e-05,-64.603423
1686265200342,SOL,-8.59136e-05,-75.260314
1686268800088,SOL,-8.4038e-05,-73.617288
1686272400255,SOL,-8.05202e-05,-70.535695
1686276000108,SOL,-7.25512e-05,-63.554851
1686279600015,SOL,-9.19146e-05,-80.51719
1686283200356,SOL,-7.97673e-05,-69.876155
1686286800040,SOL,-7.29003e-05,-63.860663
1686290400089,SOL,-6.01408e-05,-52.683341
1686294000204,SOL,-7.0439e-05,-61.704564
1686297600150,SOL,-8.26218e-05,-72.376697
1686301200228,SOL,-6.75033e-05,-59.132891
1686304800075,SOL,-6.69294e-05,-58.630154
1686308400086,SOL,-7.66538e-05,-67.148729
1686312000041,SOL,-5.87176e-05,-51.436618
1686315600073,SOL,-7.05521e-05,-61.80364
1686319200034,SOL,-8.88294e-05,-77.814554
1686322800258,SOL,-8.29749e-05,-72.686012
1686326400196,SOL,-0.0001065242,-93.315199
1686330000108,SOL,-0.0001337027,-117.123565
1686333600398,SOL,-0.0001279712,-112.102771
1686337200050,SOL,-0.0001022985,-89.613486
1686340800107,SOL,-0.0001283038,-112.394129
1686344400045,SOL,-9.24559e-05,-80.991368
1686348000137,SOL,-8.49306e-05,-74.399206
1686351600007,SOL,-9.89132e-05,-86.647963
1686355200089,SOL,-0.000118267,-103.601892
1686358800046,SOL,-4.99764e-05,-43.779326
1686362400029,SOL,1.25e-05,10.95
1686366000021,SOL,-2.94041e-05,-25.757992
1686369600061,SOL,-2.50758e-05,-21.966401
1686373200110,SOL,-0.0001964058,-172.051481
1686376800102,SOL,-9.43193e-05,-82.623707
1686380400262,SOL,-0.0001615283,-141.498791
1686384000047,SOL,-9.74874e-05,-85.398962
1686387600062,SOL,-9.1523e-05,-80.174148
1686391200106,SOL,-8.9634e-05,-78.519384
1686394800009,SOL,-6.24805e-05,-54.732918
1686398400056,SOL,-8.45906e-05,-74.101366
1686402000157,SOL,-0.0001158835,-101.513946
1686405600091,SOL,-4.98228e-05,-43.644773
1686409200086,SOL,-5.03679e-05,-44.12228
1686412800155,SOL,-9.55598e-05,-83.710385
1686416400157,SOL,-8.0542e-06,-7.055479
1686420000161,SOL,4.6195e-06,4.046682
1686423600337,SOL,-8.02414e-05,-70.291466
1686427200442,SOL,-0.0001055742,-92.482999
1686430800309,SOL,-6.25296e-05,-54.77593
1686434400292,SOL,-3.31382e-05,-29.029063
1686438000089,SOL,-6.36245e-05,-55.735062
1686441600098,SOL,-6.53535e-05,-57.249666
1686445200065,SOL,-0.0001517993,-132.976187
1686448800067,SOL,-0.0001871213,-163.918259
1686452400083,SOL,-0.0002052411,-179.791204
1686456000382,SOL,-0.0001898281,-166.289416
1686459600342,SOL,-0.0001282853,-112.377923
1686463200216,SOL,-5.08203e-05,-44.518583
1686466800178,SOL,-3.31782e-05,-29.064103
1686470400036,SOL,-0.0001036585,-90.804846
1686474000438,SOL,-0.0001261528,-110.509853
1686477600111,SOL,-0.0001041893,-91.269827
1686481200054,SOL,-8.97883e-05,-78.654551
