ts_ms,coin,funding_rate,annualized_pct
1775066400000,BTC,-8.126e-06,-7.1183
1775066400000,ETH,-1.36447e-05,-11.9528
1775066400000,SOL,-1.21019e-05,-10.6013
1775062815000,BTC,-8.0249e-06,-7.0298
1775062815000,ETH,-6.5518e-06,-5.7393
1775062807000,SOL,-9.1943e-06,-8.0542
1775059203000,BTC,-8.2901e-06,-7.2621
1775059203000,ETH,-2.583e-06,-2.2627
1775059201000,SOL,-1.04911e-05,-9.1902
1775055624000,BTC,-8.8465e-06,-7.7496
1775055624000,ETH,-3.6679e-06,-3.2131
1775055607000,SOL,-1.19794e-05,-10.494
1775052023000,BTC,-9.7256e-06,-8.5196
1775052023000,ETH,-5.5828e-06,-4.8905
1775052023000,SOL,-1.23819e-05,-10.8465
1775048412000,ETH,-7.1264e-06,-6.2427
1775048411000,BTC,-8.561e-06,-7.4994
1775048406000,SOL,-1.08065e-05,-9.4665
1775044802000,BTC,-8.5049e-06,-7.4503
1775044802000,ETH,-6.7364e-06,-5.9011
1775044802000,SOL,-8.4402e-06,-7.3936
1775041212000,BTC,-7.2694e-06,-6.368
1775041212000,ETH,-5.3965e-06,-4.7273
1775041212000,SOL,-8.3094e-06,-7.279
1775037619000,ETH,-3.212e-07,-0.2814
1775037618000,SOL,-8.2582e-06,-7.2342
1775037600000,BTC,-8.0572e-06,-7.0582
1775034019000,BTC,-8.5461e-06,-7.4864
1775034019000,ETH,-7.2355e-06,-6.3383
1775034019000,SOL,-4.2876e-06,-3.7559
1775030425000,ETH,-5.9758e-06,-5.2348
1775030424000,BTC,-8.6574e-06,-7.5839
1775030402000,SOL,6.5926e-06,5.7751
1775026811000,SOL,-5.9681e-06,-5.228
1775026806000,BTC,-7.7351e-06,-6.776
1775026801000,ETH,-5.6792e-06,-4.975
1775023206000,ETH,-5.8603e-06,-5.1336
1775023206000,SOL,-8.0286e-06,-7.033
1775023205000,BTC,-7.5824e-06,-6.6422
1775019616000,BTC,-8.0051e-06,-7.0125
1775019616000,ETH,-6.3513e-06,-5.5637
1775019606000,SOL,5.337e-07,0.4675
1775016006000,BTC,-7.3035e-06,-6.3979
1775016006000,ETH,-3.6194e-06,-3.1706
1775016006000,SOL,-5.3396e-06,-4.6775
1775012416000,BTC,-6.3529e-06,-5.5652
1775012410000,SOL,-8.5501e-06,-7.4899
1775012408000,ETH,-4.2026e-06,-3.6815
1775008805000,BTC,-6.6337e-06,-5.8111
1775008805000,ETH,-2.6512e-06,-2.3224
1775008805000,SOL,-3.0564e-06,-2.6774
1775005202000,BTC,-5.9304e-06,-5.195
1775005200000,ETH,-5.017e-07,-0.4395
1775005200000,SOL,-4.0842e-06,-3.5778
1775001614000,BTC,-5.6994e-06,-4.9927
1775001614000,ETH,2.8996e-06,2.5401
1775001605000,SOL,-8.5425e-06,-7.4833
1774998003000,BTC,-3.6946e-06,-3.2365
1774998003000,SOL,-8.981e-06,-7.8673
1774998000000,ETH,-8.395e-07,-0.7354
1774994407000,ETH,9.969e-07,0.8733
1774994404000,BTC,9.936e-07,0.8704
1774994400000,SOL,-1.8767e-06,-1.644
1774990803000,BTC,1.0374e-06,0.9087
1774990803000,ETH,5.6608e-06,4.9589
1774990803000,SOL,1.12633e-05,9.8666
1774987212000,BTC,2.835e-07,0.2484
1774987212000,ETH,3.616e-06,3.1676
1774987205000,SOL,1.09958e-05,9.6323
1774983600000,BTC,-2.0522e-06,-1.7977
1774983600000,ETH,4.9168e-06,4.3071
1774983600000,SOL,6.9804e-06,6.1149
1774980000000,BTC,4.1467e-06,3.6325
1774980000000,ETH,6.817e-06,5.9717
1774980000000,SOL,5.6225e-06,4.9253
1774976410000,BTC,2.33917e-05,20.4911
1774976408000,ETH,-1.8265e-06,-1.6
1774976407000,SOL,-3.7496e-06,-3.2846
1774972820000,BTC,2.38606e-05,20.9019
1774972800000,ETH,6.915e-07,0.6057
1774972800000,SOL,-8.7311e-06,-7.6484
1774969200000,BTC,2.21462e-05,19.4001
1774969200000,ETH,3.0631e-06,2.6833
1774969200000,SOL,-7.4617e-06,-6.5364
1774965608000,BTC,2.18917e-05,19.1771
1774965608000,ETH,1.9999e-06,1.7519
1774965607000,SOL,-9.7982e-06,-8.5833
1774962017000,SOL,-1.91601e-05,-16.7843
1774962015000,BTC,2.10517e-05,18.4413
1774962014000,ETH,2.4877e-06,2.1793
1774958416000,BTC,1.85379e-05,16.2392
1774958416000,ETH,2.6544e-06,2.3253
1774958400000,SOL,-2.38446e-05,-20.8879
1774954806000,BTC,1.94689e-05,17.0548
1774954806000,ETH,7.9102e-06,6.9293
1774954800000,SOL,-1.5619e-05,-13.6823
1774951213000,SOL,-1.16867e-05,-10.2376
1774951202000,BTC,2.28781e-05,20.0413
1774951202000,ETH,1.08177e-05,9.4763
1774947605000,BTC,1.66808e-05,14.6123
1774947605000,ETH,1.39019e-05,12.1781
1774947600000,SOL,-6.9396e-06,-6.0791
1774944003000,BTC,8.1966e-06,7.1802
1774944003000,ETH,9.7459e-06,8.5374
1774944003000,SOL,-4.1671e-06,-3.6504
1774940403000,BTC,-5.621e-07,-0.4924
1774940403000,ETH,1.09194e-05,9.5654
1774940403000,SOL,-8.011e-06,-7.0176
1774936811000,BTC,1.7474e-06,1.5307
1774936811000,ETH,6.1947e-06,5.4266
1774936804000,SOL,-1.23844e-05,-10.8488
1774933201000,BTC,-1.4365e-06,-1.2584
1774933201000,ETH,3.7493e-06,3.2844
1774933201000,SOL,-6.9327e-06,-6.0731
1774929611000,BTC,4.141e-07,0.3628
1774929611000,ETH,7.5398e-06,6.6049
1774929604000,SOL,-8.6164e-06,-7.548
1774926001000,BTC,5.3509e-06,4.6874
1774926001000,ETH,9.4367e-06,8.2666
1774926001000,SOL,-1.87414e-05,-16.4175
1774922410000,BTC,7.7197e-06,6.7625
1774922410000,ETH,1.1142e-05,9.7604
1774922410000,SOL,-1.81237e-05,-15.8763
1774918800000,BTC,2.09305e-05,18.3351
1774918800000,ETH,6.5718e-06,5.7569
1774918800000,SOL,-1.7256e-05,-15.1163
1774915219000,BTC,1.74164e-05,15.2568
1774915219000,ETH,1.0321e-06,0.9041
1774915219000,SOL,-7.2926e-06,-6.3884
1774911600000,BTC,4.752e-06,4.1627
1774911600000,ETH,-1.3868e-06,-1.2148
1774911600000,SOL,3.528e-07,0.309
1774908019000,BTC,-1.0257e-05,-8.9851
1774908015000,SOL,2.62633e-05,23.0067
1774908004000,ETH,6.825e-07,0.5979
1774904410000,BTC,-1.01214e-05,-8.8663
1774904410000,ETH,6.0194e-06,5.273
1774904404000,SOL,2.1113e-05,18.495
1774900808000,BTC,-9.5804e-06,-8.3924
1774900808000,ETH,7.77e-08,0.0681
1774900800000,SOL,5.2898e-06,4.6339
1774897218000,BTC,-8.5598e-06,-7.4984
1774897218000,ETH,-1.3383e-06,-1.1723
1774897218000,SOL,-1.54034e-05,-13.4934
1774893608000,BTC,-9.3942e-06,-8.2293
1774893608000,ETH,-5.379e-07,-0.4712
1774893607000,SOL,-1.57943e-05,-13.8358
1774890008000,BTC,-9.1184e-06,-7.9877
1774890008000,ETH,-8.216e-07,-0.7197
1774890001000,SOL,-1.60272e-05,-14.0398
1774886408000,BTC,-9.3467e-06,-8.1877
1774886408000,ETH,-2.7207e-06,-2.3833
1774886403000,SOL,-1.10277e-05,-9.6603
1774882815000,ETH,-1.1967e-06,-1.0483
1774882804000,BTC,-1.11208e-05,-9.7419
1774882801000,SOL,-1.12446e-05,-9.8503
1774879214000,BTC,-1.13319e-05,-9.9268
