coin,month,hl_ann_pct,drift_ann_pct,delta
BTC,2025-01,16.6051,,
BTC,2025-02,10.8581,,
BTC,2025-03,3.1499,,
BTC,2025-04,5.2815,,
BTC,2025-05,16.2096,,
BTC,2025-06,8.4789,,
BTC,2025-07,19.4381,,
BTC,2025-08,11.3643,,
BTC,2025-09,10.0855,,
BTC,2025-10,10.6523,,
BTC,2025-11,8.9625,,
BTC,2025-12,6.2329,,
BTC,2026-01,7.2949,,
BTC,2026-02,2.316,,
BTC,2026-03,0.8997,,
BTC,2026-04,-3.9977,,
ETH,2025-01,11.822,,
ETH,2025-02,6.2421,,
ETH,2025-03,1.7664,,
ETH,2025-04,-2.943,,
ETH,2025-05,12.1715,,
ETH,2025-06,7.3152,,
ETH,2025-07,21.77,,
ETH,2025-08,11.5118,,
ETH,2025-09,7.8801,,
ETH,2025-10,7.254,,
ETH,2025-11,8.0484,,
ETH,2025-12,8.91,,
ETH,2026-01,7.6796,,
ETH,2026-02,2.1673,,
ETH,2026-03,2.5729,,
ETH,2026-04,-2.6005,,
SOL,2025-01,11.0827,5.8763,-5.2064
SOL,2025-02,1.3067,-17.4859,-18.7926
SOL,2025-03,-1.7513,-13.2496,-11.4982
SOL,2025-04,-5.9342,-11.6801,-5.7459
SOL,2025-05,10.5859,-1.1219,-11.7078
SOL,2025-06,6.885,-1.909,-8.794
SOL,2025-07,19.851,6.8415,-13.0095
SOL,2025-08,11.7727,-2.0921,-13.8648
SOL,2025-09,10.8474,3.0827,-7.7647
SOL,2025-10,-4.7797,-16.8448,-12.0651
SOL,2025-11,-2.4291,-10.6116,-8.1825
SOL,2025-12,5.515,0.9106,-4.6044
SOL,2026-01,3.1171,-3.8643,-6.9814
SOL,2026-02,-17.6247,-19.0666,-1.4418
SOL,2026-03,-9.7393,-9.1608,0.5785
SOL,2026-04,-4.5215,-6.1179,-1.5964
HYPE,2025-01,55.3448,,
HYPE,2025-02,30.0402,,
HYPE,2025-03,22.3323,,
HYPE,2025-04,11.6187,,
HYPE,2025-05,32.8779,,
HYPE,2025-06,19.8234,,
HYPE,2025-07,26.766,,
HYPE,2025-08,14.0588,,
HYPE,2025-09,17.26,,
HYPE,2025-10,10.2308,,
HYPE,2025-11,12.2725,,
HYPE,2025-12,12.0604,,
HYPE,2026-01,11.7148,,
HYPE,2026-02,7.0219,,
HYPE,2026-03,6.8666,,
HYPE,2026-04,10.154,,
AVAX,2025-01,7.8664,,
AVAX,2025-02,5.4585,,
AVAX,2025-03,2.337,,
AVAX,2025-04,-13.7537,,
AVAX,2025-05,14.0032,,
AVAX,2025-06,4.5902,,
AVAX,2025-07,16.6394,,
AVAX,2025-08,14.3386,,
AVAX,2025-09,20.6768,,
AVAX,2025-10,-1.0009,,
AVAX,2025-11,-2.5676,,
AVAX,2025-12,-0.8047,,
AVAX,2026-01,-3.33,,
AVAX,2026-02,5.4626,,
AVAX,2026-03,7.1822,,
AVAX,2026-04,10.95,,
LINK,2025-01,13.5567,,
LINK,2025-02,8.8927,,
LINK,2025-03,6.2095,,
LINK,2025-04,6.4253,,
LINK,2025-05,12.5644,,
LINK,2025-06,10.4247,,
LINK,2025-07,21.8859,,
LINK,2025-08,17.7509,,
LINK,2025-09,11.8378,,
LINK,2025-10,12.7192,,
LINK,2025-11,10.2896,,
LINK,2025-12,9.2992,,
LINK,2026-01,8.2276,,
LINK,2026-02,8.4804,,
LINK,2026-03,8.8682,,
LINK,2026-04,10.95,,
DOGE,2025-01,11.6852,,
DOGE,2025-02,4.8086,,
DOGE,2025-03,2.8657,,
DOGE,2025-04,2.4804,,
DOGE,2025-05,15.4883,,
DOGE,2025-06,7.9846,,
DOGE,2025-07,26.3042,,
DOGE,2025-08,9.6059,,
DOGE,2025-09,14.4351,,
DOGE,2025-10,-1.5461,,
DOGE,2025-11,7.5937,,
DOGE,2025-12,3.4787,,
DOGE,2026-01,5.0754,,
DOGE,2026-02,-0.1039,,
DOGE,2026-03,-1.291,,
DOGE,2026-04,5.7272,,
