ts_ms,coin,funding_rate_raw,funding_rate_normalized,annualized_pct
1698364800858,AVAX,0.0,0.0,0.0
1698368400447,AVAX,0.0,0.0,0.0
1698372000521,AVAX,0.0,0.0,0.0
1698375601007,AVAX,0.0,0.0,0.0
1698379200703,AVAX,0.0,0.0,0.0
1698382801254,AVAX,0.0,0.0,0.0
1698386400795,AVAX,0.0,0.0,0.0
1698390000885,AVAX,0.0,0.0,0.0
1698393600063,AVAX,0.0,0.0,0.0
1698397200216,AVAX,0.0,0.0,0.0
1698400800073,AVAX,0.0,0.0,0.0
1698404400566,AVAX,0.0,0.0,0.0
1698408001104,AVAX,0.0,0.0,0.0
1698411600251,AVAX,0.0,0.0,0.0
1698415200165,AVAX,0.0,0.0,0.0
1698418805517,AVAX,0.0,0.0,0.0
1698422400343,AVAX,0.0,0.0,0.0
1698426000807,AVAX,0.0,0.0,0.0
1698429600302,AVAX,0.0,0.0,0.0
1698433200040,AVAX,0.0,0.0,0.0
1698436801132,AVAX,0.0,0.0,0.0
1698440400746,AVAX,0.0,0.0,0.0
1698444000628,AVAX,0.0,0.0,0.0
1698447600640,AVAX,0.0,0.0,0.0
1698451200788,AVAX,0.0,0.0,0.0
1698454800480,AVAX,0.0,0.0,0.0
1698458400452,AVAX,0.0,0.0,0.0
1698462000982,AVAX,0.0,0.0,0.0
1698465600096,AVAX,0.0,0.0,0.0
1698469200734,AVAX,0.0,0.0,0.0
1698472800253,AVAX,0.0,0.0,0.0
1698476400144,AVAX,0.0,0.0,0.0
1698480000323,AVAX,0.0,0.0,0.0
1698483600809,AVAX,0.0,0.0,0.0
1698487200346,AVAX,0.0,0.0,0.0
1698490800938,AVAX,0.0,0.0,0.0
1698494400602,AVAX,0.0,0.0,0.0
1698498000893,AVAX,0.0,0.0,0.0
1698501600051,AVAX,0.0,0.0,0.0
1698505201214,AVAX,0.0,0.0,0.0
1698508801065,AVAX,0.0,0.0,0.0
1698512400458,AVAX,0.0,0.0,0.0
1698516001108,AVAX,0.0,0.0,0.0
1698519600769,AVAX,0.0,0.0,0.0
1698523200371,AVAX,0.0,0.0,0.0
1698526801247,AVAX,0.0,0.0,0.0
1698530400468,AVAX,0.0,0.0,0.0
1698534001063,AVAX,0.0,0.0,0.0
1698537601089,AVAX,0.0,0.0,0.0
1698541200090,AVAX,0.0,0.0,0.0
1698544800324,AVAX,0.0,0.0,0.0
1698548400355,AVAX,0.0,0.0,0.0
1698552001006,AVAX,0.0,0.0,0.0
1698555600591,AVAX,0.0,0.0,0.0
1698559201038,AVAX,0.0,0.0,0.0
1698562800288,AVAX,0.0,0.0,0.0
1698566400111,AVAX,0.0,0.0,0.0
1698570000711,AVAX,0.0,0.0,0.0
1698573601076,AVAX,0.0,0.0,0.0
1698577200863,AVAX,0.0,0.0,0.0
1698580801319,AVAX,0.0,0.0,0.0
1698584400909,AVAX,0.0,0.0,0.0
1698588000945,AVAX,0.0,0.0,0.0
1698591601097,AVAX,0.0,0.0,0.0
1698595202547,AVAX,0.0,0.0,0.0
1698598800520,AVAX,0.0,0.0,0.0
1698602401155,AVAX,0.0,0.0,0.0
1698606003409,AVAX,0.0,0.0,0.0
1698609600658,AVAX,0.0,0.0,0.0
1698613201125,AVAX,0.0,0.0,0.0
1698616802708,AVAX,0.0,0.0,0.0
1698620401184,AVAX,0.0,0.0,0.0
1698624000546,AVAX,0.0,0.0,0.0
1698627600792,AVAX,0.0,0.0,0.0
1698631200964,AVAX,0.0,0.0,0.0
1698634800680,AVAX,0.0,0.0,0.0
1698638400408,AVAX,0.0,0.0,0.0
1698642000402,AVAX,0.0,0.0,0.0
1698645600802,AVAX,0.0,0.0,0.0
1698649200244,AVAX,0.0,0.0,0.0
1698652801429,AVAX,0.0,0.0,0.0
1698656401218,AVAX,0.0,0.0,0.0
1698660000179,AVAX,0.0,0.0,0.0
1698663601062,AVAX,0.0,0.0,0.0
1698667200878,AVAX,0.0,0.0,0.0
1698670800791,AVAX,0.0,0.0,0.0
1698674400904,AVAX,0.0,0.0,0.0
1698678000374,AVAX,0.0,0.0,0.0
1698681600080,AVAX,0.0,0.0,0.0
1698685201059,AVAX,0.0,0.0,0.0
1698688800300,AVAX,0.0,0.0,0.0
1698692400499,AVAX,0.0,0.0,0.0
1698696000254,AVAX,0.0,0.0,0.0
1698699601180,AVAX,0.0,0.0,0.0
1698703201139,AVAX,0.0,0.0,0.0
1698706800826,AVAX,0.0,0.0,0.0
1698710401239,AVAX,0.0,0.0,0.0
1698714001040,AVAX,0.0,0.0,0.0
1698717601389,AVAX,0.0,0.0,0.0
1698721200275,AVAX,0.0,0.0,0.0
1698724801010,AVAX,0.0,0.0,0.0
1698728400975,AVAX,0.0,0.0,0.0
1698732000953,AVAX,0.0,0.0,0.0
1698735601051,AVAX,0.0,0.0,0.0
1698739200087,AVAX,0.0,0.0,0.0
1698742801247,AVAX,0.0,0.0,0.0
1698746400953,AVAX,0.0,0.0,0.0
1698750000870,AVAX,0.0,0.0,0.0
1698753600296,AVAX,0.0,0.0,0.0
1698757200813,AVAX,0.0,0.0,0.0
1698760800214,AVAX,0.0,0.0,0.0
1698764401171,AVAX,0.0,0.0,0.0
1698768001274,AVAX,0.0,0.0,0.0
1698771601218,AVAX,0.0,0.0,0.0
1698775201011,AVAX,0.0,0.0,0.0
1698778800279,AVAX,0.0,0.0,0.0
1698782400709,AVAX,0.0,0.0,0.0
1698786003227,AVAX,0.0,0.0,0.0
1698789600653,AVAX,0.0,0.0,0.0
1698793201133,AVAX,0.0,0.0,0.0
1698796800813,AVAX,0.0,0.0,0.0
1698800400312,AVAX,0.0,0.0,0.0
1698804000314,AVAX,0.0,0.0,0.0
1698807600608,AVAX,0.0,0.0,0.0
1698811200851,AVAX,0.0,0.0,0.0
1698814801453,AVAX,0.0,0.0,0.0
1698818401024,AVAX,0.0,0.0,0.0
1698822000431,AVAX,0.0,0.0,0.0
1698825600351,AVAX,0.0,0.0,0.0
1698829201080,AVAX,0.0,0.0,0.0
1698832801131,AVAX,0.0,0.0,0.0
1698836401154,AVAX,0.0,0.0,0.0
1698840000595,AVAX,0.0,0.0,0.0
