ts_ms,coin,funding_rate_raw,funding_rate_normalized,annualized_pct
1740585600364,HYPE,1.25e-05,1.25e-05,10.95
1740589200762,HYPE,1.25e-05,1.25e-05,10.95
1740592800021,HYPE,1.25e-05,1.25e-05,10.95
1740596401609,HYPE,1.25e-05,1.25e-05,10.95
1740600000325,HYPE,1.25e-05,1.25e-05,10.95
1740603601182,HYPE,1.25e-05,1.25e-05,10.95
1740607200279,HYPE,1.25e-05,1.25e-05,10.95
1740610800813,HYPE,1.25e-05,1.25e-05,10.95
1740614400170,HYPE,1.25e-05,1.25e-05,10.95
1740618000508,HYPE,1.25e-05,1.25e-05,10.95
1740621600567,HYPE,1.25e-05,1.25e-05,10.95
1740625200431,HYPE,1.25e-05,1.25e-05,10.95
1740628804253,HYPE,1.25e-05,1.25e-05,10.95
1740632400566,HYPE,1.25e-05,1.25e-05,10.95
1740636000287,HYPE,1.25e-05,1.25e-05,10.95
1740639600799,HYPE,1.25e-05,1.25e-05,10.95
1740643200059,HYPE,1.25e-05,1.25e-05,10.95
1740646800256,HYPE,1.25e-05,1.25e-05,10.95
1740650400614,HYPE,1.25e-05,1.25e-05,10.95
1740654000549,HYPE,1.25e-05,1.25e-05,10.95
1740657600412,HYPE,1.25e-05,1.25e-05,10.95
1740661201063,HYPE,1.25e-05,1.25e-05,10.95
1740664801112,HYPE,1.25e-05,1.25e-05,10.95
1740668400461,HYPE,1.25e-05,1.25e-05,10.95
1740672000202,HYPE,1.25e-05,1.25e-05,10.95
1740675601388,HYPE,1.25e-05,1.25e-05,10.95
1740679200033,HYPE,1.25e-05,1.25e-05,10.95
1740682800536,HYPE,1.25e-05,1.25e-05,10.95
1740686400269,HYPE,1.25e-05,1.25e-05,10.95
1740690000360,HYPE,1.25e-05,1.25e-05,10.95
1740693600910,HYPE,1.25e-05,1.25e-05,10.95
1740697200465,HYPE,1.25e-05,1.25e-05,10.95
1740700800784,HYPE,1.25e-05,1.25e-05,10.95
1740704402212,HYPE,1.25e-05,1.25e-05,10.95
1740708001247,HYPE,1.25e-05,1.25e-05,10.95
1740711600506,HYPE,1.25e-05,1.25e-05,10.95
1740715200868,HYPE,1.25e-05,1.25e-05,10.95
1740718801062,HYPE,1.25e-05,1.25e-05,10.95
1740722401267,HYPE,1.25e-05,1.25e-05,10.95
1740726000887,HYPE,1.25e-05,1.25e-05,10.95
1740729600122,HYPE,1.25e-05,1.25e-05,10.95
1740733200644,HYPE,1.25e-05,1.25e-05,10.95
1740736800491,HYPE,1.25e-05,1.25e-05,10.95
1740740400781,HYPE,1.25e-05,1.25e-05,10.95
1740744000059,HYPE,1.25e-05,1.25e-05,10.95
1740747600208,HYPE,1.25e-05,1.25e-05,10.95
1740751200076,HYPE,1.25e-05,1.25e-05,10.95
1740754800832,HYPE,1.25e-05,1.25e-05,10.95
1740758400259,HYPE,1.25e-05,1.25e-05,10.95
1740762002474,HYPE,1.25e-05,1.25e-05,10.95
1740765601112,HYPE,1.25e-05,1.25e-05,10.95
1740769201078,HYPE,1.25e-05,1.25e-05,10.95
1740772800380,HYPE,1.25e-05,1.25e-05,10.95
1740776401153,HYPE,1.25e-05,1.25e-05,10.95
1740780000567,HYPE,1.25e-05,1.25e-05,10.95
1740783600372,HYPE,1.25e-05,1.25e-05,10.95
1740787200562,HYPE,1.25e-05,1.25e-05,10.95
1740790800257,HYPE,1.25e-05,1.25e-05,10.95
1740794401359,HYPE,1.25e-05,1.25e-05,10.95
1740798000185,HYPE,1.25e-05,1.25e-05,10.95
1740801600809,HYPE,1.25e-05,1.25e-05,10.95
1740805200803,HYPE,1.25e-05,1.25e-05,10.95
1740808802245,HYPE,1.25e-05,1.25e-05,10.95
1740812400659,HYPE,1.25e-05,1.25e-05,10.95
1740816000023,HYPE,1.25e-05,1.25e-05,10.95
1740819600846,HYPE,1.25e-05,1.25e-05,10.95
1740823200936,HYPE,1.25e-05,1.25e-05,10.95
1740826800391,HYPE,0.0003255,0.0003255,285.138
1740830400459,HYPE,0.000938125,0.000938125,821.7975
