mode,exit_param1,exit_param2,period,annual,max_dd,calmar,sharpe,trades,avg_hold_h,tim_pct
adaptive,+0.5,,full,12.04,0.69,17.4,34.9,112,679.8,100.0
adaptive,+0.5,,last_90d,2.12,0.07,30.9,10.41,7,679.8,100.0
adaptive,+0.3,,full,11.86,0.76,15.5,36.41,97,788.2,100.0
adaptive,+0.3,,last_90d,2.26,0.05,42.1,11.67,7,788.2,100.0
adaptive,+0.0,,full,12.99,0.77,16.9,40.09,77,1000.5,100.0
adaptive,+0.0,,last_90d,2.21,0.06,34.9,11.51,7,1000.5,100.0
adaptive,-0.3,,full,14.93,0.54,27.7,52.48,23,1446.4,100.0
adaptive,-0.3,,last_90d,2.64,0.06,45.6,17.22,2,1446.4,100.0
adaptive,-0.5,,full,15.35,0.46,33.2,58.36,11,3110.1,100.0
adaptive,-0.5,,last_90d,2.43,0.05,51.2,24.27,0,3110.1,100.0
adaptive,-1.0,,full,16.09,0.46,34.6,66.97,8,882.4,100.0
adaptive,-1.0,,last_90d,1.95,0.09,21.7,10.25,0,882.4,100.0
trailing,+0.7,,full,8.47,0.62,13.7,24.2,204,378.4,100.0
trailing,+0.7,,last_90d,2.3,0.08,27.8,10.28,9,378.4,100.0
trailing,+0.5,,full,8.56,0.69,12.5,25.26,189,405.6,100.0
trailing,+0.5,,last_90d,2.33,0.08,28.1,10.67,8,405.6,100.0
trailing,+0.3,,full,8.77,0.56,15.8,27.23,168,445.9,100.0
trailing,+0.3,,last_90d,2.3,0.05,42.7,12.72,6,445.9,100.0
trailing,+0.0,,full,12.99,0.77,16.9,40.09,77,1000.5,100.0
trailing,+0.0,,last_90d,2.21,0.06,34.9,11.51,7,1000.5,100.0
trailing,-0.3,,full,19.42,0.69,28.3,53.07,9,1340.7,100.0
trailing,-0.3,,last_90d,1.53,0.1,15.7,7.46,0,1340.7,100.0
trailing,-0.5,,full,33.96,0.73,46.7,46.08,6,7592.7,100.0
trailing,-0.5,,last_90d,1.6,0.09,18.7,8.85,0,7592.7,100.0
forward,remaining,1.0,full,8.75,0.56,15.7,26.78,176,434.3,100.0
forward,remaining,1.0,last_90d,2.28,0.06,40.7,9.91,9,434.3,100.0
forward,remaining,2.0,full,8.82,0.69,12.9,25.14,191,402.1,100.0
forward,remaining,2.0,last_90d,2.48,0.06,44.3,10.73,9,402.1,100.0
forward,remaining,3.0,full,8.25,0.69,12.0,23.22,209,367.3,100.0
forward,remaining,3.0,last_90d,1.84,0.07,26.9,8.19,9,367.3,100.0
forward,fixed_168,1.0,full,11.91,0.53,22.4,37.45,92,832.2,100.0
forward,fixed_168,1.0,last_90d,2.04,0.07,28.6,9.37,8,832.2,100.0
forward,fixed_168,2.0,full,10.83,0.6,18.0,33.44,108,720.9,100.0
forward,fixed_168,2.0,last_90d,1.6,0.09,18.0,7.04,9,720.9,100.0
forward,fixed_168,3.0,full,8.62,0.78,11.0,28.64,139,557.7,100.0
forward,fixed_168,3.0,last_90d,1.44,0.08,17.4,6.13,9,557.7,100.0
raw_-0.15,,,full,11.19,0.76,14.8,35.89,84,909.9,100.0
raw_-0.15,,,last_90d,2.79,0.05,51.2,14.33,6,909.9,100.0
symmetric_-0.30,-0.30,,full,13.72,0.58,23.5,45.74,24,2816.2,99.4
symmetric_-0.30,-0.30,,last_90d,3.22,0.04,74.7,35.76,0,2816.2,100.0
persistent_6h_-0.30,-0.30,6h,full,21.11,0.6,35.1,58.83,15,3923.1,99.5
persistent_6h_-0.30,-0.30,6h,last_90d,3.95,0.05,75.3,35.76,0,3923.1,100.0
