mode,entry,safety_mult,period,annual,max_dd,calmar,sharpe,trades,time_in_market_pct,median_wait_hours,avg_hold_assigned
baseline_30_120,0.3,0.0,full,9.93,0.1,100.9,34.95,60,70.9,237,120.0
baseline_30_120,0.3,0.0,last_90d,0.0,0.0,0.0,0.0,0,0.0,2160,120.0
baseline_15_120,0.15,0.0,full,9.79,0.12,83.5,33.72,69,79.6,178,120.0
baseline_15_120,0.15,0.0,last_90d,-0.07,0.05,-1.3,-0.56,3,13.4,1870,120.0
baseline_10_120,0.1,0.0,full,10.03,0.77,13.0,28.19,67,99.4,20,120.0
baseline_10_120,0.1,0.0,last_90d,1.15,0.13,9.1,4.09,10,100.0,0,120.0
baseline_10_1,0.1,0.0,full,9.27,1.11,8.3,22.77,139,97.8,18,1.0
baseline_10_1,0.1,0.0,last_90d,-0.63,0.5,-1.3,-1.82,24,100.0,0,1.0
dynamic,0.08,1.5,full,10.9,0.59,18.4,32.15,131,99.8,44,217.4
dynamic,0.08,1.5,last_90d,2.38,0.06,40.6,10.52,10,100.0,0,217.4
dynamic,0.08,2.0,full,10.47,0.92,11.3,32.79,116,100.0,0,288.0
dynamic,0.08,2.0,last_90d,2.48,0.08,32.0,11.28,9,100.0,0,288.0
dynamic,0.08,3.0,full,10.53,0.92,11.4,33.29,100,100.0,0,409.1
dynamic,0.08,3.0,last_90d,2.22,0.07,33.6,10.17,8,100.0,0,409.1
dynamic,0.08,5.0,full,11.19,0.76,14.8,35.89,84,100.0,0,536.4
dynamic,0.08,5.0,last_90d,2.79,0.05,51.2,14.33,6,100.0,0,536.4
dynamic,0.1,1.5,full,10.98,0.69,16.0,32.33,136,99.5,134,205.0
dynamic,0.1,1.5,last_90d,1.84,0.07,27.6,7.57,13,100.0,0,205.0
dynamic,0.1,2.0,full,10.4,0.81,12.8,32.23,121,99.8,42,266.9
dynamic,0.1,2.0,last_90d,2.25,0.07,30.5,10.04,11,100.0,0,266.9
dynamic,0.1,3.0,full,11.17,0.61,18.4,34.86,99,100.0,0,399.1
dynamic,0.1,3.0,last_90d,2.6,0.06,44.9,11.99,9,100.0,0,399.1
dynamic,0.1,5.0,full,11.24,0.9,12.4,35.61,85,100.0,0,531.8
dynamic,0.1,5.0,last_90d,2.63,0.06,42.0,14.07,6,100.0,0,531.8
dynamic,0.15,1.5,full,9.9,0.21,48.3,34.46,96,80.3,207,136.6
dynamic,0.15,1.5,last_90d,-0.07,0.05,-1.3,-0.56,3,13.4,1870,136.6
dynamic,0.15,2.0,full,9.77,0.2,49.0,34.23,94,81.2,183,179.2
dynamic,0.15,2.0,last_90d,-0.07,0.05,-1.3,-0.56,3,13.4,1870,179.2
dynamic,0.15,3.0,full,10.34,0.13,77.1,36.09,83,83.4,280,272.2
dynamic,0.15,3.0,last_90d,-0.07,0.05,-1.3,-0.56,3,13.4,1870,272.2
dynamic,0.15,5.0,full,10.52,0.16,65.2,36.38,73,86.1,270,420.2
dynamic,0.15,5.0,last_90d,-0.07,0.05,-1.3,-0.56,3,13.4,1870,420.2
dynamic,0.2,1.5,full,9.66,0.18,53.6,33.6,96,75.9,364,108.2
dynamic,0.2,1.5,last_90d,-0.12,0.07,-1.9,-0.94,3,13.1,1876,108.2
dynamic,0.2,2.0,full,9.82,0.18,53.4,33.53,93,75.7,270,142.0
dynamic,0.2,2.0,last_90d,-0.12,0.07,-1.9,-0.94,3,13.1,1876,142.0
dynamic,0.2,3.0,full,9.92,0.22,45.2,33.68,92,79.7,218,213.5
dynamic,0.2,3.0,last_90d,-0.12,0.07,-1.9,-0.94,3,13.1,1876,213.5
dynamic,0.2,5.0,full,10.57,0.17,63.4,36.57,72,84.4,253,346.4
dynamic,0.2,5.0,last_90d,-0.12,0.07,-1.9,-0.94,3,13.1,1876,346.4
