entry,min_hold,annual,max_dd,calmar,sharpe,trades,time_in_market_pct,n_empty_windows,median_wait_hours
0.05,1,8.24,2.44,3.4,17.74,401,99.0,8,23
0.05,24,9.34,1.56,6.0,21.95,303,99.4,5,24
0.05,72,9.82,1.23,8.0,25.46,228,99.7,2,40
0.05,120,9.43,0.93,10.2,26.07,195,99.8,2,27
0.1,1,9.27,1.11,8.3,22.77,311,97.8,10,18
0.1,24,9.68,0.79,12.2,25.22,257,98.2,9,15
0.1,72,9.95,0.77,12.9,27.41,210,98.9,4,52
0.1,120,10.03,0.77,13.0,28.19,184,99.4,4,20
0.15,1,9.43,0.36,26.1,28.77,156,75.8,18,172
0.15,24,9.63,0.23,42.4,31.61,127,77.8,17,177
0.15,72,9.7,0.16,62.0,32.79,114,79.3,15,193
0.15,120,9.79,0.12,83.5,33.72,103,79.6,14,178
0.2,1,9.39,0.31,30.2,29.61,137,73.8,19,205
0.2,24,9.78,0.16,61.1,32.06,114,74.3,17,219
0.2,72,9.56,0.14,66.4,32.95,104,75.0,15,219
0.2,120,9.69,0.1,94.4,33.82,94,75.9,12,380
0.25,1,9.42,0.28,33.3,30.98,118,71.2,15,223
0.25,24,9.74,0.16,60.0,33.02,101,71.6,15,223
0.25,72,9.7,0.15,66.8,33.32,93,72.5,14,235
0.25,120,9.92,0.1,96.6,34.45,86,71.7,13,296
0.3,1,9.45,0.18,51.6,31.72,104,69.7,15,224
0.3,24,9.74,0.1,99.4,33.47,90,69.8,15,224
0.3,72,9.71,0.08,117.3,34.0,82,70.2,15,223
0.3,120,9.93,0.1,100.9,34.95,78,70.9,14,237
