exit_mode,exit_threshold,persistent_hours,max_hold_cap_h,max_hold_cap_days,period,annual,max_dd,calmar,sharpe,trades,exits_by_threshold,exits_by_cap,avg_hold_h,tim_pct
raw_-0.15,-0.15,,168,7,full,8.23,0.64,12.8,25.2,178,9,166,431.4,100.0
raw_-0.15,-0.15,,168,7,last_90d,1.82,0.07,26.4,8.27,9,9,166,431.4,100.0
raw_-0.15,-0.15,,336,14,full,9.24,0.49,19.0,28.75,149,19,127,515.0,100.0
raw_-0.15,-0.15,,336,14,last_90d,2.36,0.06,41.7,10.83,9,19,127,515.0,100.0
raw_-0.15,-0.15,,504,21,full,9.58,0.6,15.9,30.72,136,32,101,568.0,100.0
raw_-0.15,-0.15,,504,21,last_90d,2.03,0.06,34.1,8.78,9,32,101,568.0,100.0
raw_-0.15,-0.15,,720,30,full,9.25,0.58,16.0,31.04,127,42,82,606.7,100.0
raw_-0.15,-0.15,,720,30,last_90d,1.91,0.05,35.1,8.44,9,42,82,606.7,100.0
raw_-0.15,-0.15,,1440,60,full,10.66,0.76,14.1,34.63,94,78,13,807.0,100.0
raw_-0.15,-0.15,,1440,60,last_90d,2.76,0.06,43.9,16.05,6,78,13,807.0,100.0
raw_-0.15,-0.15,,2160,90,full,10.93,0.76,14.5,35.3,85,78,4,902.5,100.0
raw_-0.15,-0.15,,2160,90,last_90d,2.85,0.05,52.6,15.0,6,78,4,902.5,100.0
raw_-0.15,-0.15,,100000,inf,full,11.19,0.76,14.8,35.89,84,81,0,909.9,100.0
raw_-0.15,-0.15,,100000,inf,last_90d,2.79,0.05,51.2,14.33,6,81,0,909.9,100.0
symmetric_-0.30,-0.3,,168,7,full,8.67,0.64,13.5,26.62,174,2,169,440.8,100.0
symmetric_-0.30,-0.3,,168,7,last_90d,2.57,0.06,45.7,11.28,9,2,169,440.8,100.0
symmetric_-0.30,-0.3,,336,14,full,9.62,0.61,15.7,29.71,144,3,138,534.1,100.0
symmetric_-0.30,-0.3,,336,14,last_90d,2.31,0.05,43.3,9.97,9,3,138,534.1,100.0
symmetric_-0.30,-0.3,,504,21,full,9.26,0.5,18.5,30.4,125,7,115,613.8,100.0
symmetric_-0.30,-0.3,,504,21,last_90d,2.0,0.06,35.8,9.2,9,7,115,613.8,100.0
symmetric_-0.30,-0.3,,720,30,full,9.67,0.94,10.3,31.83,113,8,102,693.2,100.0
symmetric_-0.30,-0.3,,720,30,last_90d,1.81,0.08,23.9,8.09,9,8,102,693.2,100.0
symmetric_-0.30,-0.3,,1440,60,full,11.69,0.99,11.8,36.8,65,22,40,1203.8,100.0
symmetric_-0.30,-0.3,,1440,60,last_90d,2.07,0.06,35.0,11.42,4,22,40,1203.8,100.0
symmetric_-0.30,-0.3,,2160,90,full,14.0,0.58,24.0,41.44,46,18,25,1711.3,99.4
symmetric_-0.30,-0.3,,2160,90,last_90d,1.23,0.07,17.2,7.76,3,18,25,1711.3,100.0
symmetric_-0.30,-0.3,,100000,inf,full,13.72,0.58,23.5,45.74,24,21,0,2816.2,99.4
symmetric_-0.30,-0.3,,100000,inf,last_90d,3.22,0.04,74.7,35.76,0,21,0,2816.2,100.0
persistent_6h_-0.30,-0.3,6,168,7,full,8.57,0.64,13.3,26.37,174,1,170,441.8,100.0
persistent_6h_-0.30,-0.3,6,168,7,last_90d,1.95,0.08,24.7,8.63,9,1,170,441.8,100.0
persistent_6h_-0.30,-0.3,6,336,14,full,9.22,0.61,15.1,29.59,145,2,140,529.2,100.0
persistent_6h_-0.30,-0.3,6,336,14,last_90d,1.95,0.06,35.2,8.61,9,2,140,529.2,100.0
persistent_6h_-0.30,-0.3,6,504,21,full,9.19,0.5,18.3,30.12,124,4,117,618.6,100.0
persistent_6h_-0.30,-0.3,6,504,21,last_90d,1.85,0.07,26.2,8.41,9,4,117,618.6,100.0
persistent_6h_-0.30,-0.3,6,720,30,full,10.01,0.94,10.7,33.07,110,3,104,710.6,100.0
persistent_6h_-0.30,-0.3,6,720,30,last_90d,2.5,0.06,44.2,10.75,9,3,104,710.6,100.0
persistent_6h_-0.30,-0.3,6,1440,60,full,12.13,1.0,12.2,40.99,59,12,44,1326.5,100.0
persistent_6h_-0.30,-0.3,6,1440,60,last_90d,3.67,0.06,64.1,22.8,3,12,44,1326.5,100.0
persistent_6h_-0.30,-0.3,6,2160,90,full,14.06,0.6,23.4,40.25,44,12,29,1814.2,99.5
persistent_6h_-0.30,-0.3,6,2160,90,last_90d,2.25,0.06,38.9,14.07,3,12,29,1814.2,100.0
persistent_6h_-0.30,-0.3,6,100000,inf,full,21.11,0.6,35.1,58.83,15,12,0,3923.1,99.5
persistent_6h_-0.30,-0.3,6,100000,inf,last_90d,3.95,0.05,75.3,35.76,0,12,0,3923.1,100.0
