mode,exit_threshold,persistent_hours,period,annual,max_dd,calmar,sharpe,trades,avg_hold_h,tim_pct
baseline,-0.15,,full,11.19,0.76,14.8,35.89,84,909.9,100.0
baseline,-0.15,,last_90d,2.79,0.05,51.2,14.33,6,909.9,100.0
tolerance_-0.30,-0.3,,full,13.21,0.67,19.8,39.93,61,1256.3,100.0
tolerance_-0.30,-0.3,,last_90d,3.18,0.06,54.6,19.47,3,1256.3,100.0
tolerance_-0.50,-0.5,,full,13.1,0.66,19.9,40.18,38,1900.2,100.0
tolerance_-0.50,-0.5,,last_90d,2.25,0.04,57.3,27.29,0,1900.2,100.0
symmetric_-0.15,-0.15,,full,14.67,0.62,23.7,45.58,41,1893.0,100.0
symmetric_-0.15,-0.15,,last_90d,2.35,0.06,37.3,13.86,4,1893.0,100.0
symmetric_-0.30,-0.3,,full,13.72,0.58,23.5,45.74,24,2816.2,99.4
symmetric_-0.30,-0.3,,last_90d,3.22,0.04,74.7,35.76,0,2816.2,100.0
symmetric_-0.50,-0.5,,full,14.76,0.64,23.1,62.88,8,5080.0,100.0
symmetric_-0.50,-0.5,,last_90d,1.88,0.07,25.7,12.16,0,5080.0,100.0
persistent_3h_-0.15,-0.15,3,full,13.74,0.66,20.8,41.73,56,1370.9,100.0
persistent_3h_-0.15,-0.15,3,last_90d,2.72,0.06,41.9,15.25,4,1370.9,100.0
persistent_6h_-0.15,-0.15,6,full,16.67,0.65,25.7,51.35,27,2599.8,100.0
persistent_6h_-0.15,-0.15,6,last_90d,3.08,0.05,68.0,27.55,1,2599.8,100.0
persistent_12h_-0.15,-0.15,12,full,19.5,0.41,47.6,53.04,12,5894.3,99.5
persistent_12h_-0.15,-0.15,12,last_90d,3.01,0.04,74.6,35.54,0,5894.3,100.0
persistent_3h_-0.30,-0.3,3,full,14.25,0.56,25.4,45.15,30,2332.7,99.5
persistent_3h_-0.30,-0.3,3,last_90d,2.79,0.05,58.4,23.51,1,2332.7,100.0
persistent_6h_-0.30,-0.3,6,full,21.11,0.6,35.1,58.83,15,3923.1,99.5
persistent_6h_-0.30,-0.3,6,last_90d,3.95,0.05,75.3,35.76,0,3923.1,100.0
