mode,universe,safety_mult,cap_min_hold,natural_floor_pct,period,annual,max_dd,calmar,sharpe,trades,tim_pct,median_wait_h
dynamic_balanced,U7,3.0,720,15.0,full,10.34,0.13,77.1,36.09,83,83.4,280
dynamic_balanced,U7,3.0,720,15.0,last_90d,-0.07,0.05,-1.3,-0.56,3,13.4,1870
dynamic_aggressive,U7,5.0,720,8.0,full,11.19,0.76,14.8,35.89,84,100.0,0
dynamic_aggressive,U7,5.0,720,8.0,last_90d,2.79,0.05,51.2,14.33,6,100.0,0
dynamic_aggressive,U11,5.0,720,8.0,full,11.68,0.8,14.6,35.86,91,100.0,0
dynamic_aggressive,U11,5.0,720,8.0,last_90d,3.05,0.07,46.8,15.94,6,100.0,0
math_derived,U7,2.0,240,15.33,full,9.73,0.2,48.8,34.07,94,81.2,184
math_derived,U7,2.0,240,15.33,last_90d,-0.07,0.05,-1.4,-0.59,3,13.4,1870
math_derived,U11,2.0,240,15.33,full,10.46,0.21,49.0,36.07,96,83.9,169
math_derived,U11,2.0,240,15.33,last_90d,-0.07,0.05,-1.4,-0.59,3,13.4,1870
math_derived,U7,2.0,480,7.67,full,10.68,0.84,12.8,33.46,114,100.0,0
math_derived,U7,2.0,480,7.67,last_90d,2.48,0.08,32.0,11.28,9,100.0,0
math_derived,U11,2.0,480,7.67,full,11.18,0.7,16.0,32.3,126,100.0,0
math_derived,U11,2.0,480,7.67,last_90d,1.41,0.15,9.3,5.48,12,100.0,0
math_derived,U7,2.0,720,5.11,full,10.55,1.13,9.4,32.67,113,100.0,0
math_derived,U7,2.0,720,5.11,last_90d,1.93,0.08,25.1,8.61,9,100.0,0
math_derived,U11,2.0,720,5.11,full,11.33,1.16,9.8,32.27,125,100.0,0
math_derived,U11,2.0,720,5.11,last_90d,1.15,0.15,7.6,4.86,10,100.0,0
math_derived,U7,2.0,1080,3.41,full,10.52,1.27,8.3,32.7,110,100.0,0
math_derived,U7,2.0,1080,3.41,last_90d,2.4,0.08,28.3,10.0,9,100.0,0
math_derived,U11,2.0,1080,3.41,full,11.6,0.76,15.2,33.74,120,100.0,0
math_derived,U11,2.0,1080,3.41,last_90d,2.1,0.15,13.8,8.5,10,100.0,0
math_derived,U7,3.0,240,23.0,full,9.9,0.22,45.8,34.21,85,74.6,248
math_derived,U7,3.0,240,23.0,last_90d,-0.22,0.05,-4.1,-2.25,2,1.2,2133
math_derived,U11,3.0,240,23.0,full,10.33,0.23,44.0,35.17,91,76.0,225
math_derived,U11,3.0,240,23.0,last_90d,-0.22,0.05,-4.1,-2.25,2,1.2,2133
math_derived,U7,3.0,480,11.5,full,11.12,0.16,69.3,37.11,83,89.3,410
math_derived,U7,3.0,480,11.5,last_90d,0.61,0.05,11.4,4.86,3,33.8,1430
math_derived,U11,3.0,480,11.5,full,11.77,0.15,78.4,38.96,85,90.3,104
math_derived,U11,3.0,480,11.5,last_90d,0.61,0.05,11.4,4.86,3,33.8,1430
math_derived,U7,3.0,720,7.67,full,10.52,0.99,10.6,33.18,100,100.0,0
math_derived,U7,3.0,720,7.67,last_90d,2.22,0.07,33.6,10.17,8,100.0,0
math_derived,U11,3.0,720,7.67,full,11.54,0.9,12.8,33.81,104,100.0,0
math_derived,U11,3.0,720,7.67,last_90d,2.19,0.06,38.3,9.92,9,100.0,0
math_derived,U7,3.0,1080,5.11,full,10.79,0.98,11.0,34.18,96,100.0,0
math_derived,U7,3.0,1080,5.11,last_90d,2.79,0.07,42.2,13.13,7,100.0,0
math_derived,U11,3.0,1080,5.11,full,11.39,0.62,18.2,33.15,105,100.0,0
math_derived,U11,3.0,1080,5.11,last_90d,2.76,0.06,47.8,12.09,9,100.0,0
math_derived,U7,5.0,240,38.33,full,9.46,0.15,62.8,33.96,68,71.5,236
math_derived,U7,5.0,240,38.33,last_90d,0.0,0.0,0.0,0.0,0,0.0,2160
math_derived,U11,5.0,240,38.33,full,10.47,0.15,69.5,35.8,77,70.9,326
math_derived,U11,5.0,240,38.33,last_90d,0.0,0.0,0.0,0.0,0,0.0,2160
math_derived,U7,5.0,480,19.17,full,10.63,0.12,87.0,36.9,71,84.6,263
math_derived,U7,5.0,480,19.17,last_90d,-0.12,0.07,-1.9,-0.93,3,13.2,1875
math_derived,U11,5.0,480,19.17,full,10.4,0.23,45.4,40.95,74,85.7,263
math_derived,U11,5.0,480,19.17,last_90d,-0.12,0.07,-1.9,-0.93,3,13.2,1875
math_derived,U7,5.0,720,12.78,full,10.66,0.28,38.3,37.33,70,88.7,1456
math_derived,U7,5.0,720,12.78,last_90d,0.18,0.05,3.4,1.45,3,14.2,1854
math_derived,U11,5.0,720,12.78,full,11.12,0.32,35.2,37.97,77,90.4,1235
math_derived,U11,5.0,720,12.78,last_90d,0.18,0.05,3.4,1.45,3,14.2,1854
math_derived,U7,5.0,1080,8.52,full,11.14,0.98,11.4,36.69,77,100.0,0
math_derived,U7,5.0,1080,8.52,last_90d,2.68,0.06,47.6,14.87,5,100.0,0
math_derived,U11,5.0,1080,8.52,full,12.04,0.59,20.5,36.93,83,100.0,0
math_derived,U11,5.0,1080,8.52,last_90d,2.49,0.06,41.8,11.95,6,100.0,0
