exchange,coin,annual_%,trades,pct_in_pos,periods,years_data,interval_h,annual
Hyperliquid,BTC,5.57,17,46.6,25659.0,2.9,1.0,
Hyperliquid,ETH,5.25,16,35.9,25659.0,2.9,1.0,
Hyperliquid,SOL,6.4,22,36.3,25659.0,2.9,1.0,
Hyperliquid,AVAX,5.2,21,32.0,25659.0,2.9,1.0,
Hyperliquid,LINK,6.73,21,49.3,25659.0,2.9,1.0,
Hyperliquid,AAVE,7.26,13,50.0,24700.0,2.8,1.0,
Hyperliquid,DOGE,8.61,20,40.3,25659.0,2.9,1.0,
Binance,BTC,3.3,1,75.8,3232.0,3.0,8.0,
Binance,ETH,2.74,1,41.9,3232.0,3.0,8.0,
Binance,SOL,2.84,2,41.0,3232.0,3.0,8.0,
Binance,AVAX,2.5,2,28.7,3232.0,3.0,8.0,
Binance,LINK,2.5,2,30.6,3232.0,3.0,8.0,
Binance,AAVE,1.74,3,25.1,3232.0,3.0,8.0,
Binance,DOGE,2.4,3,28.6,3232.0,3.0,8.0,
Bybit,BTC,1.93,3,23.5,3232.0,3.0,8.0,
Bybit,ETH,2.48,3,40.0,3232.0,3.0,8.0,
Bybit,SOL,2.81,6,36.8,3232.0,3.0,8.0,
Bybit,AVAX,2.47,3,22.8,3232.0,3.0,8.0,
Bybit,LINK,2.09,2,18.8,3232.0,3.0,8.0,
Bybit,AAVE,2.48,3,30.0,3232.0,3.0,8.0,
Bybit,DOGE,3.68,2,53.9,3232.0,3.0,8.0,
Drift,BTC,13.36,16,73.9,13805.0,1.6,1.0,
Drift,ETH,9.36,22,64.0,13805.0,1.6,1.0,
Drift,SOL,10.0,25,60.7,13805.0,1.6,1.0,
Drift,AVAX,19.77,28,80.3,8725.0,1.0,1.0,
Drift,LINK,27.24,39,86.0,10334.0,1.2,1.0,
Drift,AAVE,,0,,,,,no data
Drift,DOGE,26.92,41,72.6,13729.0,1.6,1.0,
