coin,direction,entry_date,entry_px,exit_date,exit_px,return_pct,bars_held,pnl
BTC,long,2023-10-24,33922.73,2024-01-23,39897.6,17.613,91,0.17613175590525862
BTC,long,2024-02-13,49699.59,2024-05-02,59060.61,18.835,79,0.18835205682783318
BTC,long,2024-10-16,67620.01,2025-02-25,88680.4,31.145,132,0.3114520391227389
BTC,long,2025-05-02,96887.14,2025-06-06,104288.44,7.639,35,0.07639094311174843
BTC,long,2025-07-11,117527.66,2025-08-02,112546.35,-4.238,22,-0.04238415025024745
BTC,long,2025-08-14,118295.09,2025-08-26,111763.22,-5.522,12,-0.0552167465276876
BTC,long,2026-01-14,96951.78,2026-01-26,88347.08,-8.875,12,-0.08875236741398662
BTC,long,2026-04-18,75691.76,2026-05-23,76752.01,1.401,35,0.014007469241037684
ETH,long,2023-10-24,1784.98,2024-03-20,3516.53,97.007,148,0.9700668915057872
ETH,long,2024-05-22,3737.73,2024-06-12,3560.12,-4.752,21,-0.04751814604051131
ETH,long,2024-11-08,2961.75,2024-12-20,3472.21,17.235,42,0.17235080611125178
ETH,long,2025-05-09,2345.04,2025-06-22,2227.7,-5.004,44,-0.050037526012349565
ETH,long,2025-07-11,2958.22,2025-09-23,4164.26,40.769,74,0.4076911115468087
ETH,long,2026-04-18,2350.32,2026-05-17,2131.0,-9.331,29,-0.09331495285748324
SOL,long,2023-10-20,27.03,2024-01-23,84.35,212.061,95,2.1206067332593412
SOL,long,2024-02-29,125.68,2024-04-13,138.47,10.177,44,0.10176639083386373
SOL,long,2024-07-22,178.9,2024-08-05,129.78,-27.457,14,-0.2745667970933483
SOL,long,2024-10-21,166.17,2024-12-20,194.48,17.037,60,0.17036769573328514
SOL,long,2025-01-19,252.42,2025-02-19,168.93,-33.076,31,-0.33075826004278575
SOL,long,2025-05-09,172.78,2025-05-31,156.45,-9.451,22,-0.09451325384882514
SOL,long,2025-07-22,205.7,2025-09-26,205.17,-0.258,66,-0.0025765678172094963
SOL,long,2026-05-12,94.28,(open),79.79,-15.369,20,-0.15369113279592694
