coin,direction,entry_date,entry_px,exit_date,exit_px,return_pct,bars_held,pnl
BTC,short,2023-08-18,26054.0,2023-10-24,33922.73,-30.202,67,-0.3020161971290398
BTC,long,2023-11-02,34941.59,2024-01-23,39897.6,14.184,82,0.1418369913904891
BTC,long,2024-02-13,49699.59,2024-05-02,59060.61,18.835,79,0.18835205682783318
BTC,short,2024-06-15,66228.25,2024-10-16,67620.01,-2.101,123,-0.021014597245133215
BTC,long,2024-10-19,68378.0,2025-02-25,88680.4,29.691,129,0.296914212173506
BTC,short,2025-02-26,84250.09,2025-05-02,96887.14,-14.999,65,-0.14999449852219748
BTC,long,2025-05-09,102971.99,2025-06-06,104288.44,1.278,28,0.012784544612568949
BTC,long,2025-07-11,117527.66,2025-08-02,112546.35,-4.238,22,-0.04238415025024745
BTC,short,2025-08-03,114208.8,2025-08-14,118295.09,-3.578,11,-0.03577911684563695
BTC,short,2025-08-26,111763.22,2026-01-14,96951.78,13.253,141,0.13252517241360795
BTC,long,2026-01-15,95604.8,2026-01-26,88347.08,-7.591,11,-0.07591376165213459
BTC,short,2026-01-30,84260.49,2026-04-18,75691.76,10.169,78,0.10169333218926224
BTC,long,2026-05-05,80905.52,2026-05-23,76752.01,-5.134,18,-0.05133778263831701
BTC,short,2026-05-29,73460.78,(open),71606.0,2.525,3,0.025248574817746228
ETH,short,2023-08-18,1661.59,2023-10-24,1784.98,-7.426,67,-0.07426019655871796
ETH,long,2023-11-06,1900.95,2024-03-20,3516.53,84.988,135,0.8498803229963967
ETH,short,2024-04-14,3155.11,2024-05-22,3737.73,-18.466,38,-0.18465917194646142
ETH,short,2024-06-12,3560.12,2024-11-08,2961.75,16.808,149,0.1680757951979146
ETH,long,2024-11-09,3126.21,2024-12-20,3472.21,11.068,41,0.11067714580914266
ETH,short,2025-01-14,3225.63,2025-05-09,2345.04,27.3,115,0.2729978329814641
ETH,long,2025-05-10,2583.23,2025-06-22,2227.7,-13.763,43,-0.13763002132988555
ETH,long,2025-07-11,2958.22,2025-09-23,4164.26,40.769,74,0.4076911115468087
ETH,short,2025-09-26,4032.24,2026-04-18,2350.32,41.712,204,0.41711802868876846
ETH,short,2026-05-17,2131.0,(open),1970.3,7.541,15,0.0754106053496012
SOL,short,2023-08-04,22.8,2023-10-20,27.03,-18.553,77,-0.18552631578947376
SOL,long,2023-10-21,29.32,2024-01-23,84.35,187.688,94,1.8768758526602998
SOL,long,2024-02-29,125.68,2024-04-13,138.47,10.177,44,0.10176639083386373
SOL,short,2024-04-14,151.25,2024-07-22,178.9,-18.281,99,-0.1828099173553719
SOL,short,2024-08-05,129.78,2024-10-21,166.17,-28.04,77,-0.2803975959315763
SOL,long,2024-10-25,164.9,2024-12-20,194.48,17.938,56,0.17938144329896885
SOL,long,2025-01-19,252.42,2025-02-19,168.93,-33.076,31,-0.33075826004278575
SOL,short,2025-02-25,144.33,2025-05-09,172.78,-19.712,73,-0.19711771634448816
SOL,long,2025-05-10,177.89,2025-05-31,156.45,-12.052,21,-0.12052391927595707
SOL,short,2025-06-06,147.83,2025-07-22,205.7,-39.146,46,-0.39146316715145746
SOL,long,2025-07-23,189.4,2025-09-26,205.17,8.326,65,0.08326293558606125
SOL,short,2025-10-11,177.62,2026-05-12,94.28,46.92,213,0.469203918477649
