time,coin,position_delta,new_position
2023-06-05 02:00:00+00:00,BTC,1.0,1.0
2023-06-06 15:00:00+00:00,BTC,-1.0,0.0
2023-06-10 04:00:00+00:00,BTC,1.0,1.0
2023-06-11 11:00:00+00:00,BTC,-1.0,0.0
2023-06-13 02:00:00+00:00,BTC,-1.0,-1.0
2023-06-13 14:00:00+00:00,BTC,1.0,0.0
2023-06-14 20:00:00+00:00,BTC,1.0,1.0
2023-06-15 18:00:00+00:00,BTC,-1.0,0.0
2023-06-16 17:00:00+00:00,BTC,-1.0,-1.0
2023-06-18 08:00:00+00:00,BTC,1.0,0.0
2023-06-19 17:00:00+00:00,BTC,-1.0,-1.0
2023-06-19 18:00:00+00:00,BTC,1.0,0.0
2023-06-19 19:00:00+00:00,BTC,-1.0,-1.0
2023-06-22 14:00:00+00:00,BTC,1.0,0.0
2023-06-23 15:00:00+00:00,BTC,-1.0,-1.0
2023-06-24 15:00:00+00:00,BTC,1.0,0.0
2023-06-25 20:00:00+00:00,BTC,1.0,1.0
2023-06-26 06:00:00+00:00,BTC,-1.0,0.0
2023-06-26 16:00:00+00:00,BTC,1.0,1.0
2023-06-27 00:00:00+00:00,BTC,-1.0,0.0
2023-06-27 11:00:00+00:00,BTC,-1.0,-1.0
2023-06-28 01:00:00+00:00,BTC,1.0,0.0
2023-06-30 03:00:00+00:00,BTC,-1.0,-1.0
2023-06-30 16:00:00+00:00,BTC,1.0,0.0
2023-07-02 22:00:00+00:00,BTC,-1.0,-1.0
2023-07-04 07:00:00+00:00,BTC,1.0,0.0
2023-07-05 10:00:00+00:00,BTC,1.0,1.0
2023-07-06 05:00:00+00:00,BTC,-1.0,0.0
2023-07-06 08:00:00+00:00,BTC,-1.0,-1.0
2023-07-06 12:00:00+00:00,BTC,1.0,0.0
2023-07-06 23:00:00+00:00,BTC,1.0,1.0
2023-07-07 13:00:00+00:00,BTC,-1.0,0.0
2023-07-10 00:00:00+00:00,BTC,1.0,1.0
2023-07-10 10:00:00+00:00,BTC,-1.0,0.0
2023-07-10 18:00:00+00:00,BTC,-1.0,-1.0
2023-07-10 21:00:00+00:00,BTC,1.0,0.0
2023-07-12 19:00:00+00:00,BTC,1.0,1.0
2023-07-13 09:00:00+00:00,BTC,-1.0,0.0
2023-07-13 15:00:00+00:00,BTC,-1.0,-1.0
2023-07-14 17:00:00+00:00,BTC,1.0,0.0
2023-07-17 09:00:00+00:00,BTC,1.0,1.0
2023-07-17 13:00:00+00:00,BTC,-1.0,0.0
2023-07-17 16:00:00+00:00,BTC,1.0,1.0
2023-07-17 21:00:00+00:00,BTC,-1.0,0.0
2023-07-18 11:00:00+00:00,BTC,1.0,1.0
2023-07-19 00:00:00+00:00,BTC,-1.0,0.0
2023-07-20 07:00:00+00:00,BTC,-1.0,-1.0
2023-07-21 02:00:00+00:00,BTC,1.0,0.0
2023-07-23 17:00:00+00:00,BTC,-1.0,-1.0
2023-07-24 01:00:00+00:00,BTC,1.0,0.0
2023-07-24 09:00:00+00:00,BTC,1.0,1.0
2023-07-25 13:00:00+00:00,BTC,-1.0,0.0
2023-07-26 13:00:00+00:00,BTC,-1.0,-1.0
2023-07-27 14:00:00+00:00,BTC,1.0,0.0
2023-07-30 14:00:00+00:00,BTC,-1.0,-1.0
2023-07-31 13:00:00+00:00,BTC,1.0,0.0
2023-07-31 19:00:00+00:00,BTC,1.0,1.0
2023-08-01 00:00:00+00:00,BTC,-1.0,0.0
2023-08-01 02:00:00+00:00,BTC,1.0,1.0
2023-08-01 18:00:00+00:00,BTC,-1.0,0.0
2023-08-01 23:00:00+00:00,BTC,-1.0,-1.0
2023-08-02 14:00:00+00:00,BTC,1.0,0.0
2023-08-04 18:00:00+00:00,BTC,1.0,1.0
2023-08-05 22:00:00+00:00,BTC,-1.0,0.0
2023-08-06 20:00:00+00:00,BTC,-1.0,-1.0
2023-08-07 00:00:00+00:00,BTC,1.0,0.0
2023-08-07 01:00:00+00:00,BTC,-1.0,-1.0
2023-08-07 07:00:00+00:00,BTC,1.0,0.0
2023-08-07 15:00:00+00:00,BTC,1.0,1.0
2023-08-07 18:00:00+00:00,BTC,-1.0,0.0
2023-08-08 00:00:00+00:00,BTC,-1.0,-1.0
2023-08-09 16:00:00+00:00,BTC,1.0,0.0
2023-08-13 16:00:00+00:00,BTC,1.0,1.0
2023-08-13 18:00:00+00:00,BTC,-1.0,0.0
2023-08-13 22:00:00+00:00,BTC,1.0,1.0
2023-08-14 03:00:00+00:00,BTC,-1.0,0.0
2023-08-14 14:00:00+00:00,BTC,-1.0,-1.0
2023-08-14 20:00:00+00:00,BTC,1.0,0.0
2023-08-15 19:00:00+00:00,BTC,1.0,1.0
2023-08-19 15:00:00+00:00,BTC,-1.0,0.0
2023-08-21 15:00:00+00:00,BTC,1.0,1.0
2023-08-21 19:00:00+00:00,BTC,-1.0,0.0
2023-08-22 15:00:00+00:00,BTC,1.0,1.0
2023-08-22 23:00:00+00:00,BTC,-1.0,0.0
2023-08-23 16:00:00+00:00,BTC,-1.0,-1.0
2023-08-24 14:00:00+00:00,BTC,1.0,0.0
2023-08-25 14:00:00+00:00,BTC,1.0,1.0
2023-08-26 02:00:00+00:00,BTC,-1.0,0.0
2023-08-27 14:00:00+00:00,BTC,-1.0,-1.0
2023-08-27 17:00:00+00:00,BTC,1.0,0.0
2023-08-28 05:00:00+00:00,BTC,1.0,1.0
2023-08-28 22:00:00+00:00,BTC,-1.0,0.0
2023-08-29 14:00:00+00:00,BTC,-1.0,-1.0
2023-08-30 14:00:00+00:00,BTC,1.0,0.0
2023-08-31 16:00:00+00:00,BTC,1.0,1.0
2023-09-02 13:00:00+00:00,BTC,-1.0,0.0
2023-09-03 19:00:00+00:00,BTC,-1.0,-1.0
2023-09-04 10:00:00+00:00,BTC,1.0,0.0
2023-09-04 21:00:00+00:00,BTC,1.0,1.0
2023-09-05 12:00:00+00:00,BTC,-1.0,0.0
2023-09-06 14:00:00+00:00,BTC,1.0,1.0
2023-09-06 21:00:00+00:00,BTC,-1.0,0.0
2023-09-07 17:00:00+00:00,BTC,-1.0,-1.0
2023-09-08 10:00:00+00:00,BTC,1.0,0.0
2023-09-10 10:00:00+00:00,BTC,1.0,1.0
2023-09-10 22:00:00+00:00,BTC,-1.0,0.0
2023-09-11 00:00:00+00:00,BTC,1.0,1.0
2023-09-11 06:00:00+00:00,BTC,-1.0,0.0
2023-09-11 11:00:00+00:00,BTC,1.0,1.0
2023-09-12 23:00:00+00:00,BTC,-1.0,0.0
2023-09-14 00:00:00+00:00,BTC,-1.0,-1.0
2023-09-15 11:00:00+00:00,BTC,1.0,0.0
2023-09-18 02:00:00+00:00,BTC,-1.0,-1.0
2023-09-18 17:00:00+00:00,BTC,1.0,0.0
2023-09-19 09:00:00+00:00,BTC,-1.0,-1.0
2023-09-20 03:00:00+00:00,BTC,1.0,0.0
2023-09-21 08:00:00+00:00,BTC,1.0,1.0
2023-09-22 14:00:00+00:00,BTC,-1.0,0.0
2023-09-24 17:00:00+00:00,BTC,-1.0,-1.0
2023-09-25 16:00:00+00:00,BTC,1.0,0.0
