date,longs,shorts
2023-11-05 00:00:00+00:00,"['BTC', 'DOGE', 'TIA']","['ARB', 'UNI', 'INJ']"
2023-11-06 00:00:00+00:00,"['BTC', 'DOGE', 'TIA']","['ARB', 'UNI', 'INJ']"
2023-11-07 00:00:00+00:00,"['BTC', 'DOGE', 'TIA']","['ARB', 'UNI', 'INJ']"
2023-11-08 00:00:00+00:00,"['BTC', 'DOGE', 'TIA']","['ARB', 'UNI', 'INJ']"
2023-11-09 00:00:00+00:00,"['BTC', 'DOGE', 'TIA']","['ARB', 'UNI', 'INJ']"
2023-11-10 00:00:00+00:00,"['BTC', 'DOGE', 'TIA']","['ARB', 'UNI', 'INJ']"
2023-11-11 00:00:00+00:00,"['BTC', 'DOGE', 'TIA']","['ARB', 'UNI', 'INJ']"
2023-11-12 00:00:00+00:00,"['BTC', 'AAVE', 'INJ']","['SOL', 'AVAX', 'TIA']"
2023-11-13 00:00:00+00:00,"['BTC', 'AAVE', 'INJ']","['SOL', 'AVAX', 'TIA']"
2023-11-14 00:00:00+00:00,"['BTC', 'AAVE', 'INJ']","['SOL', 'AVAX', 'TIA']"
2023-11-15 00:00:00+00:00,"['BTC', 'AAVE', 'INJ']","['SOL', 'AVAX', 'TIA']"
2023-11-16 00:00:00+00:00,"['BTC', 'AAVE', 'INJ']","['SOL', 'AVAX', 'TIA']"
2023-11-17 00:00:00+00:00,"['BTC', 'AAVE', 'INJ']","['SOL', 'AVAX', 'TIA']"
2023-11-18 00:00:00+00:00,"['BTC', 'AAVE', 'INJ']","['SOL', 'AVAX', 'TIA']"
2023-11-19 00:00:00+00:00,"['AAVE', 'ARB', 'OP']","['AVAX', 'DOGE', 'TIA']"
2023-11-20 00:00:00+00:00,"['AAVE', 'ARB', 'OP']","['AVAX', 'DOGE', 'TIA']"
2023-11-21 00:00:00+00:00,"['AAVE', 'ARB', 'OP']","['AVAX', 'DOGE', 'TIA']"
2023-11-22 00:00:00+00:00,"['AAVE', 'ARB', 'OP']","['AVAX', 'DOGE', 'TIA']"
2023-11-23 00:00:00+00:00,"['AAVE', 'ARB', 'OP']","['AVAX', 'DOGE', 'TIA']"
2023-11-24 00:00:00+00:00,"['AAVE', 'ARB', 'OP']","['AVAX', 'DOGE', 'TIA']"
2023-11-25 00:00:00+00:00,"['AAVE', 'ARB', 'OP']","['AVAX', 'DOGE', 'TIA']"
2023-11-26 00:00:00+00:00,"['BTC', 'ETH', 'TIA']","['AAVE', 'UNI', 'INJ']"
2023-11-27 00:00:00+00:00,"['BTC', 'ETH', 'TIA']","['AAVE', 'UNI', 'INJ']"
2023-11-28 00:00:00+00:00,"['BTC', 'ETH', 'TIA']","['AAVE', 'UNI', 'INJ']"
2023-11-29 00:00:00+00:00,"['BTC', 'ETH', 'TIA']","['AAVE', 'UNI', 'INJ']"
2023-11-30 00:00:00+00:00,"['BTC', 'ETH', 'TIA']","['AAVE', 'UNI', 'INJ']"
2023-12-01 00:00:00+00:00,"['BTC', 'ETH', 'TIA']","['AAVE', 'UNI', 'INJ']"
2023-12-02 00:00:00+00:00,"['BTC', 'ETH', 'TIA']","['AAVE', 'UNI', 'INJ']"
2023-12-03 00:00:00+00:00,"['OP', 'UNI', 'INJ']","['SOL', 'LINK', 'TIA']"
2023-12-04 00:00:00+00:00,"['OP', 'UNI', 'INJ']","['SOL', 'LINK', 'TIA']"
