coin,type,date,signal
BTC,entry,2023-12-17,SMA50/200
ETH,entry,2023-12-17,SMA50/200
SOL,entry,2023-12-17,SMA50/200
ETH,exit,2024-08-08,SMA50/200
BTC,exit,2024-08-10,SMA50/200
SOL,exit,2024-09-06,SMA50/200
BTC,entry,2024-10-28,SMA50/200
SOL,entry,2024-10-29,SMA50/200
ETH,entry,2024-12-05,SMA50/200
ETH,exit,2025-03-01,SMA50/200
SOL,exit,2025-03-13,SMA50/200
BTC,exit,2025-04-07,SMA50/200
BTC,entry,2025-05-22,SMA50/200
ETH,entry,2025-07-01,SMA50/200
SOL,entry,2025-08-05,SMA50/200
BTC,exit,2025-11-16,SMA50/200
SOL,exit,2025-11-22,SMA50/200
ETH,exit,2025-11-30,SMA50/200
