entry_date,exit_date,iv,rv_fwd,vrp_raw,cost,pnl_raw,pnl
2021-07-20,2021-08-19,0.914900,0.645045,0.269855,0.020000,0.249855,0.062742
2021-08-19,2021-09-18,0.945000,0.642498,0.302502,0.020000,0.282502,0.070940
2021-09-18,2021-10-18,0.847000,0.792159,0.054841,0.020000,0.034841,0.008749
2021-10-18,2021-11-17,0.924000,0.557151,0.366849,0.020000,0.346849,0.087099
2021-11-17,2021-12-17,0.898800,0.690780,0.208020,0.020000,0.188020,0.047214
2021-12-17,2022-01-16,0.853400,0.463541,0.389859,0.020000,0.369859,0.092877
2022-01-16,2022-02-15,0.622200,0.677323,-0.055123,0.020000,-0.075123,-0.018864
2022-02-15,2022-03-17,0.705900,0.854012,-0.148112,0.020000,-0.168112,-0.042215
2022-03-17,2022-04-16,0.751800,0.476700,0.275100,0.020000,0.255100,0.064059
2022-04-16,2022-05-16,0.610500,0.724495,-0.113995,0.020000,-0.133995,-0.033648
2022-05-16,2022-06-15,0.963700,0.866364,0.097336,0.020000,0.077336,0.019420
2022-06-15,2022-07-15,0.891500,0.711561,0.179939,0.020000,0.159939,0.040163
2022-07-15,2022-08-14,0.787000,0.544053,0.242947,0.020000,0.222947,0.055985
2022-08-14,2022-09-13,0.708900,0.728580,-0.019680,0.020000,-0.039680,-0.009964
2022-09-13,2022-10-13,0.810700,0.367711,0.442989,0.020000,0.422989,0.106218
2022-10-13,2022-11-12,0.661100,0.822304,-0.161204,0.020000,-0.181204,-0.045503
2023-06-20,2023-07-20,0.527100,0.333683,0.193417,0.020000,0.173417,0.043547
2023-07-20,2023-08-19,0.416200,0.316378,0.099822,0.020000,0.079822,0.020044
2023-08-19,2023-09-18,0.430100,0.342644,0.087456,0.020000,0.067456,0.016939
2023-09-18,2023-10-18,0.414800,0.296668,0.118132,0.020000,0.098132,0.024642
2023-10-18,2023-11-17,0.392400,0.495756,-0.103356,0.020000,-0.123356,-0.030976
2023-11-17,2023-12-17,0.554000,0.463583,0.090417,0.020000,0.070417,0.017683
2023-12-17,2024-01-16,0.546000,0.524561,0.021439,0.020000,0.001439,0.000361
2024-01-16,2024-02-15,0.551600,0.396239,0.155361,0.020000,0.135361,0.033991
2024-02-15,2024-03-16,0.550800,0.652104,-0.101304,0.020000,-0.121304,-0.030461
2024-03-16,2024-04-15,0.757300,0.719862,0.037438,0.020000,0.017438,0.004379
2024-04-15,2024-05-15,0.704800,0.544702,0.160098,0.020000,0.140098,0.035180
2024-05-15,2024-06-14,0.586100,0.387785,0.198315,0.020000,0.178315,0.044777
2024-06-14,2024-07-14,0.485600,0.422779,0.062821,0.020000,0.042821,0.010753
2024-07-14,2024-08-13,0.493000,0.690366,-0.197366,0.020000,-0.217366,-0.054583
2024-08-13,2024-09-12,0.569200,0.484419,0.084781,0.020000,0.064781,0.016267
2024-09-12,2024-10-12,0.539600,0.382145,0.157455,0.020000,0.137455,0.034517
2025-01-23,2025-02-22,0.600800,0.314465,0.286335,0.020000,0.266335,0.066880
2025-02-22,2025-03-24,0.486000,0.723985,-0.237985,0.020000,-0.257985,-0.064784
2025-03-24,2025-04-23,0.473200,0.567391,-0.094191,0.020000,-0.114191,-0.028675
2025-04-23,2025-05-23,0.494200,0.347257,0.146943,0.020000,0.126943,0.031877
2025-05-23,2025-06-22,0.476800,0.286316,0.190484,0.020000,0.170484,0.042811
2025-06-22,2025-07-22,0.417500,0.285831,0.131669,0.020000,0.111669,0.028042
2025-07-22,2025-08-21,0.398800,0.289970,0.108830,0.020000,0.088830,0.022306
2025-08-21,2025-09-20,0.372500,0.283256,0.089244,0.020000,0.069244,0.017388
2025-09-20,2025-10-20,0.344800,0.444727,-0.099927,0.020000,-0.119927,-0.030115
2025-10-20,2025-11-19,0.459500,0.408766,0.050734,0.020000,0.030734,0.007718
2025-11-19,2025-12-19,0.510400,0.457853,0.052547,0.020000,0.032547,0.008173
2025-12-19,2026-01-18,0.450600,0.255580,0.195020,0.020000,0.175020,0.043950
2026-01-18,2026-02-17,0.402300,0.813408,-0.411108,0.020000,-0.431108,-0.108257
2026-02-17,2026-03-19,0.520100,0.516857,0.003243,0.020000,-0.016757,-0.004208
2026-03-19,2026-04-18,0.542700,0.423620,0.119080,0.020000,0.099080,0.024880
