time,dvol
2021-07-20 00:00:00+00:00,91.49
2021-07-21 00:00:00+00:00,87.86
2021-07-22 00:00:00+00:00,84.64
2021-07-23 00:00:00+00:00,81.75
2021-07-24 00:00:00+00:00,81.31
2021-07-25 00:00:00+00:00,83.9
2021-07-26 00:00:00+00:00,87.68
2021-07-27 00:00:00+00:00,91.84
2021-07-28 00:00:00+00:00,95.68
2021-07-29 00:00:00+00:00,93.24
2021-07-30 00:00:00+00:00,93.49
2021-07-31 00:00:00+00:00,89.55
2021-08-01 00:00:00+00:00,89.3
2021-08-02 00:00:00+00:00,88.52
2021-08-03 00:00:00+00:00,89.04
2021-08-04 00:00:00+00:00,91.94
2021-08-05 00:00:00+00:00,96.09
2021-08-06 00:00:00+00:00,93.62
2021-08-07 00:00:00+00:00,97.27
2021-08-08 00:00:00+00:00,95.99
2021-08-09 00:00:00+00:00,106.97
2021-08-10 00:00:00+00:00,103.35
2021-08-11 00:00:00+00:00,100.53
2021-08-12 00:00:00+00:00,98.06
2021-08-13 00:00:00+00:00,100.3
2021-08-14 00:00:00+00:00,97.48
2021-08-15 00:00:00+00:00,98.69
2021-08-16 00:00:00+00:00,98.3
2021-08-17 00:00:00+00:00,96.68
2021-08-18 00:00:00+00:00,95.81
2021-08-19 00:00:00+00:00,94.5
2021-08-20 00:00:00+00:00,93.06
2021-08-21 00:00:00+00:00,92.71
2021-08-22 00:00:00+00:00,94.83
2021-08-23 00:00:00+00:00,93.64
2021-08-24 00:00:00+00:00,92.85
2021-08-25 00:00:00+00:00,93.62
2021-08-26 00:00:00+00:00,93.87
2021-08-27 00:00:00+00:00,90.92
2021-08-28 00:00:00+00:00,90.11
2021-08-29 00:00:00+00:00,90.6
2021-08-30 00:00:00+00:00,92.08
2021-08-31 00:00:00+00:00,91.08
2021-09-01 00:00:00+00:00,93.65
2021-09-02 00:00:00+00:00,92.82
2021-09-03 00:00:00+00:00,90.15
2021-09-04 00:00:00+00:00,91.3
2021-09-05 00:00:00+00:00,93.37
2021-09-06 00:00:00+00:00,92.86
2021-09-07 00:00:00+00:00,95.16
2021-09-08 00:00:00+00:00,92.31
2021-09-09 00:00:00+00:00,91.95
2021-09-10 00:00:00+00:00,90.57
2021-09-11 00:00:00+00:00,89.46
2021-09-12 00:00:00+00:00,92.13
2021-09-13 00:00:00+00:00,92.14
2021-09-14 00:00:00+00:00,90.9
2021-09-15 00:00:00+00:00,90.32
2021-09-16 00:00:00+00:00,84.17
2021-09-17 00:00:00+00:00,82.35
2021-09-18 00:00:00+00:00,84.7
2021-09-19 00:00:00+00:00,85.72
2021-09-20 00:00:00+00:00,91.76
2021-09-21 00:00:00+00:00,96.26
2021-09-22 00:00:00+00:00,88.73
2021-09-23 00:00:00+00:00,83.84
2021-09-24 00:00:00+00:00,86.92
2021-09-25 00:00:00+00:00,85.88
2021-09-26 00:00:00+00:00,89.12
2021-09-27 00:00:00+00:00,89.25
2021-09-28 00:00:00+00:00,92.27
2021-09-29 00:00:00+00:00,91.77
2021-09-30 00:00:00+00:00,90.97
2021-10-01 00:00:00+00:00,85.84
2021-10-02 00:00:00+00:00,83.97
2021-10-03 00:00:00+00:00,85.56
2021-10-04 00:00:00+00:00,89.62
2021-10-05 00:00:00+00:00,92.68
2021-10-06 00:00:00+00:00,89.38
2021-10-07 00:00:00+00:00,88.13
2021-10-08 00:00:00+00:00,88.19
2021-10-09 00:00:00+00:00,87.42
2021-10-10 00:00:00+00:00,89.23
2021-10-11 00:00:00+00:00,90.49
2021-10-12 00:00:00+00:00,93.37
2021-10-13 00:00:00+00:00,95.0
2021-10-14 00:00:00+00:00,97.87
2021-10-15 00:00:00+00:00,90.71
2021-10-16 00:00:00+00:00,86.8
2021-10-17 00:00:00+00:00,89.66
2021-10-18 00:00:00+00:00,92.4
2021-10-19 00:00:00+00:00,94.15
2021-10-20 00:00:00+00:00,93.04
2021-10-21 00:00:00+00:00,92.52
2021-10-22 00:00:00+00:00,86.73
2021-10-23 00:00:00+00:00,86.31
2021-10-24 00:00:00+00:00,89.88
2021-10-25 00:00:00+00:00,84.45
2021-10-26 00:00:00+00:00,89.01
2021-10-27 00:00:00+00:00,88.45
2021-10-28 00:00:00+00:00,89.87
2021-10-29 00:00:00+00:00,87.58
2021-10-30 00:00:00+00:00,87.17
2021-10-31 00:00:00+00:00,87.64
2021-11-01 00:00:00+00:00,85.45
2021-11-02 00:00:00+00:00,87.23
2021-11-03 00:00:00+00:00,85.84
2021-11-04 00:00:00+00:00,84.73
2021-11-05 00:00:00+00:00,85.71
2021-11-06 00:00:00+00:00,87.07
2021-11-07 00:00:00+00:00,86.59
2021-11-08 00:00:00+00:00,86.69
2021-11-09 00:00:00+00:00,84.68
2021-11-10 00:00:00+00:00,86.36
2021-11-11 00:00:00+00:00,85.23
2021-11-12 00:00:00+00:00,88.44
2021-11-13 00:00:00+00:00,87.74
2021-11-14 00:00:00+00:00,87.22
2021-11-15 00:00:00+00:00,85.04
2021-11-16 00:00:00+00:00,87.28
2021-11-17 00:00:00+00:00,89.88
