time,dvol
2021-07-20 00:00:00+00:00,108.45
2021-07-21 00:00:00+00:00,108.34
2021-07-22 00:00:00+00:00,105.24
2021-07-23 00:00:00+00:00,101.97
2021-07-24 00:00:00+00:00,102.41
2021-07-25 00:00:00+00:00,103.05
2021-07-26 00:00:00+00:00,105.35
2021-07-27 00:00:00+00:00,108.34
2021-07-28 00:00:00+00:00,107.3
2021-07-29 00:00:00+00:00,106.81
2021-07-30 00:00:00+00:00,103.84
2021-07-31 00:00:00+00:00,102.22
2021-08-01 00:00:00+00:00,103.95
2021-08-02 00:00:00+00:00,102.98
2021-08-03 00:00:00+00:00,105.79
2021-08-04 00:00:00+00:00,109.75
2021-08-05 00:00:00+00:00,114.91
2021-08-06 00:00:00+00:00,111.07
2021-08-07 00:00:00+00:00,118.74
2021-08-08 00:00:00+00:00,115.71
2021-08-09 00:00:00+00:00,127.77
2021-08-10 00:00:00+00:00,121.58
2021-08-11 00:00:00+00:00,120.03
2021-08-12 00:00:00+00:00,115.36
2021-08-13 00:00:00+00:00,117.07
2021-08-14 00:00:00+00:00,112.41
2021-08-15 00:00:00+00:00,111.83
2021-08-16 00:00:00+00:00,111.98
2021-08-17 00:00:00+00:00,113.03
2021-08-18 00:00:00+00:00,112.93
2021-08-19 00:00:00+00:00,112.14
2021-08-20 00:00:00+00:00,110.2
2021-08-21 00:00:00+00:00,108.21
2021-08-22 00:00:00+00:00,107.13
2021-08-23 00:00:00+00:00,107.08
2021-08-24 00:00:00+00:00,106.13
2021-08-25 00:00:00+00:00,103.62
2021-08-26 00:00:00+00:00,102.92
2021-08-27 00:00:00+00:00,102.06
2021-08-28 00:00:00+00:00,98.27
2021-08-29 00:00:00+00:00,99.54
2021-08-30 00:00:00+00:00,103.79
2021-08-31 00:00:00+00:00,104.64
2021-09-01 00:00:00+00:00,113.63
2021-09-02 00:00:00+00:00,110.75
2021-09-03 00:00:00+00:00,106.48
2021-09-04 00:00:00+00:00,107.6
2021-09-05 00:00:00+00:00,109.21
2021-09-06 00:00:00+00:00,107.56
2021-09-07 00:00:00+00:00,110.41
2021-09-08 00:00:00+00:00,107.7
