config,period,annual_pct,calmar,max_dd_pct,funding_minus_fees_annual_pct,aave_income_annual_pct,gross_funding_annual_pct,fees_annual_pct,fees_ratio,n_ramps,n_rotations,pct_time_in_usdc,tick_hours,slice_pct,entry_ma_apr,entry_min_24h_apr,rotation_delta_apr,exit_signal_threshold_apr,aave_apr,peak_capital
aave_only,full,5.0,inf,0.0,0.0,5.0,0.0,0.0,,0,0,1.0,,,,,,,0.05,4000.0
aave_only,last_90d,5.0,inf,0.0,0.0,5.0,0.0,0.0,,0,0,1.0,,,,,,,0.05,4000.0
v01_default,full,8.91,10.08,0.88,7.05,1.65,8.04,0.99,0.1234,53,49,0.0022,24.0,0.1,0.12,0.1,0.1,0.1,0.05,4400.0
v01_default,last_90d,0.72,19.03,0.04,-0.4,1.36,-0.25,0.15,,53,49,0.0022,24.0,0.1,0.12,0.1,0.1,0.1,0.05,4400.0
v01_quick_exit,full,8.91,10.09,0.88,7.04,1.65,8.03,0.99,0.1235,53,49,0.0022,24.0,0.1,0.12,0.1,0.1,0.12,0.05,4400.0
v01_quick_exit,last_90d,0.72,19.03,0.04,-0.4,1.36,-0.25,0.15,,53,49,0.0022,24.0,0.1,0.12,0.1,0.1,0.12,0.05,4400.0
v01_tight,full,9.23,7.15,1.29,6.5,2.29,7.26,0.76,0.1049,41,36,0.0022,24.0,0.1,0.15,0.12,0.1,0.12,0.05,4400.0
v01_tight,last_90d,4.54,513.36,0.01,0.21,4.09,0.25,0.04,0.1577,41,36,0.0022,24.0,0.1,0.15,0.12,0.1,0.12,0.05,4400.0
v01_loose,full,8.48,4.86,1.75,7.53,0.99,9.72,2.2,0.226,117,110,0.0022,24.0,0.1,0.08,0.06,0.05,0.06,0.05,4400.0
v01_loose,last_90d,2.79,31.88,0.09,0.43,2.59,1.57,1.14,0.7269,117,110,0.0022,24.0,0.1,0.08,0.06,0.05,0.06,0.05,4400.0
v01_fast_tick,full,7.41,13.72,0.54,5.19,2.11,9.14,3.95,0.432,210,200,0.0017,6.0,0.1,0.12,0.1,0.1,0.1,0.05,4400.0
v01_fast_tick,last_90d,4.2,130.56,0.03,0.59,2.93,0.77,0.18,0.2374,210,200,0.0017,6.0,0.1,0.12,0.1,0.1,0.1,0.05,4400.0
