config,period,annual_pct,calmar,max_dd_pct,funding_minus_fees_annual_pct,aave_income_annual_pct,gross_funding_annual_pct,fees_annual_pct,fees_ratio,n_ramps,n_rotations,n_frozen_unwinds,pct_time_in_usdc,tick_hours,slice_pct,entry_ma_apr,entry_min_24h_apr,rotation_delta_apr,exit_signal_threshold_apr,aave_apr,unwind_enabled,peak_capital
aave_only,full,5.0,inf,0.0,0.0,5.0,0.0,0.0,,0,0,0,1.0,,,,,,,0.05,,4000.0
aave_only,last_90d,5.0,inf,0.0,0.0,5.0,0.0,0.0,,0,0,0,1.0,,,,,,,0.05,,4000.0
v02_default,full,8.76,6.84,1.28,4.8,3.93,5.75,0.95,0.1644,117,18,99,0.3146,24.0,0.1,0.15,0.12,0.1,0.12,0.05,True,4400.0
v02_default,last_90d,5.0,0.0,0.0,0.0,5.0,0.0,0.0,,117,18,99,1.0,24.0,0.1,0.15,0.12,0.1,0.12,0.05,True,4400.0
v02_no_unwind,full,9.23,7.15,1.29,6.5,2.29,7.26,0.76,0.1049,41,36,0,0.0022,24.0,0.1,0.15,0.12,0.1,0.12,0.05,False,4400.0
v02_no_unwind,last_90d,4.54,513.36,0.01,0.21,4.09,0.25,0.04,0.1577,41,36,0,0.0,24.0,0.1,0.15,0.12,0.1,0.12,0.05,False,4400.0
v02_loose,full,8.02,7.81,1.03,6.62,1.4,8.7,2.08,0.2387,124,82,33,0.0022,24.0,0.1,0.1,0.08,0.05,0.08,0.05,True,4400.0
v02_loose,last_90d,4.07,33.72,0.12,0.29,3.47,1.08,0.79,0.7331,124,82,33,0.0,24.0,0.1,0.1,0.08,0.05,0.08,0.05,True,4400.0
v02_fast_tick,full,7.96,8.27,0.96,4.82,3.14,8.2,3.38,0.4123,215,131,78,0.2802,6.0,0.1,0.15,0.12,0.1,0.12,0.05,True,4400.0
v02_fast_tick,last_90d,5.0,0.0,0.0,0.0,5.0,0.0,0.0,,215,131,78,1.0,6.0,0.1,0.15,0.12,0.1,0.12,0.05,True,4400.0
