config,period,annual_pct,calmar,max_dd_pct,funding_minus_fees_annual_pct,aave_income_annual_pct,gross_funding_annual_pct,fees_annual_pct,fees_ratio,n_ramps,n_rotations,n_frozen_unwinds,pct_time_in_usdc,tick_hours,slice_pct,aave_apr,target_alpha_apr,expected_hold_days,entry_ma_apr_derived,entry_min_24h_apr_derived,xsect_percentile,rotation_delta_apr,exit_signal_threshold_apr,unwind_enabled,peak_capital
aave_only,full,5.0,inf,0.0,0.0,5.0,0.0,0.0,,0,0,0,1.0,,,0.05,,,,,,,,,4000.0
aave_only,last_90d,5.0,inf,0.0,0.0,5.0,0.0,0.0,,0,0,0,1.0,,,0.05,,,,,,,,,4000.0
v04_target_0pct,full,8.96,4.77,1.88,5.06,3.9,6.04,0.98,0.163,121,18,103,0.3157,24.0,0.1,0.05,0.0,30.0,0.1511,0.12088,,0.1,0.0,True,4400.0
v04_target_0pct,last_90d,5.0,0.0,0.0,0.0,5.0,0.0,0.0,,121,18,103,1.0,24.0,0.1,0.05,0.0,30.0,0.1511,0.12088,,0.1,0.0,True,4400.0
v04_target_1pct,full,8.57,3.89,2.2,4.53,4.03,5.43,0.9,0.1651,124,16,108,0.3373,24.0,0.1,0.05,0.01,30.0,0.1711,0.13688,,0.1,0.0,True,4400.0
v04_target_1pct,last_90d,5.0,0.0,0.0,0.0,5.0,0.0,0.0,,124,16,108,1.0,24.0,0.1,0.05,0.01,30.0,0.1711,0.13688,,0.1,0.0,True,4400.0
v04_target_2pct,full,8.47,8.65,0.98,4.35,4.11,5.2,0.85,0.1637,123,15,108,0.4175,24.0,0.1,0.05,0.02,30.0,0.1911,0.15288,,0.1,0.0,True,4400.0
v04_target_2pct,last_90d,5.0,0.0,0.0,0.0,5.0,0.0,0.0,,123,15,108,1.0,24.0,0.1,0.05,0.02,30.0,0.1911,0.15288,,0.1,0.0,True,4400.0
v04_target_3pct,full,8.34,8.51,0.98,4.16,4.18,4.96,0.8,0.1617,123,13,110,0.437,24.0,0.1,0.05,0.03,30.0,0.2111,0.16888,,0.1,0.0,True,4400.0
v04_target_3pct,last_90d,5.0,0.0,0.0,0.0,5.0,0.0,0.0,,123,13,110,1.0,24.0,0.1,0.05,0.03,30.0,0.2111,0.16888,,0.1,0.0,True,4400.0
v04_short_hold,full,8.35,8.52,0.98,4.16,4.18,4.97,0.81,0.1621,124,13,111,0.4348,24.0,0.1,0.05,0.0,14.0,0.2095,0.1676,,0.1,0.0,True,4400.0
v04_short_hold,last_90d,5.0,0.0,0.0,0.0,5.0,0.0,0.0,,124,13,111,1.0,24.0,0.1,0.05,0.0,14.0,0.2095,0.1676,,0.1,0.0,True,4400.0
v04_pct70_filter,full,8.53,9.4,0.91,4.52,4.01,5.39,0.87,0.1619,109,16,93,0.3308,24.0,0.1,0.05,0.0,30.0,0.1511,0.12088,0.7,0.1,0.0,True,4400.0
v04_pct70_filter,last_90d,5.0,0.0,0.0,0.0,5.0,0.0,0.0,,109,16,93,1.0,24.0,0.1,0.05,0.0,30.0,0.1511,0.12088,0.7,0.1,0.0,True,4400.0
