config,period,annual_pct,calmar,max_dd_pct,funding_minus_fees_annual_pct,aave_income_annual_pct,gross_funding_annual_pct,fees_annual_pct,fees_ratio,n_ramps,n_rotations,n_frozen_unwinds,pct_time_in_usdc,tick_hours,slice_pct,aave_apr,entry_ma_apr,entry_min_24h_apr_ratio,entry_min_24h_apr_effective,rotation_delta_apr,exit_signal_threshold_apr,unwind_enabled,peak_capital
aave_only,full,5.0,inf,0.0,,5.0,,,,,,,1.0,,,0.05,,,,,,,4000.0
aave_only,last_90d,5.0,inf,0.0,,5.0,,,,,,,1.0,,,0.05,,,,,,,4000.0
v05_no_floor_no_aave,full,8.26,4.03,2.05,8.31,0.0,10.57,2.26,0.2139,123.0,111.0,9.0,0.0022,24.0,0.1,0.0,0.0,0.8,0.0,0.1,0.0,True,4400.0
v05_no_floor_no_aave,last_90d,-1.06,-2.33,0.45,-0.33,0.0,1.02,1.35,1.3244,123.0,111.0,9.0,0.0,24.0,0.1,0.0,0.0,0.8,0.0,0.1,0.0,True,4400.0
v05_floor_5_no_aave,full,8.41,3.58,2.35,8.34,0.0,10.32,1.97,0.1912,109.0,94.0,12.0,0.0022,24.0,0.1,0.0,0.05,0.8,0.04,0.1,0.0,True,4400.0
v05_floor_5_no_aave,last_90d,1.17,10.47,0.11,0.83,0.0,1.73,0.9,0.5206,109.0,94.0,12.0,0.0,24.0,0.1,0.0,0.05,0.8,0.04,0.1,0.0,True,4400.0
v05_floor_10_no_aave,full,7.44,4.44,1.68,7.43,0.0,9.34,1.91,0.2046,112.0,80.0,29.0,0.0022,24.0,0.1,0.0,0.1,0.8,0.08,0.1,0.0,True,4400.0
v05_floor_10_no_aave,last_90d,1.52,51.22,0.03,0.67,0.0,1.2,0.53,0.4428,112.0,80.0,29.0,0.0,24.0,0.1,0.0,0.1,0.8,0.08,0.1,0.0,True,4400.0
v05_floor_15_no_aave,full,4.82,3.74,1.29,4.8,0.0,5.75,0.95,0.1644,117.0,18.0,99.0,0.3146,24.0,0.1,0.0,0.15,0.8,0.12,0.1,0.0,True,4400.0
v05_floor_15_no_aave,last_90d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,117.0,18.0,99.0,1.0,24.0,0.1,0.0,0.15,0.8,0.12,0.1,0.0,True,4400.0
v05_v04_equiv_with_aave,full,8.76,6.84,1.28,4.8,3.93,5.75,0.95,0.1644,117.0,18.0,99.0,0.3146,24.0,0.1,0.05,0.15,0.8,0.12,0.1,0.0,True,4400.0
v05_v04_equiv_with_aave,last_90d,5.0,0.0,0.0,0.0,5.0,0.0,0.0,,117.0,18.0,99.0,1.0,24.0,0.1,0.05,0.15,0.8,0.12,0.1,0.0,True,4400.0
