config,period,annual_pct,calmar,max_dd_pct,funding_minus_fees_annual_pct,aave_income_annual_pct,gross_funding_annual_pct,fees_annual_pct,fees_ratio,n_ramps,n_continues,n_freezes,n_rotations,n_frozen_unwinds,pct_time_in_usdc,tick_hours,slice_pct,aave_apr,continue_tolerance_apr,rotation_delta_apr,exit_signal_threshold_apr,unwind_enabled,peak_capital
aave_only,full,5.0,inf,0.0,,5.0,,,,,,,,,1.0,,,0.05,,,,,4000.0
aave_only,last_90d,5.0,inf,0.0,,5.0,,,,,,,,,1.0,,,0.05,,,,,4000.0
v06_strict,full,2.07,2.96,0.7,2.01,0.0,3.16,1.15,0.3629,265.0,287.0,1488.0,6.0,257.0,0.0022,24.0,0.1,0.0,0.0,0.1,0.0,True,3800.0
v06_strict,last_90d,1.73,57.23,0.03,0.85,0.0,1.49,0.64,0.4301,265.0,287.0,1488.0,6.0,257.0,0.0,24.0,0.1,0.0,0.0,0.1,0.0,True,3800.0
v06_slack_2pct,full,2.3,2.92,0.79,2.34,0.0,3.78,1.44,0.3813,267.0,498.0,1079.0,28.0,237.0,0.0022,24.0,0.1,0.0,0.02,0.1,0.0,True,4400.0
v06_slack_2pct,last_90d,-1.57,-2.25,0.7,0.03,0.0,1.16,1.13,0.9748,267.0,498.0,1079.0,28.0,237.0,0.0,24.0,0.1,0.0,0.02,0.1,0.0,True,4400.0
v06_slack_5pct,full,2.63,4.53,0.58,2.38,0.0,3.58,1.2,0.3349,231.0,405.0,1152.0,18.0,211.0,0.0022,24.0,0.1,0.0,0.05,0.1,0.0,True,4400.0
v06_slack_5pct,last_90d,5.75,126.27,0.05,2.66,0.0,3.68,1.03,0.2785,231.0,405.0,1152.0,18.0,211.0,0.0,24.0,0.1,0.0,0.05,0.1,0.0,True,4400.0
v06_strict_with_aave,full,5.7,8.38,0.68,2.01,3.63,3.16,1.15,0.3629,265.0,287.0,1488.0,6.0,257.0,0.0022,24.0,0.1,0.05,0.0,0.1,0.0,True,3800.0
v06_strict_with_aave,last_90d,4.75,159.63,0.03,0.85,3.02,1.49,0.64,0.4301,265.0,287.0,1488.0,6.0,257.0,0.0,24.0,0.1,0.05,0.0,0.1,0.0,True,3800.0
