config,period,annual_pct,calmar,max_dd_pct,funding_minus_fees_annual_pct,aave_income_annual_pct,gross_funding_annual_pct,fees_annual_pct,fees_ratio,n_ramps,n_continues,n_freezes,n_rotations,n_degradation_exits,n_first_tranche_skipped,n_frozen_unwinds,pct_time_in_usdc,tick_hours,slice_pct,continue_tolerance_apr,rotation_mode,rotation_delta_apr,degradation_threshold_apr,exit_signal_threshold_apr,aave_apr,unwind_enabled,peak_capital
aave_only,full,5.0,inf,0.0,,5.0,,,,,,,,,,,1.0,,,,,,,,0.05,,4000.0
aave_only,last_90d,5.0,inf,0.0,,5.0,,,,,,,,,,,1.0,,,,,,,,0.05,,4000.0
v08_def_5pct,full,2.85,2.78,1.03,2.82,0.0,4.1,1.28,0.3127,215.0,465.0,985.0,30.0,0.0,0.0,183.0,0.0022,24.0,0.1,0.05,defensive,0.1,0.05,0.0,0.0,True,4400.0
v08_def_5pct,last_90d,0.19,0.44,0.44,0.46,0.0,1.9,1.44,0.7595,215.0,465.0,985.0,30.0,0.0,0.0,183.0,0.0,24.0,0.1,0.05,defensive,0.1,0.05,0.0,0.0,True,4400.0
v08_def_2pct,full,4.25,1.43,2.98,4.13,0.0,5.19,1.06,0.2047,185.0,378.0,835.0,22.0,0.0,0.0,161.0,0.0022,24.0,0.1,0.05,defensive,0.1,0.02,0.0,0.0,True,4400.0
v08_def_2pct,last_90d,1.16,1.44,0.81,0.85,0.0,2.28,1.42,0.6252,185.0,378.0,835.0,22.0,0.0,0.0,161.0,0.0,24.0,0.1,0.05,defensive,0.1,0.02,0.0,0.0,True,4400.0
v08_def_0pct,full,5.0,1.31,3.81,4.93,0.0,5.91,0.98,0.1665,175.0,347.0,745.0,18.0,0.0,0.0,155.0,0.0022,24.0,0.1,0.05,defensive,0.1,0.0,0.0,0.0,True,4400.0
v08_def_0pct,last_90d,-8.31,-2.75,3.02,1.18,0.0,2.22,1.04,0.4664,175.0,347.0,745.0,18.0,0.0,0.0,155.0,0.0,24.0,0.1,0.05,defensive,0.1,0.0,0.0,0.0,True,4400.0
v06_slack_5pct_ctrl,full,2.63,4.53,0.58,2.38,0.0,3.58,1.2,0.3349,231.0,405.0,1152.0,18.0,0.0,0.0,211.0,0.0022,24.0,0.1,0.05,offensive,0.1,,0.0,0.0,True,4400.0
v06_slack_5pct_ctrl,last_90d,5.75,126.27,0.05,2.66,0.0,3.68,1.03,0.2785,231.0,405.0,1152.0,18.0,0.0,0.0,211.0,0.0,24.0,0.1,0.05,offensive,0.1,,0.0,0.0,True,4400.0
