config,period,annual_pct,calmar,max_dd_pct,funding_minus_fees_annual_pct,aave_income_annual_pct,gross_funding_annual_pct,fees_annual_pct,fees_ratio,n_ramps,n_continues,n_freezes,n_rotations,n_degradation_exits,n_first_tranche_skipped,n_frozen_unwinds,pct_time_in_usdc,tick_hours,slice_pct,n_main_cap,n_slots_total,continue_mode,continue_tolerance_apr,anchor_decay_per_tick,rotation_mode,rotation_delta_apr,degradation_threshold_apr,exit_signal_threshold_apr,aave_apr,unwind_enabled,peak_capital
aave_only,full,5.0,inf,0.0,,5.0,,,,,,,,,,,1.0,,,,,,,,,,,,0.05,,4000.0
aave_only,last_90d,5.0,inf,0.0,,5.0,,,,,,,,,,,1.0,,,,,,,,,,,,0.05,,4000.0
v09_trailing,full,3.65,0.32,11.25,3.64,0.0,11.27,7.63,0.6773,2038.0,18190.0,15078.0,114.0,0.0,0.0,31.0,0.0017,1.0,0.1,11.0,11.0,trailing,0.05,0.001,offensive,0.1,0.05,0.0,0.0,True,22000.0
v09_trailing,last_90d,-14.01,-4.05,3.46,-14.52,0.0,1.42,15.94,11.2387,2038.0,18190.0,15078.0,114.0,0.0,0.0,31.0,0.0,1.0,0.1,11.0,11.0,trailing,0.05,0.001,offensive,0.1,0.05,0.0,0.0,True,22000.0
v09_fixed,full,3.45,0.29,11.75,3.43,0.0,11.38,7.94,0.6982,2111.0,18946.0,10814.0,82.0,0.0,0.0,12.0,0.0017,1.0,0.1,11.0,11.0,fixed,0.05,0.001,offensive,0.1,0.05,0.0,0.0,True,22000.0
v09_fixed,last_90d,-14.58,-4.05,3.6,-15.1,0.0,1.45,16.55,11.4053,2111.0,18946.0,10814.0,82.0,0.0,0.0,12.0,0.0,1.0,0.1,11.0,11.0,fixed,0.05,0.001,offensive,0.1,0.05,0.0,0.0,True,22000.0
v09_decay,full,5.82,0.7,8.28,5.81,0.0,11.63,5.82,0.5007,1550.0,13881.0,21304.0,41.0,0.0,0.0,14.0,0.0017,1.0,0.1,11.0,11.0,decay,0.05,0.001,offensive,0.1,0.05,0.0,0.0,True,22000.0
v09_decay,last_90d,-10.23,-4.06,2.52,-10.68,0.0,1.73,12.41,7.1576,1550.0,13881.0,21304.0,41.0,0.0,0.0,14.0,0.0,1.0,0.1,11.0,11.0,decay,0.05,0.001,offensive,0.1,0.05,0.0,0.0,True,22000.0
v09_none,full,7.02,1.13,6.2,7.0,0.0,11.63,4.63,0.3982,1228.0,11052.0,26022.0,28.0,0.0,0.0,0.0,0.0017,1.0,0.1,11.0,11.0,none,0.05,0.001,offensive,0.1,0.05,0.0,0.0,True,22000.0
v09_none,last_90d,-6.68,-4.04,1.65,-7.04,0.0,1.82,8.86,4.8779,1228.0,11052.0,26022.0,28.0,0.0,0.0,0.0,0.0,1.0,0.1,11.0,11.0,none,0.05,0.001,offensive,0.1,0.05,0.0,0.0,True,22000.0
v06_baseline_ctrl,full,2.63,4.53,0.58,2.38,0.0,3.58,1.2,0.3349,231.0,405.0,1152.0,18.0,0.0,0.0,211.0,0.0022,24.0,0.1,2.0,4.0,trailing,0.05,0.001,offensive,0.1,0.05,0.0,0.0,True,4400.0
v06_baseline_ctrl,last_90d,5.75,126.27,0.05,2.66,0.0,3.68,1.03,0.2785,231.0,405.0,1152.0,18.0,0.0,0.0,211.0,0.0,24.0,0.1,2.0,4.0,trailing,0.05,0.001,offensive,0.1,0.05,0.0,0.0,True,4400.0
