config,tick_hours,slice_pct,entry_ma_apr,entry_min_24h_apr,rotation_delta_apr,exit_usdc_threshold_apr,period,annual_pct,calmar,max_dd_pct,gross_funding_annual_pct,fees_annual_pct,fees_ratio,n_ramps,n_rotations,pct_time_in_usdc,peak_capital
baseline,24,0.1,0.12,0.1,0.1,0.1,full,7.26,8.2,0.89,8.04,0.99,0.1234,53,49,0.0022,4400.0
baseline,24,0.1,0.12,0.1,0.1,0.1,last_90d,-0.65,-4.06,0.16,8.04,0.99,0.1234,53,49,0.0022,4400.0
tight,24,0.1,0.15,0.12,0.1,0.1,full,6.23,4.78,1.3,6.58,0.64,0.0977,35,33,0.0022,4400.0
tight,24,0.1,0.15,0.12,0.1,0.1,last_90d,-0.77,-4.06,0.19,6.58,0.64,0.0977,35,33,0.0022,4400.0
loose,24,0.1,0.08,0.06,0.1,0.1,full,8.53,4.33,1.97,10.64,2.15,0.2018,115,86,0.0022,4400.0
loose,24,0.1,0.08,0.06,0.1,0.1,last_90d,0.64,7.85,0.08,10.64,2.15,0.2018,115,86,0.0022,4400.0
fast_tick,6,0.1,0.12,0.1,0.1,0.1,full,5.89,11.57,0.51,9.09,3.37,0.3704,179,162,0.0103,4400.0
fast_tick,6,0.1,0.12,0.1,0.1,0.1,last_90d,0.82,15.72,0.05,9.09,3.37,0.3704,179,162,0.0103,4400.0
big_slice,24,0.2,0.12,0.1,0.1,0.1,full,6.49,9.01,0.72,8.26,1.88,0.2278,110,101,0.0022,4800.0
big_slice,24,0.2,0.12,0.1,0.1,0.1,last_90d,-0.02,-0.55,0.03,8.26,1.88,0.2278,110,101,0.0022,4800.0
