coin,annual_pct,vol_pct,sharpe,sortino,max_dd_pct,calmar,win_rate,kelly_half
WIF,7.96,0.23,35.11,9.08,0.05,161.71,42.0,7741.44
BTC,6.18,0.16,37.9,7.68,0.04,159.53,52.0,11618.88
UNI,7.26,0.16,45.64,9.02,0.06,112.68,51.3,14350.2
ETH,6.12,0.16,37.75,8.21,0.06,96.17,45.3,11637.48
AAVE,7.77,0.18,43.31,10.32,0.1,77.51,54.3,12071.99
ARB,5.73,0.17,33.21,8.91,0.13,45.81,37.4,9626.32
DOGE,9.21,0.26,35.93,10.25,0.26,35.2,40.7,7011.62
OP,5.96,0.2,30.37,8.22,0.18,32.81,34.8,7739.57
MATIC,11.29,0.26,44.12,24.8,0.45,25.09,45.2,8620.91
LINK,7.42,0.2,36.99,11.92,0.31,24.13,49.4,9227.43
TIA,7.93,0.25,31.52,12.7,0.38,21.11,32.4,6265.57
AVAX,5.74,0.2,28.49,7.89,0.36,16.02,34.1,7070.25
SOL,6.85,0.22,30.61,9.1,0.69,9.97,42.6,6837.08
INJ,6.78,0.24,27.97,12.49,1.29,5.27,33.2,5771.17
