coin,annual_pct,vol_pct,sharpe,sortino,max_dd_pct,calmar,win_rate,kelly_half
WIF,10.58,0.43,24.88,3.91,0.16,68.11,42.0,2926.44
DOGE,12.17,0.48,25.16,4.03,0.19,64.34,40.6,2600.43
UNI,9.38,0.29,32.61,3.63,0.2,47.5,51.3,5671.12
AAVE,9.24,0.33,28.11,3.96,0.23,39.43,54.3,4275.37
BTC,6.05,0.33,18.21,2.44,0.16,37.07,52.0,2739.96
SOL,10.76,0.53,20.16,7.69,0.37,28.88,39.5,1888.43
ETH,6.97,0.32,21.64,3.65,0.27,25.61,44.6,3359.55
TIA,9.97,0.53,18.98,8.34,0.42,23.56,28.3,1805.6
MATIC,14.69,0.43,34.24,14.7,0.64,22.85,42.9,3991.69
LINK,7.68,0.33,23.41,3.79,0.34,22.73,49.4,3567.48
OP,6.32,0.32,19.98,3.13,0.35,18.07,34.8,3156.44
AVAX,7.13,0.39,18.35,4.35,0.56,12.71,32.9,2360.45
ARB,5.81,0.31,18.5,3.09,0.52,11.08,37.4,2944.42
INJ,10.25,0.57,18.05,8.8,1.3,7.86,28.2,1589.64
