coin,annual_pct,vol_pct,sharpe,sortino,max_dd_pct,calmar,win_rate,kelly_half
SOL,59.11,364.76,0.16,0.2,75.18,0.79,51.0,0.02
BTC,30.89,55.21,0.56,0.67,40.9,0.76,51.8,0.51
ARB,13.84,24.76,0.56,0.67,30.19,0.46,51.8,1.13
LINK,20.9,95.07,0.22,0.27,51.75,0.4,49.3,0.12
MATIC,6.74,21.58,0.31,0.36,24.47,0.28,51.7,0.72
AAVE,9.17,85.98,0.11,0.13,59.23,0.15,50.1,0.06
OP,5.68,47.15,0.12,0.14,40.38,0.14,49.5,0.13
INJ,0.23,179.89,0.0,0.0,80.8,0.0,50.4,0.0
ETH,-2.74,40.57,-0.07,-0.08,49.49,-0.06,52.5,0.0
TIA,-8.14,197.7,-0.04,-0.05,83.15,-0.1,50.1,0.0
AVAX,-8.77,82.67,-0.11,-0.13,66.19,-0.13,51.6,0.0
DOGE,-21.55,109.49,-0.2,-0.22,92.29,-0.23,50.8,0.0
UNI,-17.14,37.15,-0.46,-0.57,64.38,-0.27,49.2,0.0
WIF,-32.63,49.11,-0.66,-0.77,79.48,-0.41,48.2,0.0
