coin,annual_pct,vol_pct,sharpe,sortino,max_dd_pct,calmar,win_rate,kelly_half
LINK,43.97,34.63,1.27,1.48,16.07,2.74,63.0,1.83
SOL,41.32,35.52,1.16,1.35,18.87,2.19,65.7,1.64
BTC,22.24,17.32,1.28,1.31,14.63,1.52,69.1,3.7
AAVE,28.26,33.61,0.84,0.89,25.13,1.12,70.2,1.25
AVAX,25.81,39.44,0.65,0.81,24.18,1.07,60.4,0.83
INJ,29.74,47.48,0.63,0.78,30.38,0.98,60.0,0.66
MATIC,22.07,29.79,0.74,0.78,26.15,0.84,68.4,1.24
ETH,9.6,26.59,0.36,0.37,31.04,0.31,66.2,0.68
UNI,6.65,34.0,0.2,0.21,30.81,0.22,71.1,0.29
ARB,4.33,38.42,0.11,0.13,42.85,0.1,61.8,0.15
DOGE,2.55,34.54,0.07,0.08,38.26,0.07,63.8,0.11
TIA,2.62,50.28,0.05,0.06,55.38,0.05,61.5,0.05
OP,-0.8,43.25,-0.02,-0.02,59.27,-0.01,59.2,0.0
WIF,-11.4,52.61,-0.22,-0.24,58.64,-0.19,61.9,0.0
